row_label_raw,row_label_full,col_0,Vốn đầu tư của Chủ sở hữu,Chênh lệch đánh giá lại tài sản,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn đầu tư của Chủ sở hữu,numeric__Chênh lệch đánh giá lại tài sản,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
Trích nộp ngân sách Đảng từ lợi nhuận năm 2017,Trích nộp ngân sách Đảng từ lợi nhuận năm 2017,Trích nộp ngân sách Đảng từ lợi nhuận năm 2017,-,-,-,-,(49.860.175.848),(49.860.175.848),,,,,-49860175848.0,-49860175848.0
Trích nộp ngân sách Đảng từ lợi nhuận 10 tháng 2018,Trích nộp ngân sách Đảng từ lợi nhuận 10 tháng 2018,Trích nộp ngân sách Đảng từ lợi nhuận 10 tháng 2018,-,-,-,-,(38.084.040.803),(38.084.040.803),,,,,-38084040803.0,-38084040803.0
Lợi nhuận nộp về chủ sở hữu,Lợi nhuận nộp về chủ sở hữu,Lợi nhuận nộp về chủ sở hữu,-,-,-,-,(1.269.743.282.886),(1.269.743.282.886),,,,,-1269743282886.0,-1269743282886.0
"Trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2017","Trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2017","Trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2017",-,-,-,-,(8.265.351.630),(8.265.351.630),,,,,-8265351630.0,-8265351630.0
"Trích Quỹ khen thưởng, phúc lợi từ lợi nhuận 10 tháng 2018","Trích Quỹ khen thưởng, phúc lợi từ lợi nhuận 10 tháng 2018","Trích Quỹ khen thưởng, phúc lợi từ lợi nhuận 10 tháng 2018",-,-,-,-,(7.838.389.307),(7.838.389.307),,,,,-7838389307.0,-7838389307.0
Chênh lệch đánh giá lại tài sản theo kết quả xác định giá trị doanh nghiệp,Chênh lệch đánh giá lại tài sản theo kết quả xác định giá trị doanh nghiệp,Chênh lệch đánh giá lại tài sản theo kết quả xác định giá trị doanh nghiệp,-,846.040.840.788,-,-,-,846.040.840.788,,846040840788.0,,,,846040840788.0
Bản giao tài sản cho Công ty TNHH Đầu tư và Quản lý Dự án Bình Dương (**),Bản giao tài sản cho Công ty TNHH Đầu tư và Quản lý Dự án Bình Dương (**),Bản giao tài sản cho Công ty TNHH Đầu tư và Quản lý Dự án Bình Dương (**),(547.259.635.900),-,-,-,-,(547.259.635.900),-547259635900.0,,,,,-547259635900.0
Xử lý tài chính tại thời điểm chuyển giao,Xử lý tài chính tại thời điểm chuyển giao,Xử lý tài chính tại thời điểm chuyển giao,352.840.930.293,-,-,-,190.618.310.506,543.459.240.799,352840930293.0,,,,190618310506.0,543459240799.0
Điều chính lợi nhuận các lô thuộc Khu tái định cư Gò Chai đã chuyển nhượng,Điều chính lợi nhuận các lô thuộc Khu tái định cư Gò Chai đã chuyển nhượng,Điều chính lợi nhuận các lô thuộc Khu tái định cư Gò Chai đã chuyển nhượng,-,-,-,-,(3.289.354.265),(3.289.354.265),,,,,-3289354265.0,-3289354265.0
Truy thu thuế theo biển bản kiểm tra thuế,Truy thu thuế theo biển bản kiểm tra thuế,Truy thu thuế theo biển bản kiểm tra thuế,-,-,-,-,(514.072.235),(514.072.235),,,,,-514072235.0,-514072235.0
Điều chính theo Biên bản Kiểm toán Nhà Nước,Điều chính theo Biên bản Kiểm toán Nhà Nước,Điều chính theo Biên bản Kiểm toán Nhà Nước,-,-,-,-,230.806.478.891,230.806.478.891,,,,,230806478891.0,230806478891.0
Chênh lệch tỷ giá cuối kỳ,Chênh lệch tỷ giá cuối kỳ,Chênh lệch tỷ giá cuối kỳ,-,-,7.034.693.840,-,-,7.034.693.840,,,7034693840.0,,,7034693840.0
Kết chuyển các nguồn tăng vốn điều lệ,Kết chuyển các nguồn tăng vốn điều lệ,Kết chuyển các nguồn tăng vốn điều lệ,890.811.512.623,(846.040.840.788),-,(44.770.671.835),-,-,890811512623.0,-846040840788.0,,-44770671835.0,,
Số dư cuối kỳ này,Số dư cuối kỳ này,Số dư cuối kỳ này,3.000.000.000.000,-,7.034.693.840,-,-,3.007.034.693.840,3000000000000.0,,7034693840.0,,,3007034693840.0
