row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Chênh lệch đánh giá lại tài sản (**),Quỹ đầu tư phát triển,Quỹ khác thuộc Vốn chủ sở hữu (*),Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Chênh lệch đánh giá lại tài sản (**),numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc Vốn chủ sở hữu (*),numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng
Số dư tại 01/01/2024,Số dư tại 01/01/2024,Số dư tại 01/01/2024,5.000.000.000.000,2.890.194.878,22.113.132.999,(214.860.939.288),35.160.337.768,231.825.797.290,(2.778.568.128.755),165.556.811.125,2.464.117.206.017,5000000000000.0,2890194878.0,22113132999.0,-214860939288.0,35160337768.0,231825797290.0,-2778568128755.0,165556811125.0,2464117206017.0
Lãi/Lỗ trong năm này,Lãi/Lỗ trong năm này,Lãi/Lỗ trong năm này,-,-,-,-,-,-,4.310.857.172,25.514.177.012,29.825.034.184,,,,,,,4310857172.0,25514177012.0,29825034184.0
Chuyển quỹ đầu tư phát triển về lợi nhuận,Chuyển quỹ đầu tư phát triển về lợi nhuận,Chuyển quỹ đầu tư phát triển về lợi nhuận,-,-,-,-,(3.033.542.440),-,3.033.542.440,-,-,,,,,-3033542440.0,,3033542440.0,,
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,4.295.705.947,-,(4.295.705.947),-,-,,,,,4295705947.0,,-4295705947.0,,
Trích quỹ khen thưởng ban điều hành,Trích quỹ khen thưởng ban điều hành,Trích quỹ khen thưởng ban điều hành,-,-,-,-,-,-,(10.119.010.895),(8.357.254.507),(18.476.265.402),,,,,,,-10119010895.0,-8357254507.0,-18476265402.0
Trích quỹ từ thiên,Trích quỹ từ thiên,Trích quỹ từ thiên,-,-,-,-,-,-,(442.406.331),(357.593.669),(800.000.000),,,,,,,-442406331.0,-357593669.0,-800000000.0
Trích thù lao HDQT,Trích thù lao HDQT,Trích thù lao HDQT,-,-,-,-,-,-,(504.000.000),-,(504.000.000),,,,,,,-504000000.0,,-504000000.0
Chi trả cổ tức,Chi trả cổ tức,Chi trả cổ tức,-,-,-,-,-,-,-,(41.613.136.600),(41.613.136.600),,,,,,,,-41613136600.0,-41613136600.0
"Trích quỹ từ thiên, khen thưởng BĐH - Công ty liên kết","Trích quỹ từ thiên, khen thưởng BĐH - Công ty liên kết","Trích quỹ từ thiên, khen thưởng BĐH - Công ty liên kết",-,-,-,-,-,-,(1.240.448.837),-,(1.240.448.837),,,,,,,-1240448837.0,,-1240448837.0
Giảm khác,Giảm khác,Giảm khác,,,-,-,-,-,(1.102.209.677),(673.985.232),(1.776.194.909),,,,,,,-1102209677.0,-673985232.0,-1776194909.0
Số dư tại 31/12/2024,Số dư tại 31/12/2024,Số dư tại 31/12/2024,5.000.000.000.000,2.890.194.878,22.113.132.999,(214.860.939.288),36.422.501.275,231.825.797.290,(2.788.927.510.830),140.069.018.129,2.429.532.194.453,5000000000000.0,2890194878.0,22113132999.0,-214860939288.0,36422501275.0,231825797290.0,-2788927510830.0,140069018129.0,2429532194453.0
