row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017,VNDTriệu VND,USDTriệu VND,EURTriệu VND,Tiền tệ khácTriệu VND,TổngTriệu VND,numeric__VNDTriệu VND,numeric__USDTriệu VND,numeric__EURTriệu VND,numeric__Tiền tệ khácTriệu VND,numeric__TổngTriệu VND
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,,,,,,
Các khoản nợ NHNN,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ NHNN,Các khoản nợ NHNN,231.484,-,-,-,231.484,231484.0,,,,231484.0
Tiền gửi và vay các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,9.371.128,2.907.989,8,369.881,12.649.006,9371128.0,2907989.0,8.0,369881.0,12649006.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,306.936.123,11.148.409,243.255,1.531.800,319.859.587,306936123.0,11148409.0,243255.0,1531800.0,319859587.0
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả và vốn chủ sở hữu > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,1.096.282,-,335.925,1.432.207,,1096282.0,,335925.0,1432207.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",1.415,-,-,89.560,90.975,1415.0,,,89560.0,90975.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,5.601.382,4,-,-,5.601.386,5601382.0,4.0,,,5601386.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,6.419.512,337.045,6.100,37.453,6.800.110,6419512.0,337045.0,6100.0,37453.0,6800110.0
Vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Vốn chủ sở hữu,Vốn chủ sở hữu,23.236.292,-,-,-,23.236.292,23236292.0,,,,23236292.0
Tổng nợ phải trả và vốn chủ sở hữu (2),Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả và vốn chủ sở hữu (2),Tổng nợ phải trả và vốn chủ sở hữu (2),351.797.336,15.489.729,249.363,2.364.619,369.901.047,351797336.0,15489729.0,249363.0,2364619.0,369901047.0
Trạng thái tiền tệ nội bảng [(3)=(1)-(2)],Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bảng [(3)=(1)-(2)],Trạng thái tiền tệ nội bảng [(3)=(1)-(2)],2.803.854,799.854,38.179,1.868.180,5.510.067,2803854.0,799854.0,38179.0,1868180.0,5510067.0
Trạng thái tiền tệ ngoại bảng (4),Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ ngoại bảng (4),Trạng thái tiền tệ ngoại bảng (4),-,663.254,(51.522),(349.264),262.468,,663254.0,-51522.0,-349264.0,262468.0
"Trạng thái tiền tệ nội, ngoại bảng [(5)=(3)+(4)]","Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội, ngoại bảng [(5)=(3)+(4)]","Trạng thái tiền tệ nội, ngoại bảng [(5)=(3)+(4)]",2.803.854,1.463.108,(13.343),1.518.916,5.772.535,2803854.0,1463108.0,-13343.0,1518916.0,5772535.0
