row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017 > Quá hạnTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Khôngchịu lãiTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Dưới1 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Từ 1 đến3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Từ trên 3 đến6 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Từ trên 6 đến12 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Từ trên 1 đến5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Trên 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2017 > TổngTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Quá hạnTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Khôngchịu lãiTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Dưới1 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ 1 đến3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ trên 3 đến6 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ trên 6 đến12 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ trên 1 đến5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Trên 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > TổngTriệu VND
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,8.100.996,-,-,-,-,-,-,8.100.996,,8100996.0,,,,,,,8100996.0
Tài sản Có khác – gộp (*),Tài sản > Tài sản Có khác – gộp (*),Tài sản Có khác – gộp (*),1.195.135,40.529.984,-,1.220,4.485,4.695,8.280.000,-,50.015.519,1195135.0,40529984.0,,1220.0,4485.0,4695.0,8280000.0,,50015519.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),12.499.616,99.154.181,85.418.529,131.243.937,909.681,4.487.082,38.526.496,1.739.385,373.978.907,12499616.0,99154181.0,85418529.0,131243937.0,909681.0,4487082.0,38526496.0,1739385.0,373978907.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ NHNN,Nợ phải trả > Các khoản nợ NHNN,Các khoản nợ NHNN,-,-,6.257,225.227,-,-,-,-,231.484,,,6257.0,225227.0,,,,,231484.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,-,-,4.671.473,7.516.502,388.767,72.264,-,-,12.649.006,,,4671473.0,7516502.0,388767.0,72264.0,,,12649006.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,705.145,125.889.391,62.115.936,45.256.843,43.875.257,41.956.929,60.086,319.859.587,,705145.0,125889391.0,62115936.0,45256843.0,43875257.0,41956929.0,60086.0,319859587.0
"Vốn tải trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Nợ phải trả > Vốn tải trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro",-,-,-,-,-,90.975,-,-,90.975,,,,,,90975.0,,,90975.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,600,-,2.737.590,-,2.863.196,-,-,5.601.386,,600.0,,2737590.0,,2863196.0,,,5601386.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,6.800.110,-,-,-,-,-,-,6.800.110,,6800110.0,,,,,,,6800110.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,7.505.855,130.567.121,72.595.255,45.645.610,46.901.692,41.956.929,60.086,345.232.548,,7505855.0,130567121.0,72595255.0,45645610.0,46901692.0,41956929.0,60086.0,345232548.0
Mức chênh nhạy cảm với lãi suất nộibảng [(3)=(1)-(2)],Nợ phải trả > Mức chênh nhạy cảm với lãi suất nộibảng [(3)=(1)-(2)],Mức chênh nhạy cảm với lãi suất nộibảng [(3)=(1)-(2)],12.499.616,91.648.326,(45.148.592),58.648.682,(44.735.929),(42.414.610),(3.430.433),1.679.299,28.746.359,12499616.0,91648326.0,-45148592.0,58648682.0,-44735929.0,-42414610.0,-3430433.0,1679299.0,28746359.0
Mức chênh nhạy cảm với lãi suất ngoạibảng (4),Mức chênh nhạy cảm với lãi suất ngoạibảng (4),Mức chênh nhạy cảm với lãi suất ngoạibảng (4),-,-,-,-,-,-,-,-,-,,,,,,,,,
"Mức chênh nhạy cảm với lãi suất nội,ngoại bảng [(5)=(3)+(4)]","Mức chênh nhạy cảm với lãi suất ngoạibảng (4) > Mức chênh nhạy cảm với lãi suất nội,ngoại bảng [(5)=(3)+(4)]","Mức chênh nhạy cảm với lãi suất nội,ngoại bảng [(5)=(3)+(4)]",12.499.616,91.648.326,(45.148.592),58.648.682,(44.735.929),(42.414.610),(3.430.433),1.679.299,28.746.359,12499616.0,91648326.0,-45148592.0,58648682.0,-44735929.0,-42414610.0,-3430433.0,1679299.0,28746359.0
