row_label_raw,row_label_full,12. CHI PHÍ TRẢ TRƯỚC,12. CHI PHÍ TRẢ TRƯỚC_1,12. CHI PHÍ TRẢ TRƯỚC_2,31/12/2020,01/01/2020,Đơn vị tính: VND,Đơn vị tính: VND_1,numeric__12. CHI PHÍ TRẢ TRƯỚC_1,numeric__12. CHI PHÍ TRẢ TRƯỚC_2,numeric__31/12/2020,numeric__01/01/2020,numeric__Đơn vị tính: VND,numeric__Đơn vị tính: VND_1
13. VAY VÀ NỘ THUÊ TÀI CHÍNH,13. VAY VÀ NỘ THUÊ TÀI CHÍNH,13. VAY VÀ NỘ THUÊ TÀI CHÍNH,13. VAY VÀ NỘ THUÊ TÀI CHÍNH,13. VAY VÀ NỘ THUÊ TÀI CHÍNH,13. VAY VÀ NỘ THUÊ TÀI CHÍNH,13. VAY VÀ NỘ THUÊ TÀI CHÍNH,13. VAY VÀ NỘ THUÊ TÀI CHÍNH,13. VAY VÀ NỘ THUÊ TÀI CHÍNH,,,,,,
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,31/12/2020,31/12/2020,Trong năm,Trong năm,01/01/2020,01/01/2020,,,,,,
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,Giá trị,Số có khả năng trả nợ,Tăng,Giảm,Giá trị,Số có khả năng trả nợ,,,,,,
Vay ngắn hạn - VND,a) Vay ngắn hạn > Vay ngắn hạn - VND,Vay ngắn hạn - VND,338.556.294.808,338.556.294.808,841.335.901.434,637.585.938.506,134.806.331.880,134.806.331.880,338556294808.0,338556294808.0,841335901434.0,637585938506.0,134806331880.0,134806331880.0
- NH Công Thương CN Đà Nẵng,a) Vay ngắn hạn > - NH Công Thương CN Đà Nẵng,- NH Công Thương CN Đà Nẵng,154.154.979.516,154.154.979.516,244.204.005.831,218.997.469.135,128.948.442.820,128.948.442.820,154154979516.0,154154979516.0,244204005831.0,218997469135.0,128948442820.0,128948442820.0
"- Cán bộ, công nhân viên","a) Vay ngắn hạn > - Cán bộ, công nhân viên","- Cán bộ, công nhân viên",3.769.419.689,3.769.419.689,,88.469.371,3.857.889.060,3.857.889.060,3769419689.0,3769419689.0,,88469371.0,3857889060.0,3857889060.0
- Công ty CP tập đoàn Đèo cả,a) Vay ngắn hạn > - Công ty CP tập đoàn Đèo cả,- Công ty CP tập đoàn Đèo cả,178.631.895.603,178.631.895.603,303.131.895.603,124.500.000.000,,,178631895603.0,178631895603.0,303131895603.0,124500000000.0,,
- Công ty Cổ Phần Tư Văn Xây dựng A2Z,a) Vay ngắn hạn > - Công ty Cổ Phần Tư Văn Xây dựng A2Z,- Công ty Cổ Phần Tư Văn Xây dựng A2Z,,,,2.000.000.000,2.000.000.000,2.000.000.000,,,,2000000000.0,2000000000.0,2000000000.0
- Công ty cổ phần đầu tư Hạ tầng Miền Bắc,a) Vay ngắn hạn > - Công ty cổ phần đầu tư Hạ tầng Miền Bắc,- Công ty cổ phần đầu tư Hạ tầng Miền Bắc,,,92.000.000.000,92.000.000.000,,,,,92000000000.0,92000000000.0,,
- Công ty Cổ Phần Đầu tư Hải Thạch B.O.T,a) Vay ngắn hạn > - Công ty Cổ Phần Đầu tư Hải Thạch B.O.T,- Công ty Cổ Phần Đầu tư Hải Thạch B.O.T,2.000.000.000,2.000.000.000,202.000.000.000,200.000.000.000,,,2000000000.0,2000000000.0,202000000000.0,200000000000.0,,
Cộng,a) Vay ngắn hạn > Cộng,Cộng,338.556.294.808,338.556.294.808,841.335.901.434,637.585.938.506,134.806.331.880,134.806.331.880,338556294808.0,338556294808.0,841335901434.0,637585938506.0,134806331880.0,134806331880.0
