row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,20.295.062.379.636,21.922.503.805.887,200.0,,20295062379636.0,21922503805887.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,304.526.717.164,321.162.713.296,210.0,,304526717164.0,321162713296.0
1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,211,7,6.300.000.200,6.300.000.200,211.0,7.0,6300000200.0,6300000200.0
2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,216,9,298.226.716.964,314.862.713.096,216.0,9.0,298226716964.0,314862713096.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,16.288.687.906.977,18.402.732.385.750,220.0,,16288687906977.0,18402732385750.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,13,16.283.941.468.798,18.399.563.376.317,221.0,13.0,16283941468798.0,18399563376317.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,41.797.691.836.256,40.013.544.082.878,222.0,,41797691836256.0,40013544082878.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(25.513.750.367.458),(21.613.980.706.561),223.0,,-25513750367458.0,-21613980706561.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,14,4.746.438.179,3.169.009.433,227.0,14.0,4746438179.0,3169009433.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,21.158.986.282,18.380.451.988,228.0,,21158986282.0,18380451988.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(16.412.548.103),(15.211.442.555),229.0,,-16412548103.0,-15211442555.0
III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,240,,865.253.027.542,591.549.228.201,240.0,,865253027542.0,591549228201.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,15,865.253.027.542,591.549.228.201,242.0,15.0,865253027542.0,591549228201.0
IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,250,16,2.434.544.434.914,2.433.244.434.914,250.0,16.0,2434544434914.0,2433244434914.0
1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,251,,60.000.000.000,60.000.000.000,251.0,,60000000000.0,60000000000.0
"2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết",252,,2.189.744.434.914,2.189.744.434.914,252.0,,2189744434914.0,2189744434914.0
3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,253,,184.800.000.000,184.800.000.000,253.0,,184800000000.0,184800000000.0
4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,254,,-,(1.300.000.000),254.0,,,-1300000000.0
V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,260,,402.050.293.039,173.815.043.726,260.0,,402050293039.0,173815043726.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,12,304.767.748.933,70.038.579.449,261.0,12.0,304767748933.0,70038579449.0
2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,262,17,97.282.544.106,103.776.464.277,262.0,17.0,97282544106.0,103776464277.0
TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),270,,57.486.065.106.990,53.089.424.603.350,270.0,,57486065106990.0,53089424603350.0
