row_label_raw,row_label_full,CHÌ TIÊU,Mã số,TM,Năm 2024,Năm 2023,numeric__Mã số,numeric__TM,numeric__Năm 2024,numeric__Năm 2023
"Tăng, giảm các khoản phải thu","2. Điều chỉnh cho các khoản: > Tăng, giảm các khoản phải thu","Tăng, giảm các khoản phải thu",09,,114.438.652.584,67.371.571.871,9.0,,114438652584.0,67371571871.0
"Tăng, giảm hàng tồn kho","2. Điều chỉnh cho các khoản: > Tăng, giảm hàng tồn kho","Tăng, giảm hàng tồn kho",10,,(180.072.345.385),(361.848.196.246),10.0,,-180072345385.0,-361848196246.0
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","2. Điều chỉnh cho các khoản: > Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,550.895.793.453,253.772.881.603,11.0,,550895793453.0,253772881603.0
"Tăng, giảm chi phí trả trước","2. Điều chỉnh cho các khoản: > Tăng, giảm chi phí trả trước","Tăng, giảm chi phí trả trước",12,,379.686.712.739,242.095.291.472,12.0,,379686712739.0,242095291472.0
Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản: > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(107.283.305.182),(117.688.064.068),14.0,,-107283305182.0,-117688064068.0
Tiền thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản: > Tiền thuế thu nhập doanh nghiệp đã nộp,Tiền thuế thu nhập doanh nghiệp đã nộp,15,4.15,(318.502.131.087),(238.359.813.834),15.0,415.0,-318502131087.0,-238359813834.0
Tiền thu khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,,396.410.000,157.354.000,16.0,,396410000.0,157354000.0
Tiền chi khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền chi khác từ hoạt động kinh doanh,Tiền chi khác từ hoạt động kinh doanh,17,,(134.988.930.241),(95.262.545.787),17.0,,-134988930241.0,-95262545787.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,2.893.521.714.318,2.202.688.665.661,20.0,,2893521714318.0,2202688665661.0
II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
"1. Tiền chỉ để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1. Tiền chỉ để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","1. Tiền chỉ để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,(1.423.783.978.114),(2.211.583.719.112),21.0,,-1423783978114.0,-2211583719112.0
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,1.714.350.532,2.303.960.370,22.0,,1714350532.0,2303960370.0
"3. Tiền chỉ cho vay, mua các công cụ nợ của các đơn vị","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3. Tiền chỉ cho vay, mua các công cụ nợ của các đơn vị","3. Tiền chỉ cho vay, mua các công cụ nợ của các đơn vị",23,,(2.782.674.500.000),(2.458.385.000.000),23.0,,-2782674500000.0,-2458385000000.0
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của các","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 4. Tiền thu hồi cho vay, bán lại các công cụ nợ của các","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của các",24,,2.535.520.000.000,2.814.797.026.133,24.0,,2535520000000.0,2814797026133.0
5. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 5. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,5. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,-,4.350.706.152,26.0,,,4350706152.0
"6. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 6. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","6. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,192.266.519.226,250.761.306.178,27.0,,192266519226.0,250761306178.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,(1.476.957.608.356),(1.597.755.720.279),30.0,,-1476957608356.0,-1597755720279.0
