row_label_raw,row_label_full,col_0,2023 > Giá trị gốc VND,2023 > Giá trị có thể thu hồi VND,2023 > Dự phòng VND,2022 > Giá trị gốc VND,2022 > Giá trị có thể thu hồi VND,2022 > Dự phòng VND,numeric__2023 > Giá trị gốc VND,numeric__2023 > Giá trị có thể thu hồi VND,numeric__2023 > Dự phòng VND,numeric__2022 > Giá trị gốc VND,numeric__2022 > Giá trị có thể thu hồi VND,numeric__2022 > Dự phòng VND
Từ 1 năm đến 2 năm,Dầu khí Việt Nam - CTCP - Công ty > Từ 1 năm đến 2 năm,Từ 1 năm đến 2 năm,14.579.777.401,7.346.607.859,7.233.169.542,83.230.895.584,41.615.447.792,41.615.447.792,14579777401.0,7346607859.0,7233169542.0,83230895584.0,41615447792.0,41615447792.0
Từ 6 tháng đến 1 năm,Dầu khí Việt Nam - CTCP - Công ty > Từ 6 tháng đến 1 năm,Từ 6 tháng đến 1 năm,329.731.286.866,230.811.900.806,98.919.386.060,372.782.993.280,260.948.095.296,111.834.897.984,329731286866.0,230811900806.0,98919386060.0,372782993280.0,260948095296.0,111834897984.0
Công ty Cổ phần Điện lực,Công ty Cổ phần Điện lực,Công ty Cổ phần Điện lực,Công ty Cổ phần Điện lực,Công ty Cổ phần Điện lực,Công ty Cổ phần Điện lực,Công ty Cổ phần Điện lực,Công ty Cổ phần Điện lực,Công ty Cổ phần Điện lực,,,,,,
Dầu khí Nhơn Trạch 2,Công ty Cổ phần Điện lực > Dầu khí Nhơn Trạch 2,Dầu khí Nhơn Trạch 2,412.418.756.815,111.316.011.734,301.102.745.081,306.976.907.218,104.175.763.259,202.801.143.959,412418756815.0,111316011734.0,301102745081.0,306976907218.0,104175763259.0,202801143959.0
Trên 3 năm,Công ty Cổ phần Điện lực > Trên 3 năm,Trên 3 năm,178.220.922.875,-,178.220.922.875,82.495.888.495,-,82.495.888.495,178220922875.0,,178220922875.0,82495888495.0,,82495888495.0
Từ 2 năm đến 3 năm,Công ty Cổ phần Điện lực > Từ 2 năm đến 3 năm,Từ 2 năm đến 3 năm,89.951.638.237,26.985.491.471,62.966.146.766,86.642.766.975,25.992.830.092,60.649.936.883,89951638237.0,26985491471.0,62966146766.0,86642766975.0,25992830092.0,60649936883.0
Từ 1 năm đến 2 năm,Công ty Cổ phần Điện lực > Từ 1 năm đến 2 năm,Từ 1 năm đến 2 năm,83.209.083.645,41.604.541.822,41.604.541.823,91.519.215.286,45.759.607.643,45.759.607.643,83209083645.0,41604541822.0,41604541823.0,91519215286.0,45759607643.0,45759607643.0
Từ 6 tháng đến 1 năm,Công ty Cổ phần Điện lực > Từ 6 tháng đến 1 năm,Từ 6 tháng đến 1 năm,61.037.112.058,42.725.978.441,18.311.133.617,46.319.036.462,32.423.325.524,13.895.710.938,61037112058.0,42725978441.0,18311133617.0,46319036462.0,32423325524.0,13895710938.0
Khác,Khác,Khác,Khác,Khác,Khác,Khác,Khác,Khác,,,,,,
,,,85.365.344.287,-,85.365.344.287,85.596.324.417,-,85.596.324.417,85365344287.0,,85365344287.0,85596324417.0,,85596324417.0
Trên 3 năm,Khác > Trên 3 năm,Trên 3 năm,85.365.344.287,-,85.365.344.287,85.596.324.417,-,85.596.324.417,85365344287.0,,85365344287.0,85596324417.0,,85596324417.0
,,,1.039.020.335.457,369.531.110.652,669.489.224.805,1.018.751.580.512,427.411.526.236,591.340.054.276,1039020335457.0,369531110652.0,669489224805.0,1018751580512.0,427411526236.0,591340054276.0
