row_label_raw,row_label_full,Rùi ro lãi suất (tiếp theo),Rùi ro lãi suất (tiếp theo)_1,Rùi ro lãi suất (tiếp theo)_2,Rùi ro lãi suất (tiếp theo)_3,Rùi ro lãi suất (tiếp theo)_4,Rùi ro lãi suất (tiếp theo)_5,Rùi ro lãi suất (tiếp theo)_6,Rùi ro lãi suất (tiếp theo)_7,Rùi ro lãi suất (tiếp theo)_8,Rùi ro lãi suất (tiếp theo)_9,numeric__Rùi ro lãi suất (tiếp theo)_1,numeric__Rùi ro lãi suất (tiếp theo)_2,numeric__Rùi ro lãi suất (tiếp theo)_3,numeric__Rùi ro lãi suất (tiếp theo)_4,numeric__Rùi ro lãi suất (tiếp theo)_5,numeric__Rùi ro lãi suất (tiếp theo)_6,numeric__Rùi ro lãi suất (tiếp theo)_7,numeric__Rùi ro lãi suất (tiếp theo)_8,numeric__Rùi ro lãi suất (tiếp theo)_9
Tải sản Cỏ khác (*),Tải sản > Tải sản Cỏ khác (*),Tải sản Cỏ khác (*),79.156,51.875.305,,,,,,,51.954.461,79156.0,51875305.0,,,,,,,51954461.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,39.510.100,118.987.184,917.349.487,567.836.550,629.358.782,267.747.702,153.231.753,76.441.564,2.770.463.122,39510100.0,118987184.0,917349487.0,567836550.0,629358782.0,267747702.0,153231753.0,76441564.0,2770463122.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,,,108.497.420,35.795.381,,299.556,,,144.592.357,,,108497420.0,35795381.0,,299556.0,,,144592357.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,,,396.982.322,9.287.006,365.668,,,,406.634.996,,,396982322.0,9287006.0,365668.0,,,,406634996.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,,,790.893.038,321.617.367,309.090.492,300.902.910,68.086.974,121.206,1.790.691.987,,,790893038.0,321617367.0,309090492.0,300902910.0,68086974.0,121206.0,1790691987.0
"Vốn tài trợ, ủy thác đầu tư, cho vay mã TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay mã TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mã TCTD chịu rủi ro",,,,1.506.451,489.107,,,,1.995.558,,,,1506451.0,489107.0,,,,1995558.0
Phải hành giấy tờ cỏ giả,Nợ phải trả > Phải hành giấy tờ cỏ giả,Phải hành giấy tờ cỏ giả,,,4.265.917,46.883.840,54.703.060,54.850.385,4.232.150,9.095.000,174.030.352,,,4265917.0,46883840.0,54703060.0,54850385.0,4232150.0,9095000.0,174030352.0
Các khoản no khác,Nợ phải trả > Các khoản no khác,Các khoản no khác,,45.056.273,,,,,,,45.056.273,,45056273.0,,,,,,,45056273.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,45.056.273,1.300.638.697,415.090.045,364.548.327,356.052.851,72.299.124,9.216.206,2.563.001.523,,45056273.0,1300638697.0,415090045.0,364548327.0,356052851.0,72299124.0,9216206.0,2563001523.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,39.510.100,73.930.911,(383.289.210),152.746.505,264.710.455,(88.305.149),80.932.629,67.225.358,207.461.599,39510100.0,73930911.0,-383289210.0,152746505.0,264710455.0,-88305149.0,80932629.0,67225358.0,207461599.0
