row_label_raw,row_label_full,col_0,Nhà xưởng và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị quản lý,Tài sản cố định khác,Tổng cộng,numeric__Nhà xưởng và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị quản lý,numeric__Tài sản cố định khác,numeric__Tổng cộng
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,35.789.369.664,2.646.537.007.788,21.295.675.015,405.451.318.456,11.085.296.029,3.120.158.666.952,35789369664.0,2646537007788.0,21295675015.0,405451318456.0,11085296029.0,3120158666952.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,3.670.508.588,914.469.970.382,(6.579.238.244),(123.701.473.575),(11.085.296.029),776.774.471.122,3670508588.0,914469970382.0,-6579238244.0,-123701473575.0,-11085296029.0,776774471122.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,6.590.930.664,747.006.318.012,1.144.194.918,21.753.795.985,-,776.495.239.579,6590930664.0,747006318012.0,1144194918.0,21753795985.0,,776495239579.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,(2.920.422.076),167.463.652.370,(7.723.433.162),(145.734.501.103),(11.085.296.029),-,-2920422076.0,167463652370.0,-7723433162.0,-145734501103.0,-11085296029.0,
Điều chỉnh khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Điều chỉnh khác,Điều chỉnh khác,-,-,-,279.231.543,-,279.231.543,,,,279231543.0,,279231543.0
Giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm trong năm,Giảm trong năm,-,988.685.892.587,1.891.596.955,12.346.402.069,-,1.002.923.891.611,,988685892587.0,1891596955.0,12346402069.0,,1002923891611.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,1.891.596.955,-,-,1.891.596.955,,,1891596955.0,,,1891596955.0
Thu hồi nhập kho,GIÁ TRỊ HAO MÒN LỦY KẾ > Thu hồi nhập kho,Thu hồi nhập kho,-,132.655.216.581,-,12.346.402.069,-,145.001.618.650,,132655216581.0,,12346402069.0,,145001618650.0
Giảm do chuyển đổi hạ tầng,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm do chuyển đổi hạ tầng,Giảm do chuyển đổi hạ tầng,-,856.030.676.006,-,-,-,856.030.676.006,,856030676006.0,,,,856030676006.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,39.459.878.252,2.572.321.085.583,12.824.839.816,269.403.442.812,-,2.894.009.246.463,39459878252.0,2572321085583.0,12824839816.0,269403442812.0,,2894009246463.0
GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LAI > Tại ngày đầu năm,Tại ngày đầu năm,118.532.275.901,2.870.191.393.153,26.824.258.207,69.534.948.233,14.750.437.594,3.099.833.313.088,118532275901.0,2870191393153.0,26824258207.0,69534948233.0,14750437594.0,3099833313088.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LAI > Tại ngày cuối năm,Tại ngày cuối năm,107.563.239.916,2.916.220.561.391,4.351.418.518,74.458.408.695,-,3.102.593.628.520,107563239916.0,2916220561391.0,4351418518.0,74458408695.0,,3102593628520.0
