row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm (Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Trình bày lại)
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,,21.881.888.202,21.610.034.722,152.0,,21881888202.0,21610034722.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,10,106.908.715.275,116.115.494.609,153.0,10.0,106908715275.0,116115494609.0
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,3.956.837.942.865,3.993.337.702.416,200.0,,3956837942865.0,3993337702416.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,21.094.817.447,16.652.431.902,210.0,,21094817447.0,16652431902.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,6,23.451.508.628,17.980.777.493,216.0,6.0,23451508628.0,17980777493.0
2. Dự phòng phải thu dài hạn khó đòi,2. Dự phòng phải thu dài hạn khó đòi,2. Dự phòng phải thu dài hạn khó đòi,219,,(2.356.691.181),(1.328.345.591),219.0,,-2356691181.0,-1328345591.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,3.456.646.267.012,3.255.469.129.846,220.0,,3456646267012.0,3255469129846.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,11,3.102.593.628.520,3.099.833.313.088,221.0,11.0,3102593628520.0,3099833313088.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,5.996.602.874.983,6.219.991.980.040,222.0,,5996602874983.0,6219991980040.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(2.894.009.246.463),(3.120.158.666.952),223.0,,-2894009246463.0,-3120158666952.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,12,354.052.638.492,155.635.816.758,227.0,12.0,354052638492.0,155635816758.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,511.395.040.078,274.766.553.794,228.0,,511395040078.0,274766553794.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(157.342.401.586),(119.130.737.036),229.0,,-157342401586.0,-119130737036.0
III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,240,,17.226.616.945,214.179.694.896,240.0,,17226616945.0,214179694896.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,13,17.226.616.945,214.179.694.896,242.0,13.0,17226616945.0,214179694896.0
IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,250,,6.000.000.000,6.000.000.000,250.0,,6000000000.0,6000000000.0
1. Đầu tư góp vốn vào đơn vị khác,1. Đầu tư góp vốn vào đơn vị khác,1. Đầu tư góp vốn vào đơn vị khác,253,5,9.684.980.000,9.684.980.000,253.0,5.0,9684980000.0,9684980000.0
2. Dự phòng đầu tư tài chính dài hạn,2. Dự phòng đầu tư tài chính dài hạn,2. Dự phòng đầu tư tài chính dài hạn,254,5,(3.684.980.000),(3.684.980.000),254.0,5.0,-3684980000.0,-3684980000.0
V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,260,,428.448.183.084,468.062.092.599,260.0,,428448183084.0,468062092599.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,9,403.136.208.392,414.733.143.912,261.0,9.0,403136208392.0,414733143912.0
2. Tài sản thuê thu nhập hoãn lại,2. Tài sản thuê thu nhập hoãn lại,2. Tài sản thuê thu nhập hoãn lại,262,,25.311.974.692,53.328.948.687,262.0,,25311974692.0,53328948687.0
VI. Lợi thể thương mại,VI. Lợi thể thương mại,VI. Lợi thể thương mại,269,,27.422.058.377,32.974.353.173,269.0,,27422058377.0,32974353173.0
TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),270,,8.217.724.572.831,8.528.157.826.209,270.0,,8217724572831.0,8528157826209.0
