row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quyền chọn chuyển đổi trái phiếu,Quỹ đầu tư phát triển,LNST chưa phân phối,Vốn khác,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quyền chọn chuyển đổi trái phiếu,numeric__Quỹ đầu tư phát triển,numeric__LNST chưa phân phối,numeric__Vốn khác,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
Mua thêm một phần lợi ích trong Công ty con DCL,Mua thêm một phần lợi ích trong Công ty con DCL,Mua thêm một phần lợi ích trong Công ty con DCL,-,-,-,-,-,-,(35.567.672.203),(35.567.672.203),,,,,,,-35567672203.0,-35567672203.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,(1.608.681.297),-,-,(1.608.681.297),,,,,-1608681297.0,,,-1608681297.0
Số dư đầu kỳ năm nay,Số dư đầu kỳ năm nay,Số dư đầu kỳ năm nay,2.235.489.620.000,23.284.722.214,-,886.852.413,179.329.530.562,80.481.887.391,1.243.485.787.886,3.762.958.400.466,2235489620000.0,23284722214.0,,886852413.0,179329530562.0,80481887391.0,1243485787886.0,3762958400466.0
Tăng vốn trong kỳ,Tăng vốn trong kỳ,Tăng vốn trong kỳ,311.812.850.000,46.771.927.500,,,,,,358.584.777.500,311812850000.0,46771927500.0,,,,,,358584777500.0
Lợi nhuận trong kỳ,Lợi nhuận trong kỳ,Lợi nhuận trong kỳ,-,-,-,-,106.047.360.305,-,6.535.271.976,112.582.632.281,,,,,106047360305.0,,6535271976.0,112582632281.0
Tăng do hợp nhất TSC,Tăng do hợp nhất TSC,Tăng do hợp nhất TSC,-,-,-,-,-,-,(188.712.429.179),(188.712.429.179),,,,,,,-188712429179.0,-188712429179.0
Tăng do hợp nhất DCL,Tăng do hợp nhất DCL,Tăng do hợp nhất DCL,-,-,-,-,-,-,57.244.222.122,57.244.222.122,,,,,,,57244222122.0,57244222122.0
Tăng lợi ích cổ đông không kiểm soát của F.I.T Land,Tăng lợi ích cổ đông không kiểm soát của F.I.T Land,Tăng lợi ích cổ đông không kiểm soát của F.I.T Land,-,-,-,-,-,-,1.000.000.000,1.000.000.000,,,,,,,1000000000.0,1000000000.0
Tăng lợi ích cổ đông không kiểm soát của DCL,Tăng lợi ích cổ đông không kiểm soát của DCL,Tăng lợi ích cổ đông không kiểm soát của DCL,,,,,,,5.000.000.000,5.000.000.000,,,,,,,5000000000.0,5000000000.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,732.490.363,-,-,732.490.363,,,,,732490363.0,,,732490363.0
Tăng/(Giảm) do mua thêm/chuyển nhượng một phần lợi ích trong công ty con,Tăng/(Giảm) do mua thêm/chuyển nhượng một phần lợi ích trong công ty con,Tăng/(Giảm) do mua thêm/chuyển nhượng một phần lợi ích trong công ty con,-,-,-,-,(52.355.535.453),-,(48.382.717.107),(100.738.252.560),,,,,-52355535453.0,,-48382717107.0,-100738252560.0
Giảm khác,Giảm khác,Giảm khác,-,(11.000.000),-,-,(10.763.311.370),-,-,(10.774.311.370),,-11000000.0,,,-10763311370.0,,,-10774311370.0
Số dư cuối kỳ,Số dư cuối kỳ,Số dư cuối kỳ,2.547.302.470.000,70.045.649.714,-,886.852.413,222.990.534.408,80.481.887.391,1.076.170.135.698,3.997.877.529.624,2547302470000.0,70045649714.0,,886852413.0,222990534408.0,80481887391.0,1076170135698.0,3997877529624.0
