row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vântai, truyền dẫn",Thiết bị dụng cụquản lý,TSCĐhữu hình khác,Đơn vi tính: VND,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vântai, truyền dẫn",numeric__Thiết bị dụng cụquản lý,numeric__TSCĐhữu hình khác,numeric__Đơn vi tính: VND
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,18.171.567.064,15.636.841.963,2.849.418.679,202.981.671,421.494.688,37.282.304.065,18171567064.0,15636841963.0,2849418679.0,202981671.0,421494688.0,37282304065.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,18.171.567.064,14.641.873.523,2.849.418.679,202.981.671,421.494.688,36.287.335.625,18171567064.0,14641873523.0,2849418679.0,202981671.0,421494688.0,36287335625.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,-,994.968.440,-,-,-,994.968.440,,994968440.0,,,,994968440.0
Giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm trong năm,Giảm trong năm,1.078.540.414,4.618.833.059,964.002.498,34.774.841,13.129.792,6.709.280.604,1078540414.0,4618833059.0,964002498.0,34774841.0,13129792.0,6709280604.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,2.369.107.540,-,-,-,2.369.107.540,,2369107540.0,,,,2369107540.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,994.968.440,-,-,-,-,994.968.440,994968440.0,,,,,994968440.0
Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm khác,Giảm khác,83.571.974,2.249.725.519,964.002.498,34.774.841,13.129.792,3.345.204.624,83571974.0,2249725519.0,964002498.0,34774841.0,13129792.0,3345204624.0
Số dư tại 31/12/2024,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 31/12/2024,Số dư tại 31/12/2024,212.247.139.268,153.973.384.083,26.675.019.760,1.332.646.600,9.379.130.339,403.607.320.050,212247139268.0,153973384083.0,26675019760.0,1332646600.0,9379130339.0,403607320050.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại 01/01/2024,GIÁ TRỊ CÒN LẠI > Tại 01/01/2024,Tại 01/01/2024,335.707.173.126,105.103.933.438,11.733.130.744,615.502.153,1.432.355.097,454.592.094.558,335707173126.0,105103933438.0,11733130744.0,615502153.0,1432355097.0,454592094558.0
Tại 31/12/2024,GIÁ TRỊ CÒN LẠI > Tại 31/12/2024,Tại 31/12/2024,316.606.381.502,99.214.551.107,9.679.396.065,449.080.482,1.230.011.809,427.179.420.965,316606381502.0,99214551107.0,9679396065.0,449080482.0,1230011809.0,427179420965.0
