row_label_raw,row_label_full,Năm 2023,Năm 2023_1,Năm 2023_2,Năm 2023_3,Năm 2023_4,Năm 2023_5,Năm 2023_6,Năm 2023_7,numeric__Năm 2023_1,numeric__Năm 2023_2,numeric__Năm 2023_3,numeric__Năm 2023_4,numeric__Năm 2023_5,numeric__Năm 2023_6,numeric__Năm 2023_7
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,(7.096.086),(42.821),(293.015),(84.689),(4.518),(1.787.993),(9.309.122),-7096086.0,-42821.0,-293015.0,-84689.0,-4518.0,-1787993.0,-9309122.0
TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,(22.169.107),(118.990),(746.631),(307.659),(19.004),(1.719.207),(25.080.598),-22169107.0,-118990.0,-746631.0,-307659.0,-19004.0,-1719207.0,-25080598.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,47.105.013,121.555,585.099,514.506,1.054,(394.808),47.932.419,47105013.0,121555.0,585099.0,514506.0,1054.0,-394808.0,47932419.0
(Chi phí)/hoàn nhập dự phòng rủi ro tín dụng,(Chi phí)/hoàn nhập dự phòng rủi ro tín dụng,(Chi phí)/hoàn nhập dự phòng rủi ro tín dụng,(20.304.522),(17.891),-,4.257,-,(25.359),(20.343.515),-20304522.0,-17891.0,,4257.0,,-25359.0,-20343515.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,26.800.491,103.664,585.099,518.763,1.054,(420.167),27.588.904,26800491.0,103664.0,585099.0,518763.0,1054.0,-420167.0,27588904.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(5.369.480),(17.680),(126.588),(101.442),(310),(211),(5.615.711),-5369480.0,-17680.0,-126588.0,-101442.0,-310.0,-211.0,-5615711.0
Thu nhập/(chi phí) thuế TNDN hoãn lại,Thu nhập/(chi phí) thuế TNDN hoãn lại,Thu nhập/(chi phí) thuế TNDN hoãn lại,727,-,-,-,-,3.221,3.948,727.0,,,,,3221.0,3948.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,21.431.738,85.984,458.511,417.321,744,(417.157),21.977.141,21431738.0,85984.0,458511.0,417321.0,744.0,-417157.0,21977141.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,,,,,,,
TỔNG TÀI SẢN,Tại ngày 31 tháng 12 năm 2023 > TỔNG TÀI SẢN,TỔNG TÀI SẢN,2.300.857.544,6.691.417,7.924.496,8.653.539,110.056,(23.368.324),2.300.868.728,2300857544.0,6691417.0,7924496.0,8653539.0,110056.0,-23368324.0,2300868728.0
TỔNG NỘ PHẢI TRẢ,Tại ngày 31 tháng 12 năm 2023 > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,2.181.871.843,5.613.702,4.911.444,4.048.241,6.813,(18.450.204),2.178.001.839,2181871843.0,5613702.0,4911444.0,4048241.0,6813.0,-18450204.0,2178001839.0
