row_label_raw,row_label_full,14. VAY VÀ NỘ THUÊ TÀI CHÍNHa) Vay ngắn hạn,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
- Ngân hàng Nam Á - Cần Thơ,- Ngân hàng Nam Á - Cần Thơ,- Ngân hàng Nam Á - Cần Thơ,33.043.420.000,33.043.420.000,136.125.981.195,133.034.929.685,29.952.368.490,29.952.368.490,33043420000.0,33043420000.0,136125981195.0,133034929685.0,29952368490.0,29952368490.0
- Ngân hàng Xăng Dầu - An Giang,- Ngân hàng Xăng Dầu - An Giang,- Ngân hàng Xăng Dầu - An Giang,85.379.517.138,85.379.517.138,156.643.942.734,142.582.083.556,71.317.657.960,71.317.657.960,85379517138.0,85379517138.0,156643942734.0,142582083556.0,71317657960.0,71317657960.0
- Đối tượng khác,- Đối tượng khác,- Đối tượng khác,27.334.577.160,27.334.577.160,30.737.593.285,28.250.898.000,24.847.881.875,24.847.881.875,27334577160.0,27334577160.0,30737593285.0,28250898000.0,24847881875.0,24847881875.0
Bên liên quan,Bên liên quan,Bên liên quan,170.000.000.000,170.000.000.000,610.000.000.000,471.501.207.743,31.501.207.743,31.501.207.743,170000000000.0,170000000000.0,610000000000.0,471501207743.0,31501207743.0,31501207743.0
- Công ty TNHH Sao Mai Super Feed,- Công ty TNHH Sao Mai Super Feed,- Công ty TNHH Sao Mai Super Feed,170.000.000.000,170.000.000.000,170.000.000.000,,,,170000000000.0,170000000000.0,170000000000.0,,,
- Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia,- Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia,- Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia,,,440.000.000.000,471.501.207.743,31.501.207.743,31.501.207.743,,,440000000000.0,471501207743.0,31501207743.0,31501207743.0
Nợ dài hạn đến hạn trả - VND,Nợ dài hạn đến hạn trả - VND,Nợ dài hạn đến hạn trả - VND,305.791.773.406,305.791.773.406,305.791.773.406,,,,305791773406.0,305791773406.0,305791773406.0,,,
Bên khác,Bên khác,Bên khác,300.828.137.043,300.828.137.043,300.828.137.043,,,,300828137043.0,300828137043.0,300828137043.0,,,
- Ngân hàng TMCP Phát Triển Tp HCM,- Ngân hàng TMCP Phát Triển Tp HCM,- Ngân hàng TMCP Phát Triển Tp HCM,155.920.869.188,155.920.869.188,155.920.869.188,,,,155920869188.0,155920869188.0,155920869188.0,,,
- Đối tượng khác,- Đối tượng khác,- Đối tượng khác,144.907.267.855,144.907.267.855,144.907.267.855,,,,144907267855.0,144907267855.0,144907267855.0,,,
Bên liên quan,Bên liên quan,Bên liên quan,4.963.636.363,4.963.636.363,4.963.636.363,,,,4963636363.0,4963636363.0,4963636363.0,,,
- Công ty Cổ phần ĐT TC & Truyền Thông Quốc Tế,- Công ty Cổ phần ĐT TC & Truyền Thông Quốc Tế,- Công ty Cổ phần ĐT TC & Truyền Thông Quốc Tế,4.145.454.545,4.145.454.545,4.145.454.545,,,,4145454545.0,4145454545.0,4145454545.0,,,
- Công ty Cổ phần Du Lich Đồng Tháp,- Công ty Cổ phần Du Lich Đồng Tháp,- Công ty Cổ phần Du Lich Đồng Tháp,818.181.818,818.181.818,818.181.818,,,,818181818.0,818181818.0,818181818.0,,,
Cộng,Cộng,Cộng,2.135.526.937.838,2.135.526.937.838,4.461.886.567.019,3.330.564.859.430,1.004.205.230.249,1.004.205.230.249,2135526937838.0,2135526937838.0,4461886567019.0,3330564859430.0,1004205230249.0,1004205230249.0
