row_label_raw,row_label_full,col_0,Kinh doanh xăng dầu,Kinh doanh xăng dầu_1,Khối kinh doanh các sản phẩm hóa dầu,Khối kinh doanh các sản phẩm gas,Khối kinh doanh dịch vụ vận tải,"Khối kinh doanh hàng hóa, dịch vụ khác",Loại trừ nội bộ và điều chỉnh hợp nhất,Tổng cộng,numeric__Kinh doanh xăng dầu,numeric__Kinh doanh xăng dầu_1,numeric__Khối kinh doanh các sản phẩm hóa dầu,numeric__Khối kinh doanh các sản phẩm gas,numeric__Khối kinh doanh dịch vụ vận tải,"numeric__Khối kinh doanh hàng hóa, dịch vụ khác",numeric__Loại trừ nội bộ và điều chỉnh hợp nhất,numeric__Tổng cộng
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,41.961.053.292,-,-,6.460.917.881,44.170.667.477,28.357.818.884,-,120.950.457.534,41961053292.0,,,6460917881.0,44170667477.0,28357818884.0,,120950457534.0
Tài sản dở dang dài hạn,Tài sản > Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,357.614.689.186,81.647.314.960,37.317.391.130,44.632.060.911,30.611.717.581,5.264.515.160,-,557.087.688.928,357614689186.0,81647314960.0,37317391130.0,44632060911.0,30611717581.0,5264515160.0,,557087688928.0
Đầu tư tài chính dài hạn,Tài sản > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,9.961.008.185.718,10.000.000.000,1.697.969.964,-,27.689.094.429,183.146.356.530,(3.684.642.552.876),6.498.899.053.765,9961008185718.0,10000000000.0,1697969964.0,,27689094429.0,183146356530.0,-3684642552876.0,6498899053765.0
Tài sản dài hạn khác,Tài sản > Tài sản dài hạn khác,Tài sản dài hạn khác,2.052.095.839.564,100.539.468.228,146.004.902.966,272.963.352.120,149.770.724.025,76.292.056.699,16.834.094.563,2.814.500.438.165,2052095839564.0,100539468228.0,146004902966.0,272963352120.0,149770724025.0,76292056699.0,16834094563.0,2814500438165.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,52.936.544.621.188,16.569.493.852.327,4.621.257.171.993,2.521.592.256.146,6.316.316.285.975,2.458.457.873.158,(10.948.046.574.554),74.475.615.486.233,52936544621188.0,16569493852327.0,4621257171993.0,2521592256146.0,6316316285975.0,2458457873158.0,-10948046574554.0,74475615486233.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Nợ ngắn hạn,Nợ phải trả > Nợ ngắn hạn,Nợ ngắn hạn,30.920.920.184.535,14.939.230.769.526,3.387.392.745.552,1.660.459.228.809,1.213.400.430.752,497.859.289.412,(6.924.686.719.729),45.694.575.928.857,30920920184535.0,14939230769526.0,3387392745552.0,1660459228809.0,1213400430752.0,497859289412.0,-6924686719729.0,45694575928857.0
Nợ dài hạn,Nợ phải trả > Nợ dài hạn,Nợ dài hạn,182.660.718.134,12.242.800.000,5.218.934.516,53.847.033.787,912.601.333.450,70.889.953.122,(239.031.859.852),998.428.913.157,182660718134.0,12242800000.0,5218934516.0,53847033787.0,912601333450.0,70889953122.0,-239031859852.0,998428913157.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,31.103.580.902.669,14.951.473.569.526,3.392.611.680.068,1.714.306.262.596,2.126.001.764.202,568.749.242.534,(7.163.718.579.581),46.693.004.842.014,31103580902669.0,14951473569526.0,3392611680068.0,1714306262596.0,2126001764202.0,568749242534.0,-7163718579581.0,46693004842014.0
Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,,,,,,,,
Chi tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2022 > Chi tiêu vốn,Chi tiêu vốn,1.650.786.556.705,80.963.184.649,27.702.355.616,61.985.045.550,325.032.759.134,17.892.800.051,(44.036.489.419),2.120.326.212.286,1650786556705.0,80963184649.0,27702355616.0,61985045550.0,325032759134.0,17892800051.0,-44036489419.0,2120326212286.0
Khẩu hao tài sản cổ định hữu hình,Cho năm kết thúc ngày 31 tháng 12 năm 2022 > Khẩu hao tài sản cổ định hữu hình,Khẩu hao tài sản cổ định hữu hình,973.587.044.218,87.013.744.280,98.048.784.868,44.407.063.117,711.043.895.851,146.112.394.546,(30.807.776.068),2.029.405.150.812,973587044218.0,87013744280.0,98048784868.0,44407063117.0,711043895851.0,146112394546.0,-30807776068.0,2029405150812.0
Khẩu hao tài sản cổ định vô hình,Cho năm kết thúc ngày 31 tháng 12 năm 2022 > Khẩu hao tài sản cổ định vô hình,Khẩu hao tài sản cổ định vô hình,46.506.240.292,6.521.783.100,718.283.417,409.121.209,2.302.939.953,738.178.708,(207.375.176),56.989.171.503,46506240292.0,6521783100.0,718283417.0,409121209.0,2302939953.0,738178708.0,-207375176.0,56989171503.0
Khẩu hao bất động sản đầu tư,Cho năm kết thúc ngày 31 tháng 12 năm 2022 > Khẩu hao bất động sản đầu tư,Khẩu hao bất động sản đầu tư,2.122.602.645,-,-,182.593.332,2.627.693.232,2.192.911.998,-,7.125.801.207,2122602645.0,,,182593332.0,2627693232.0,2192911998.0,,7125801207.0
Phân bổ chi phí trả trước dài hạn,Cho năm kết thúc ngày 31 tháng 12 năm 2022 > Phân bổ chi phí trả trước dài hạn,Phân bổ chi phí trả trước dài hạn,497.945.277.023,23.052.551.273,36.338.588.664,61.458.748.818,25.149.958.656,12.097.950.025,-,656.043.074.459,497945277023.0,23052551273.0,36338588664.0,61458748818.0,25149958656.0,12097950025.0,,656043074459.0
