row_label_raw,row_label_full,col_0,Kinh doanh xăng dầu,Kinh doanh xăng dầu_1,Khối kinh doanh các sản phẩm hóa dầu,Khối kinh doanh các sản phẩm gas,Khối kinh doanh dịch vụ vận tải,"Khối kinh doanh hàng hóa, dịch vụ khác",Loại trừ nội bộ và điều chỉnh hợp nhất,Tổng cộng,numeric__Kinh doanh xăng dầu,numeric__Kinh doanh xăng dầu_1,numeric__Khối kinh doanh các sản phẩm hóa dầu,numeric__Khối kinh doanh các sản phẩm gas,numeric__Khối kinh doanh dịch vụ vận tải,"numeric__Khối kinh doanh hàng hóa, dịch vụ khác",numeric__Loại trừ nội bộ và điều chỉnh hợp nhất,numeric__Tổng cộng
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,41.266.376.425,-,-,6.278.324.549,41.602.943.066,26.707.782.334,-,115.855.426.374,41266376425.0,,,6278324549.0,41602943066.0,26707782334.0,,115855426374.0
Tài sản dở dang dài hạn,Tài sản > Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,752.946.491.353,98.381.721.120,16.160.621.141,8.324.394.154,39.067.618.049,4.672.033.687,-,919.552.879.504,752946491353.0,98381721120.0,16160621141.0,8324394154.0,39067618049.0,4672033687.0,,919552879504.0
Dầu tư tài chính dài hạn,Tài sản > Dầu tư tài chính dài hạn,Dầu tư tài chính dài hạn,8.881.532.470.429,10.000.000.000,-,77.000.000.000,20.013.121.641,180.798.616.311,(4.357.097.317.282),4.812.246.891.099,8881532470429.0,10000000000.0,,77000000000.0,20013121641.0,180798616311.0,-4357097317282.0,4812246891099.0
Tài sản dài hạn khác,Tài sản > Tài sản dài hạn khác,Tài sản dài hạn khác,2.096.227.652.366,91.342.953.489,155.749.635.327,249.176.883.360,165.166.587.341,64.126.421.740,15.595.092.094,2.837.385.225.717,2096227652366.0,91342953489.0,155749635327.0,249176883360.0,165166587341.0,64126421740.0,15595092094.0,2837385225717.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,59.233.165.172.169,13.515.464.971.777,4.239.386.557.731,2.535.918.641.601,6.298.997.428.208,2.389.685.359.627,(8.536.999.031.783),79.675.619.099.330,59233165172169.0,13515464971777.0,4239386557731.0,2535918641601.0,6298997428208.0,2389685359627.0,-8536999031783.0,79675619099330.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Nợ ngắn hạn,Nợ phải trả > Nợ ngắn hạn,Nợ ngắn hạn,34.750.086.956.324,11.927.473.817.079,2.918.232.435.028,1.601.285.862.840,1.343.173.587.029,481.988.571.379,(3.361.629.322.646),49.660.611.907.033,34750086956324.0,11927473817079.0,2918232435028.0,1601285862840.0,1343173587029.0,481988571379.0,-3361629322646.0,49660611907033.0
Nợ dài hạn,Nợ phải trả > Nợ dài hạn,Nợ dài hạn,187.975.729.367,13.743.360.000,7.678.441.009,65.667.813.018,750.074.344.464,28.540.116.764,(240.779.791.156),812.900.013.466,187975729367.0,13743360000.0,7678441009.0,65667813018.0,750074344464.0,28540116764.0,-240779791156.0,812900013466.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,34.938.062.685.691,11.941.217.177.079,2.925.910.876.037,1.666.953.675.858,2.093.247.931.493,510.528.688.143,(3.602.409.113.802),50.473.511.920.499,34938062685691.0,11941217177079.0,2925910876037.0,1666953675858.0,2093247931493.0,510528688143.0,-3602409113802.0,50473511920499.0
Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,,,,,,,,
Chi tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Chi tiêu vốn,Chi tiêu vốn,1.230.010.968.239,130.770.058.139,54.358.324.227,25.476.587.589,218.240.402.606,19.979.732.362,(26.818.000.052),1.652.018.073.110,1230010968239.0,130770058139.0,54358324227.0,25476587589.0,218240402606.0,19979732362.0,-26818000052.0,1652018073110.0
Khẩu hao tài sản cố định hữu hình,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Khẩu hao tài sản cố định hữu hình,Khẩu hao tài sản cố định hữu hình,1.001.376.766.780,92.930.443.044,94.283.606.667,41.269.132.353,670.082.015.698,130.141.995.994,(24.987.863.493),2.005.096.097.043,1001376766780.0,92930443044.0,94283606667.0,41269132353.0,670082015698.0,130141995994.0,-24987863493.0,2005096097043.0
Khẩu hao tài sản cố định vô hình,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Khẩu hao tài sản cố định vô hình,Khẩu hao tài sản cố định vô hình,50.319.225.907,11.259.071.354,1.068.946.805,490.226.843,2.610.399.905,634.470.625,(371.881.577),66.010.459.862,50319225907.0,11259071354.0,1068946805.0,490226843.0,2610399905.0,634470625.0,-371881577.0,66010459862.0
Khẩu hao bắt động sản đầu tư,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Khẩu hao bắt động sản đầu tư,Khẩu hao bắt động sản đầu tư,696.096.582,-,-,182.593.332,2.567.724.411,2.229.851.709,-,5.676.266.034,696096582.0,,,182593332.0,2567724411.0,2229851709.0,,5676266034.0
Phân bổ chi phí trả trước dài hạn,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Phân bổ chi phí trả trước dài hạn,Phân bổ chi phí trả trước dài hạn,481.525.089.044,28.313.471.471,28.561.334.341,60.298.449.401,30.425.958.831,12.711.348.817,-,641.835.651.905,481525089044.0,28313471471.0,28561334341.0,60298449401.0,30425958831.0,12711348817.0,,641835651905.0
