row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Năm 2025 VND,Năm 2024 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2025 VND,numeric__Năm 2024 VND
4.3. Tiền chi trả gốc vay khác,III. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4.3. Tiền chi trả gốc vay khác,4.3. Tiền chi trả gốc vay khác,74.3,,(49.479.027.490.816),(34.509.687.440.008),743.0,,-49479027490816.0,-34509687440008.0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","III. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",76,,(686.472.757.967),(524.208.536.493),76.0,,-686472757967.0,-524208536493.0
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,80,,5.161.212.508.898,5.289.138.779.534,80.0,,5161212508898.0,5289138779534.0
IV. Lưu chuyển tiền thuần trong năm (90 = 60 + 70 + 80),III. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > IV. Lưu chuyển tiền thuần trong năm (90 = 60 + 70 + 80),IV. Lưu chuyển tiền thuần trong năm (90 = 60 + 70 + 80),90,,657.722.281.567,1.202.294.551.660,90.0,,657722281567.0,1202294551660.0
V. Tiền và các khoản tương đương tiền đầu năm,III. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > V. Tiền và các khoản tương đương tiền đầu năm,V. Tiền và các khoản tương đương tiền đầu năm,101,,1.773.543.835.124,571.249.283.464,101.0,,1773543835124.0,571249283464.0
Tiền,III. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền,Tiền,101.1,,1.749.543.835.124,441.249.283.464,1011.0,,1749543835124.0,441249283464.0
Các khoản tương đương tiền,III. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Các khoản tương đương tiền,Các khoản tương đương tiền,101.2,,24.000.000.000,130.000.000.000,1012.0,,24000000000.0,130000000000.0
VI. Tiền và các khoản tương đương tiền cuối năm (103 = 90 + 101),III. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > VI. Tiền và các khoản tương đương tiền cuối năm (103 = 90 + 101),VI. Tiền và các khoản tương đương tiền cuối năm (103 = 90 + 101),103,6,2.431.266.116.691,1.773.543.835.124,103.0,6.0,2431266116691.0,1773543835124.0
Tiền,III. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền,Tiền,103.1,,2.431.266.116.691,1.749.543.835.124,1031.0,,2431266116691.0,1749543835124.0
Các khoản tương đương tiền,III. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Các khoản tương đương tiền,Các khoản tương đương tiền,103.2,,-,24.000.000.000,1032.0,,,24000000000.0
