row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Năm 2025 VND,Năm 2024 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2025 VND,numeric__Năm 2024 VND
5. Thay đổi vốn lưu động,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 5. Thay đổi vốn lưu động,5. Thay đổi vốn lưu động,30,,(6.641.861.075.035),(5.466.242.609.056),30.0,,-6641861075035.0,-5466242609056.0
- Tăng tài sản tài chính FVTPL,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > - Tăng tài sản tài chính FVTPL,- Tăng tài sản tài chính FVTPL,31,,(1.163.404.290.082),(841.039.767.696),31.0,,-1163404290082.0,-841039767696.0
- Tăng các khoản đầu tư giữ đến ngày đáo hạn,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > - Tăng các khoản đầu tư giữ đến ngày đáo hạn,- Tăng các khoản đầu tư giữ đến ngày đáo hạn,32,,(1.719.959.928.706),(2.344.568.960.902),32.0,,-1719959928706.0,-2344568960902.0
- Tăng các khoản cho vay,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > - Tăng các khoản cho vay,- Tăng các khoản cho vay,33,,(4.746.855.748.137),(1.075.246.035.008),33.0,,-4746855748137.0,-1075246035008.0
- Tăng tài sản tài chính sẵn sàng để bán,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > - Tăng tài sản tài chính sẵn sàng để bán,- Tăng tài sản tài chính sẵn sàng để bán,34,,(386.368.209.323),(1.444.811.830.138),34.0,,-386368209323.0,-1444811830138.0
- Giảm phải thu bán các tài sản tài chính,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > - Giảm phải thu bán các tài sản tài chính,- Giảm phải thu bán các tài sản tài chính,35,,2.190.015.500.000,680.980.900.000,35.0,,2190015500000.0,680980900000.0
"- Giảm các khoản phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính","I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > - Giảm các khoản phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính","- Giảm các khoản phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",36,,129.524.769.648,178.182.935.103,36.0,,129524769648.0,178182935103.0
- (Tăng)/giảm các khoản phải thu về các dịch vụ công ty chứng khoán cung cấp,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > - (Tăng)/giảm các khoản phải thu về các dịch vụ công ty chứng khoán cung cấp,- (Tăng)/giảm các khoản phải thu về các dịch vụ công ty chứng khoán cung cấp,37,,(1.161.422.630),332.439.783,37.0,,-1161422630.0,332439783.0
- Tăng các khoản phải thu khác,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > - Tăng các khoản phải thu khác,- Tăng các khoản phải thu khác,39,,(3.382.166.620),(2.149.821.068),39.0,,-3382166620.0,-2149821068.0
- Giảm các tài sản khác,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > - Giảm các tài sản khác,- Giảm các tài sản khác,40,,1.655.204.226,2.263.653.828,40.0,,1655204226.0,2263653828.0
- Tăng chi phí phải trả (không bao gồm chi phí lãi vay),I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > - Tăng chi phí phải trả (không bao gồm chi phí lãi vay),- Tăng chi phí phải trả (không bao gồm chi phí lãi vay),41,,73.992.302.114,33.650.356.687,41.0,,73992302114.0,33650356687.0
- Giảm chi phí trả trước,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > - Giảm chi phí trả trước,- Giảm chi phí trả trước,42,,4.099.990.426,16.709.782.051,42.0,,4099990426.0,16709782051.0
- Thuế TNDN đã nộp,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > - Thuế TNDN đã nộp,- Thuế TNDN đã nộp,43,,(218.981.446.448),(151.903.676.615),43.0,,-218981446448.0,-151903676615.0
- Lãi vay đã trả,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > - Lãi vay đã trả,- Lãi vay đã trả,44,,(781.357.606.764),(494.937.451.882),44.0,,-781357606764.0,-494937451882.0
- Giảm phải trả cho người bán,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > - Giảm phải trả cho người bán,- Giảm phải trả cho người bán,45,,(1.847.821.744),(4.756.830.945),45.0,,-1847821744.0,-4756830945.0
- Giảm các khoản trích lập phúc lợi nhân viên,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > - Giảm các khoản trích lập phúc lợi nhân viên,- Giảm các khoản trích lập phúc lợi nhân viên,46,,(41.968.709),(103.355.800),46.0,,-41968709.0,-103355800.0
- Tăng thuế và các khoản phải nộp Nhà nước (không bao gồm thuế TNDN đã nộp),I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > - Tăng thuế và các khoản phải nộp Nhà nước (không bao gồm thuế TNDN đã nộp),- Tăng thuế và các khoản phải nộp Nhà nước (không bao gồm thuế TNDN đã nộp),47,,7.778.490.460,6.984.473.980,47.0,,7778490460.0,6984473980.0
- Tăng/(giảm) phải trả người lao động,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > - Tăng/(giảm) phải trả người lao động,- Tăng/(giảm) phải trả người lao động,48,,1.891.851.415,(3.201.721.034),48.0,,1891851415.0,-3201721034.0
"- Tăng/(giảm) phải trả, phải nộp khác","I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > - Tăng/(giảm) phải trả, phải nộp khác","- Tăng/(giảm) phải trả, phải nộp khác",50,,22.237.848.558,(22.627.699.400),50.0,,22237848558.0,-22627699400.0
- Tiền chi khác cho hoạt động kinh doanh,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > - Tiền chi khác cho hoạt động kinh doanh,- Tiền chi khác cho hoạt động kinh doanh,52,,(49.696.422.719),-,52.0,,-49696422719.0,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,60,,(4.495.472.095.049),(4.077.429.819.631),60.0,,-4495472095049.0,-4077429819631.0
