row_label_raw,row_label_full,"Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Năm nay > Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Đơn vị tính: VND > Năm trước > Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","numeric__Năm nay > Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","numeric__Đơn vị tính: VND > Năm trước > Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác"
Tiền tạm ứng/ đặt cọc mua công ty con,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác > Tiền tạm ứng/ đặt cọc mua công ty con,Tiền tạm ứng/ đặt cọc mua công ty con,(818.750.000.000),(7.664.761.129.950),-818750000000.0,-7664761129950.0
Tiền chi mua cố phần/góp vốn vào các đơn vị khác,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác > Tiền chi mua cố phần/góp vốn vào các đơn vị khác,Tiền chi mua cố phần/góp vốn vào các đơn vị khác,(2.620.086.640.000),(13.034.330.192.800),-2620086640000.0,-13034330192800.0
Tiền tạm ứng theo hợp đồng hợp tác kinh doanh,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác > Tiền tạm ứng theo hợp đồng hợp tác kinh doanh,Tiền tạm ứng theo hợp đồng hợp tác kinh doanh,(6.706.900.000.000),(68.729.803.430),-6706900000000.0,-68729803430.0
Tổng cộng,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác > Tổng cộng,Tổng cộng,(15.153.204.450.348),(22.459.345.068.846),-15153204450348.0,-22459345068846.0
Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,
"Tiền thu do nhượng bán các khoản đầu tư vào công ty con, sau khi trừ số dư tiền tại công ty con","Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Tiền thu do nhượng bán các khoản đầu tư vào công ty con, sau khi trừ số dư tiền tại công ty con","Tiền thu do nhượng bán các khoản đầu tư vào công ty con, sau khi trừ số dư tiền tại công ty con",278.846.434.916,11.207.105.907.932,278846434916.0,11207105907932.0
Tiền thu do nhượng bán các khoản đầu tư vào công ty con nhưng không mất quyền kiểm soát,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Tiền thu do nhượng bán các khoản đầu tư vào công ty con nhưng không mất quyền kiểm soát,Tiền thu do nhượng bán các khoản đầu tư vào công ty con nhưng không mất quyền kiểm soát,5.665.350.860.000,-,5665350860000.0,
Tiền thu do nhượng bán các khoản đầu tư vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Tiền thu do nhượng bán các khoản đầu tư vào đơn vị khác,Tiền thu do nhượng bán các khoản đầu tư vào đơn vị khác,1.857.457.647.400,1.951.923.727.844,1857457647400.0,1951923727844.0
Thu hồi tiền đặt cọc mua cố phần,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Thu hồi tiền đặt cọc mua cố phần,Thu hồi tiền đặt cọc mua cố phần,2.200.000.000.000,801.817.800.000,2200000000000.0,801817800000.0
Tiền thu do nhận đặt cọc để chuyển nhượng các khoản đầu tư vào công ty con,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Tiền thu do nhận đặt cọc để chuyển nhượng các khoản đầu tư vào công ty con,Tiền thu do nhận đặt cọc để chuyển nhượng các khoản đầu tư vào công ty con,756.862.000.000,-,756862000000.0,
Nhận đặt cọc cho mục đích đầu tư vào các dự án bất động sản,Nhận đặt cọc cho mục đích đầu tư vào các dự án bất động sản,Nhận đặt cọc cho mục đích đầu tư vào các dự án bất động sản,-,-,,
Tiền thu từ chuyển nhượng quyền tham gia phát triển dự án,Nhận đặt cọc cho mục đích đầu tư vào các dự án bất động sản > Tiền thu từ chuyển nhượng quyền tham gia phát triển dự án,Tiền thu từ chuyển nhượng quyền tham gia phát triển dự án,72.200.000.000,450.000.000.000,72200000000.0,450000000000.0
Thu hồi tiền đặt cọc cho mục đích đầu tư vào các dự án bất động sản,Nhận đặt cọc cho mục đích đầu tư vào các dự án bất động sản > Thu hồi tiền đặt cọc cho mục đích đầu tư vào các dự án bất động sản,Thu hồi tiền đặt cọc cho mục đích đầu tư vào các dự án bất động sản,3.160.385.766.272,896.119.007.571,3160385766272.0,896119007571.0
Tổng cộng,Nhận đặt cọc cho mục đích đầu tư vào các dự án bất động sản > Tổng cộng,Tổng cộng,13.991.102.708.588,15.306.966.443.347,13991102708588.0,15306966443347.0
"Mã số 31. Tiền thu từ phát hành cổ phiếu, nhận góp vốn của chủ sở hữu","Mã số 31. Tiền thu từ phát hành cổ phiếu, nhận góp vốn của chủ sở hữu","Mã số 31. Tiền thu từ phát hành cổ phiếu, nhận góp vốn của chủ sở hữu","Mã số 31. Tiền thu từ phát hành cổ phiếu, nhận góp vốn của chủ sở hữu","Mã số 31. Tiền thu từ phát hành cổ phiếu, nhận góp vốn của chủ sở hữu",,
Nhận góp vốn của cổ đông không kiểm soát,"Mã số 31. Tiền thu từ phát hành cổ phiếu, nhận góp vốn của chủ sở hữu > Nhận góp vốn của cổ đông không kiểm soát",Nhận góp vốn của cổ đông không kiểm soát,13.000.000.000,1.310.346.390.000,13000000000.0,1310346390000.0
Tổng cộng,"Mã số 31. Tiền thu từ phát hành cổ phiếu, nhận góp vốn của chủ sở hữu > Tổng cộng",Tổng cộng,13.000.000.000,1.310.346.390.000,13000000000.0,1310346390000.0
"Mã số 36. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Mã số 36. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Mã số 36. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Mã số 36. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Mã số 36. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,
"Cổ tức, lợi nhuận đã trả cho cổ đông không kiểm soát","Mã số 36. Cổ tức, lợi nhuận đã trả cho chủ sở hữu > Cổ tức, lợi nhuận đã trả cho cổ đông không kiểm soát","Cổ tức, lợi nhuận đã trả cho cổ đông không kiểm soát",(1.604.550.206.376),(1.339.903.941.515),-1604550206376.0,-1339903941515.0
Tổng cộng,"Mã số 36. Cổ tức, lợi nhuận đã trả cho chủ sở hữu > Tổng cộng",Tổng cộng,(1.604.550.206.376),(1.339.903.941.515),-1604550206376.0,-1339903941515.0
