row_label_raw,row_label_full,TÀI SẢN,Mã số,TM,31/12/2022,01/01/2022,numeric__Mã số,numeric__TM,numeric__31/12/2022,numeric__01/01/2022
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,5.3,30.967.680.234,28.392.189.126,132.0,53.0,30967680234.0,28392189126.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,5.4,7.988.632.847,13.851.635.562,136.0,54.0,7988632847.0,13851635562.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,5.5,(2.837.914.019),-,137.0,55.0,-2837914019.0,
IV/ Hàng tồn kho,IV/ Hàng tồn kho,IV/ Hàng tồn kho,140,5.6,24.139.441.489,29.161.652.507,140.0,56.0,24139441489.0,29161652507.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,24.139.441.489,34.016.020.069,141.0,,24139441489.0,34016020069.0
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,-,(4.854.367.562),149.0,,,-4854367562.0
V/ Tài sản ngắn hạn khác,V/ Tài sản ngắn hạn khác,V/ Tài sản ngắn hạn khác,150,,6.871.631.246,6.202.591.933,150.0,,6871631246.0,6202591933.0
1. Thuế GTGT được khấu trừ,1. Thuế GTGT được khấu trừ,1. Thuế GTGT được khấu trừ,152,,5.785.412.663,5.116.373.350,152.0,,5785412663.0,5116373350.0
2. Thuế và các khoản phải thu Nhà nước,2. Thuế và các khoản phải thu Nhà nước,2. Thuế và các khoản phải thu Nhà nước,153,5.15,1.086.218.583,1.086.218.583,153.0,515.0,1086218583.0,1086218583.0
B/ TÀI SẢN DÀI HẠN,B/ TÀI SẢN DÀI HẠN,B/ TÀI SẢN DÀI HẠN,200,,1.316.587.562.938,1.279.047.065.164,200.0,,1316587562938.0,1279047065164.0
I/ Các khoản phải thu dài hạn,I/ Các khoản phải thu dài hạn,I/ Các khoản phải thu dài hạn,210,,135.090.302.500,135.027.802.500,210.0,,135090302500.0,135027802500.0
1. Trả trước cho người bán dài hạn,1. Trả trước cho người bán dài hạn,1. Trả trước cho người bán dài hạn,212,5.3,179.473.550.180,179.411.050.180,212.0,53.0,179473550180.0,179411050180.0
2. Dự phòng phải thu dài hạn khó đòi,2. Dự phòng phải thu dài hạn khó đòi,2. Dự phòng phải thu dài hạn khó đòi,219,5.5,(44.383.247.680),(44.383.247.680),219.0,55.0,-44383247680.0,-44383247680.0
II/ Tài sản cố định,II/ Tài sản cố định,II/ Tài sản cố định,220,,8.973.973,62.596.884,220.0,,8973973.0,62596884.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,5.8,2.229.581,23.269.156,221.0,58.0,2229581.0,23269156.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,1.379.211.818,1.379.211.818,222.0,,1379211818.0,1379211818.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,223,,(1.376.982.237),(1.355.942.662),223.0,,-1376982237.0,-1355942662.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,5.9,6.744.392,39.327.728,227.0,59.0,6744392.0,39327728.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,313.750.000,313.750.000,228.0,,313750000.0,313750000.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,229,,(307.005.608),(274.422.272),229.0,,-307005608.0,-274422272.0
III/ Bất động sản đầu tư,III/ Bất động sản đầu tư,III/ Bất động sản đầu tư,230,,-,-,230.0,,,
IV/ Tài sản dở dang dài hạn,IV/ Tài sản dở dang dài hạn,IV/ Tài sản dở dang dài hạn,240,,33.845.020.387,33.623.020.387,240.0,,33845020387.0,33623020387.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,5.10,33.845.020.387,33.623.020.387,242.0,510.0,33845020387.0,33623020387.0
V/ Đầu tư tài chính dài hạn,V/ Đầu tư tài chính dài hạn,V/ Đầu tư tài chính dài hạn,250,5.12,855.155.543.450,807.812.887.146,250.0,512.0,855155543450.0,807812887146.0
1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,251,,1.595.638.684.744,1.595.638.684.744,251.0,,1595638684744.0,1595638684744.0
"2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết",252,,104.228.000.000,104.228.000.000,252.0,,104228000000.0,104228000000.0
3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,254,,(844.711.141.294),(892.053.797.598),254.0,,-844711141294.0,-892053797598.0
VI/ Tài sản dài hạn khác,VI/ Tài sản dài hạn khác,VI/ Tài sản dài hạn khác,260,,292.487.722.628,302.520.758.247,260.0,,292487722628.0,302520758247.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,5.7,292.487.722.628,302.520.758.247,261.0,57.0,292487722628.0,302520758247.0
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,,1.438.528.536.933,1.429.991.959.656,270.0,,1438528536933.0,1429991959656.0
