row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2017Triệu đồng,Ngày 31 tháng 12 năm 2016Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2017Triệu đồng,numeric__Ngày 31 tháng 12 năm 2016Triệu đồng
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,11,(2.083.559),(1.316.624),11.0,-2083559.0,-1316624.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,12,53.455.360,55.339.988,12.0,53455360.0,55339988.0
Chứng khoán đầu tư sẵn sàng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,12.1,50.384.788,51.948.658,121.0,50384788.0,51948658.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,TÀI SẢN > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,12.2,4.048.438,4.136.200,122.0,4048438.0,4136200.0
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,12.3,(977.866),(744.870),123.0,-977866.0,-744870.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",13,4.965.541,3.351.965,13.0,4965541.0,3351965.0
Đầu tư vào công ty con,TÀI SẢN > Đầu tư vào công ty con,Đầu tư vào công ty con,13.1,4.813.035,3.129.035,131.0,4813035.0,3129035.0
Đầu tư dài hạn khác,TÀI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,13.2,194.602,299.372,132.0,194602.0,299372.0
Dự phòng giảm giá đầu tư dài hạn,TÀI SẢN > Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,13.3,(42.096),(76.442),133.0,-42096.0,-76442.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,14,564.446,423.791,14.0,564446.0,423791.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,14.1,302.531,255.724,141.0,302531.0,255724.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,781.096,676.218,,781096.0,676218.0
Khẩu hao tài sản cố định,TÀI SẢN > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,,(478.565),(420.494),,-478565.0,-420494.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,14.2,261.915,168.067,142.0,261915.0,168067.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,462.202,308.928,,462202.0,308928.0
Hao mòn tài sản cố định,TÀI SẢN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(200.287),(140.861),,-200287.0,-140861.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,15,12.598.535,11.879.212,15.0,12598535.0,11879212.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,15.1,7.282.395,6.032.628,151.0,7282395.0,6032628.0
"Các khoản lãi, phí phải thu","TÀI SẢN > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",15.2,2.835.787,3.419.871,152.0,2835787.0,3419871.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,15.3,2.497.214,2.653.257,153.0,2497214.0,2653257.0
Dự phòng rủi ro cho các tài sản Có nội bằng khác,TÀI SẢN > Dự phòng rủi ro cho các tài sản Có nội bằng khác,Dự phòng rủi ro cho các tài sản Có nội bằng khác,15.4,(16.861),(226.544),154.0,-16861.0,-226544.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,,234.066.050,200.767.782,,234066050.0,200767782.0
