row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,31/12/2016 VND,01/01/2016 VND,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2016 VND,numeric__01/01/2016 VND
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,,603.458.413.186,460.347.766.841,,240.0,,603458413186.0,460347766841.0
1.,1.,1.,"Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,-,-,,241.0,,,
2.,2.,2.,Chi phí xây dựng cơ bản dở dang,242,18,603.458.413.186,460.347.766.841,,242.0,18.0,603458413186.0,460347766841.0
V.,V.,V.,Đầu tư tài chính dài hạn,250,,56.466.429.083,41.337.243.414,,250.0,,56466429083.0,41337243414.0
1.,1.,1.,"Đầu tư vào công ty liên doanh, liên kết",252,7.b,26.615.469.977,26.450.981.778,,252.0,,26615469977.0,26450981778.0
2.,2.,2.,Đầu tư góp vốn vào đơn vị khác,253,7.c,32.225.730.632,15.751.500.000,,253.0,,32225730632.0,15751500000.0
3.,3.,3.,Dự phòng đầu tư tài chính dài hạn,254,7.c,(2.374.771.526),(2.265.238.364),,254.0,,-2374771526.0,-2265238364.0
4.,4.,4.,Đầu tư nắm giữ đến ngày đáo hạn,255,,-,1.400.000.000,,255.0,,,1400000000.0
VI.,VI.,VI.,Tài sản dài hạn khác,260,,320.143.359.509,350.223.443.353,,260.0,,320143359509.0,350223443353.0
1.,1.,1.,Chi phí trả trước dài hạn,261,14.b,39.418.056.499,41.474.594.822,,261.0,,39418056499.0,41474594822.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,19,17.638.601.978,18.164.978.676,,262.0,19.0,17638601978.0,18164978676.0
3.,3.,3.,Lợi thế thương mại,269,20,263.086.701.032,290.583.869.855,,269.0,20.0,263086701032.0,290583869855.0
,,,TỔNG CỘNG TÀI SẢN,270,,7.010.967.973.608,6.815.607.487.674,,270.0,,7010967973608.0,6815607487674.0
