row_label_raw,row_label_full,Các bên có liên quan > Các khoản phải thu ngắn hạn khác (Thuyết minh 11),Bản chất số dư > Các khoản phải thu ngắn hạn khác (Thuyết minh 11),31 tháng 12 năm 2025VND > Các khoản phải thu ngắn hạn khác (Thuyết minh 11),31 tháng 12 năm 2024VND > Các khoản phải thu ngắn hạn khác (Thuyết minh 11),numeric__Bản chất số dư > Các khoản phải thu ngắn hạn khác (Thuyết minh 11),numeric__31 tháng 12 năm 2025VND > Các khoản phải thu ngắn hạn khác (Thuyết minh 11),numeric__31 tháng 12 năm 2024VND > Các khoản phải thu ngắn hạn khác (Thuyết minh 11)
,,,,32.797.709.590,15.625.479.452,,32797709590.0,15625479452.0
Chi phí phải trả dài hạn (Thuyết minh 21),Chi phí phải trả dài hạn (Thuyết minh 21),Chi phí phải trả dài hạn (Thuyết minh 21),Chi phí phải trả dài hạn (Thuyết minh 21),Chi phí phải trả dài hạn (Thuyết minh 21),Chi phí phải trả dài hạn (Thuyết minh 21),,,
Công ty Cổ phần Khu Công nghiệpSài Gòn - Bắc Giang,Chi phí phải trả dài hạn (Thuyết minh 21) > Công ty Cổ phần Khu Công nghiệpSài Gòn - Bắc Giang,Công ty Cổ phần Khu Công nghiệpSài Gòn - Bắc Giang,Lãi vay,276.394.353.161,384.146.610.104,,276394353161.0,384146610104.0
Công ty Cổ phần Khu Công nghiệpSài Gòn - Hải Phòng,Chi phí phải trả dài hạn (Thuyết minh 21) > Công ty Cổ phần Khu Công nghiệpSài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệpSài Gòn - Hải Phòng,Lãi vay,86.948.590.729,137.082.072.656,,86948590729.0,137082072656.0
Công ty Cổ phần Khu Công nghiệpSài Gòn - Hải Phòng,Chi phí phải trả dài hạn (Thuyết minh 21) > Công ty Cổ phần Khu Công nghiệpSài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệpSài Gòn - Hải Phòng,Chi phí hợp tác đầu tư,40.360.273.973,-,,40360273973.0,
Công ty Cổ phần Đầu tư Phát triển Hạ tầngKhu Công nghệ cao Sài Gòn,Chi phí phải trả dài hạn (Thuyết minh 21) > Công ty Cổ phần Đầu tư Phát triển Hạ tầngKhu Công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Hạ tầngKhu Công nghệ cao Sài Gòn,Lãi vay,-,589.879.723,,,589879723.0
Công ty TNHH MTV Phát Triển Đỏ ThịTràng Cát,Chi phí phải trả dài hạn (Thuyết minh 21) > Công ty TNHH MTV Phát Triển Đỏ ThịTràng Cát,Công ty TNHH MTV Phát Triển Đỏ ThịTràng Cát,Lãi vay,101.788.596.960,12.169.577.083,,101788596960.0,12169577083.0
Công ty Cổ phần Phát triển Đỏ thịSài Gòn Tây Bắc,Chi phí phải trả dài hạn (Thuyết minh 21) > Công ty Cổ phần Phát triển Đỏ thịSài Gòn Tây Bắc,Công ty Cổ phần Phát triển Đỏ thịSài Gòn Tây Bắc,Lãi vay,-,6.551.890.411,,,6551890411.0
Công ty TNHH MTV Kinh doanh văn phòngvà nhà xuống Kinh Bắc,Chi phí phải trả dài hạn (Thuyết minh 21) > Công ty TNHH MTV Kinh doanh văn phòngvà nhà xuống Kinh Bắc,Công ty TNHH MTV Kinh doanh văn phòngvà nhà xuống Kinh Bắc,Lãi vay,2.349.327.670,-,,2349327670.0,
Công ty Cổ phần Tập đoàn Đầu tư vàPhát triển Hưng Yên,Chi phí phải trả dài hạn (Thuyết minh 21) > Công ty Cổ phần Tập đoàn Đầu tư vàPhát triển Hưng Yên,Công ty Cổ phần Tập đoàn Đầu tư vàPhát triển Hưng Yên,Lãi vay,11.619.903,-,,11619903.0,
,,,,507.852.762.396,540.540.029.977,,507852762396.0,540540029977.0
Phải trả ngắn hạn khác (Thuyết minh 22),Phải trả ngắn hạn khác (Thuyết minh 22),Phải trả ngắn hạn khác (Thuyết minh 22),Phải trả ngắn hạn khác (Thuyết minh 22),Phải trả ngắn hạn khác (Thuyết minh 22),Phải trả ngắn hạn khác (Thuyết minh 22),,,
Công ty Cổ phần Khu Công nghiệpSài Gòn - Bắc Giang,Phải trả ngắn hạn khác (Thuyết minh 22) > Công ty Cổ phần Khu Công nghiệpSài Gòn - Bắc Giang,Công ty Cổ phần Khu Công nghiệpSài Gòn - Bắc Giang,Phải trả khác,858.000.000,858.000.000,,858000000.0,858000000.0
Phải trả dài hạn khác (Thuyết minh 22),Phải trả dài hạn khác (Thuyết minh 22),Phải trả dài hạn khác (Thuyết minh 22),Phải trả dài hạn khác (Thuyết minh 22),Phải trả dài hạn khác (Thuyết minh 22),Phải trả dài hạn khác (Thuyết minh 22),,,
Công ty Cổ phần Khu Công nghiệpSài Gòn - Hải Phòng,Phải trả dài hạn khác (Thuyết minh 22) > Công ty Cổ phần Khu Công nghiệpSài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệpSài Gòn - Hải Phòng,Phải trả từ nhậnhợp tác đầu tư,1.100.000.000.000,-,,1100000000000.0,
