row_label_raw,row_label_full,Chỉ tiêu,Mã số,Sau điều chỉnh VND,Năm 2014 Điều chỉnh VND,Trước điều chỉnh VND,numeric__Mã số,numeric__Sau điều chỉnh VND,numeric__Năm 2014 Điều chỉnh VND,numeric__Trước điều chỉnh VND
Tiền lãi vay đã trả,Điều chỉnh cho các khoản > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(76.701.672.821),-,(76.701.672.821),14.0,-76701672821.0,,-76701672821.0
Thuế thu nhập doanh nghiệp đã nộp,Điều chỉnh cho các khoản > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(972.503.541.600),-,(972.503.541.600),15.0,-972503541600.0,,-972503541600.0
Tiền thu khác từ hoạt động kinh doanh,Điều chỉnh cho các khoản > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,47.761.787.577,(4.360.509.266),52.122.296.843,16.0,47761787577.0,-4360509266.0,52122296843.0
Tiền chi khác cho hoạt động kinh doanh,Điều chỉnh cho các khoản > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(365.678.329.528),(11.730.251.882),(353.948.077.646),17.0,-365678329528.0,-11730251882.0,-353948077646.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Điều chỉnh cho các khoản > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,2.690.616.159.490,(2.790.065.207),2.693.406.224.696,20.0,2690616159490.0,-2790065207.0,2693406224696.0
Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,,,,
"Tiền chi đề mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","Lưu chuyển tiền từ hoạt động đầu tư > Tiền chi đề mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","Tiền chi đề mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,(7.569.251.307.000),2.790.065.459,(7.572.041.372.459),21.0,-7569251307000.0,2790065459.0,-7572041372459.0
"Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","Lưu chuyển tiền từ hoạt động đầu tư > Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,5.909.243.297,-,5.909.243.297,22.0,5909243297.0,,5909243297.0
"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Lưu chuyển tiền từ hoạt động đầu tư > Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,(9.441.900.000.000),(58.000.000.000),(9.383.900.000.000),23.0,-9441900000000.0,-58000000000.0,-9383900000000.0
"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","Lưu chuyển tiền từ hoạt động đầu tư > Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,8.728.880.693.666,-,8.728.880.693.666,24.0,8728880693666.0,,8728880693666.0
Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Lưu chuyển tiền từ hoạt động đầu tư > Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,671.968.893.589,-,671.968.893.589,26.0,671968893589.0,,671968893589.0
"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","Lưu chuyển tiền từ hoạt động đầu tư > Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,948.405.593.671,-,948.405.593.671,27.0,948405593671.0,,948405593671.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(6.655.986.882.777),(55.209.934.541),(6.600.776.948.236),30.0,-6655986882777.0,-55209934541.0,-6600776948236.0
