row_label_raw,row_label_full,Ngân hàng TNHH Ngoại thương Việt Nam tại Lào,Mối liên quan > Ngân hàng con,31/12/2025Triệu VNDPhải thu/(Phải trả),31/12/2024Triệu VND,numeric__Mối liên quan > Ngân hàng con,numeric__31/12/2025Triệu VNDPhải thu/(Phải trả),numeric__31/12/2024Triệu VND
Cho vay VCBNeo,"Ngân hàng thương mại TNHH một thành viên Ngoại thương Công nghệ số (""VCBNeo"") > Cho vay VCBNeo",Cho vay VCBNeo,,4.954.631,1.000.000,,4954631.0,1000000.0
Tiền gửi của Ngân hàng tại VCB Neo,"Ngân hàng thương mại TNHH một thành viên Ngoại thương Công nghệ số (""VCBNeo"") > Tiền gửi của Ngân hàng tại VCB Neo",Tiền gửi của Ngân hàng tại VCB Neo,,23.048.675,-,,23048675.0,
Tiền gửi của VCBNeo tại Ngân hàng,"Ngân hàng thương mại TNHH một thành viên Ngoại thương Công nghệ số (""VCBNeo"") > Tiền gửi của VCBNeo tại Ngân hàng",Tiền gửi của VCBNeo tại Ngân hàng,,(918.536),(310.936),,-918536.0,-310936.0
"Phải thu lãi tiền gửi, cho vay","Ngân hàng thương mại TNHH một thành viên Ngoại thương Công nghệ số (""VCBNeo"") > Phải thu lãi tiền gửi, cho vay","Phải thu lãi tiền gửi, cho vay",,59.344,251.381,,59344.0,251381.0
"Người quản lý, thành viên Ban Kiểm soát","Người quản lý, thành viên Ban Kiểm soát","Người quản lý, thành viên Ban Kiểm soát",Bên liên quan,,,,,
Tiền gửi tại Ngân hàng,"Người quản lý, thành viên Ban Kiểm soát > Tiền gửi tại Ngân hàng",Tiền gửi tại Ngân hàng,,(91.264),(80.153),,-91264.0,-80153.0
Cho vay,"Người quản lý, thành viên Ban Kiểm soát > Cho vay",Cho vay,,8.775,17.331,,8775.0,17331.0
Dư nợ thể tín dụng tại Ngân hàng,"Người quản lý, thành viên Ban Kiểm soát > Dư nợ thể tín dụng tại Ngân hàng",Dư nợ thể tín dụng tại Ngân hàng,,1.472,896,,1472.0,896.0
"Cá nhân liên quan của Người quản lý, thành viên Ban Kiểm soát","Cá nhân liên quan của Người quản lý, thành viên Ban Kiểm soát","Cá nhân liên quan của Người quản lý, thành viên Ban Kiểm soát",Bên liên quan,,,,,
Tiền gửi tại Ngân hàng,"Cá nhân liên quan của Người quản lý, thành viên Ban Kiểm soát > Tiền gửi tại Ngân hàng",Tiền gửi tại Ngân hàng,,(184.925),(110.499),,-184925.0,-110499.0
Cho vay,"Cá nhân liên quan của Người quản lý, thành viên Ban Kiểm soát > Cho vay",Cho vay,,11.555,17.419,,11555.0,17419.0
Dư nợ thể tín dụng tại Ngân hàng,"Cá nhân liên quan của Người quản lý, thành viên Ban Kiểm soát > Dư nợ thể tín dụng tại Ngân hàng",Dư nợ thể tín dụng tại Ngân hàng,,569,1.029,,569.0,1029.0
Công ty có Tổng Giám đốc/thành viên HĐQT/Chủ tịch HĐQT là thành viên trong gia đình của thành viên HĐQT/thành viên BKS Ngân hàng và công ty có chung thành viên HĐQT với Ngân hàng,Công ty có Tổng Giám đốc/thành viên HĐQT/Chủ tịch HĐQT là thành viên trong gia đình của thành viên HĐQT/thành viên BKS Ngân hàng và công ty có chung thành viên HĐQT với Ngân hàng,Công ty có Tổng Giám đốc/thành viên HĐQT/Chủ tịch HĐQT là thành viên trong gia đình của thành viên HĐQT/thành viên BKS Ngân hàng và công ty có chung thành viên HĐQT với Ngân hàng,Bên liên quan,,,,,
"Cho vay, dư nợ thể tín dụng tại Ngân hàng","Công ty có Tổng Giám đốc/thành viên HĐQT/Chủ tịch HĐQT là thành viên trong gia đình của thành viên HĐQT/thành viên BKS Ngân hàng và công ty có chung thành viên HĐQT với Ngân hàng > Cho vay, dư nợ thể tín dụng tại Ngân hàng","Cho vay, dư nợ thể tín dụng tại Ngân hàng",,345.077,310.747,,345077.0,310747.0
Tiền gửi tại Ngân hàng,Công ty có Tổng Giám đốc/thành viên HĐQT/Chủ tịch HĐQT là thành viên trong gia đình của thành viên HĐQT/thành viên BKS Ngân hàng và công ty có chung thành viên HĐQT với Ngân hàng > Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,,(1.562.149),(1.501.513),,-1562149.0,-1501513.0
Phải thu lãi cho vay,Công ty có Tổng Giám đốc/thành viên HĐQT/Chủ tịch HĐQT là thành viên trong gia đình của thành viên HĐQT/thành viên BKS Ngân hàng và công ty có chung thành viên HĐQT với Ngân hàng > Phải thu lãi cho vay,Phải thu lãi cho vay,,221,188,,221.0,188.0
