row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Chênh lệch tỷ giá hối doài,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Chênh lệch tỷ giá hối doài,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân,numeric__Cộng
"Tạm trích Quỹ khen thưởng, phúc lợi","Điều chính hồi tố theo kiểm toán Nhà nước và Thanh tra Thuế (Thuyết minh số 36) > Tạm trích Quỹ khen thưởng, phúc lợi","Tạm trích Quỹ khen thưởng, phúc lợi",-,-,-,(56.471.100.000),(56.471.100.000),,,,-56471100000.0,-56471100000.0
Tạm trích Quỹ đầu tư phát triển,Điều chính hồi tố theo kiểm toán Nhà nước và Thanh tra Thuế (Thuyết minh số 36) > Tạm trích Quỹ đầu tư phát triển,Tạm trích Quỹ đầu tư phát triển,-,-,1.032.000.000.000,(1.032.000.000.000),-,,,1032000000000.0,-1032000000000.0,
Tạm trích lợi nhuận phal nộp về Tập đoàn,Điều chính hồi tố theo kiểm toán Nhà nước và Thanh tra Thuế (Thuyết minh số 36) > Tạm trích lợi nhuận phal nộp về Tập đoàn,Tạm trích lợi nhuận phal nộp về Tập đoàn,-,-,-,(2.362.560.772.479),(2.362.560.772.479),,,,-2362560772479.0,-2362560772479.0
Kết chuyển tăng vốn điều lệ,Điều chính hồi tố theo kiểm toán Nhà nước và Thanh tra Thuế (Thuyết minh số 36) > Kết chuyển tăng vốn điều lệ,Kết chuyển tăng vốn điều lệ,2.402.998.359.544,-,(2.402.998.359.544),-,-,2402998359544.0,,-2402998359544.0,,
Kết chuyển phải trả cổ phần hóa,Điều chính hồi tố theo kiểm toán Nhà nước và Thanh tra Thuế (Thuyết minh số 36) > Kết chuyển phải trả cổ phần hóa,Kết chuyển phải trả cổ phần hóa,-,-,(2.721.191.414.777),-,(2.721.191.414.777),,,-2721191414777.0,,-2721191414777.0
Chênh lệch tỷ giá do xử lý tài chính (I),Điều chính hồi tố theo kiểm toán Nhà nước và Thanh tra Thuế (Thuyết minh số 36) > Chênh lệch tỷ giá do xử lý tài chính (I),Chênh lệch tỷ giá do xử lý tài chính (I),-,(57.718.950.430),-,-,(57.718.950.430),,-57718950430.0,,,-57718950430.0
Điều chính lợi nhuận năm 2016 phải nộp về Tập đoàn từ Quỹ đầu tư phát triển,Điều chính hồi tố theo kiểm toán Nhà nước và Thanh tra Thuế (Thuyết minh số 36) > Điều chính lợi nhuận năm 2016 phải nộp về Tập đoàn từ Quỹ đầu tư phát triển,Điều chính lợi nhuận năm 2016 phải nộp về Tập đoàn từ Quỹ đầu tư phát triển,-,-,(1.501.439.975.409),-,(1.501.439.975.409),,,-1501439975409.0,,-1501439975409.0
Số dư tại ngày 30 tháng 6 năm 2018Điều chính hồi tố theo kiểm toán Nhà nước và Thanh tra Thuế (Thuyết minh số 36),Điều chính hồi tố theo kiểm toán Nhà nước và Thanh tra Thuế (Thuyết minh số 36) > Số dư tại ngày 30 tháng 6 năm 2018Điều chính hồi tố theo kiểm toán Nhà nước và Thanh tra Thuế (Thuyết minh số 36),Số dư tại ngày 30 tháng 6 năm 2018Điều chính hồi tố theo kiểm toán Nhà nước và Thanh tra Thuế (Thuyết minh số 36),31.004.996.160.000,(57.718.950.430),-,-,30.947.277.209.570,31004996160000.0,-57718950430.0,,,30947277209570.0
Điều chính lợi nhuận 6 tháng đầu năm 2018,Điều chính hồi tố theo kiểm toán Nhà nước và Thanh tra Thuế (Thuyết minh số 36) > Điều chính lợi nhuận 6 tháng đầu năm 2018,Điều chính lợi nhuận 6 tháng đầu năm 2018,-,-,-,(91.180.780.985),(91.180.780.985),,,,-91180780985.0,-91180780985.0
Điều chính phân phối lợi nhuận 6 tháng đầu năm 2018 về Tập đoàn,Điều chính hồi tố theo kiểm toán Nhà nước và Thanh tra Thuế (Thuyết minh số 36) > Điều chính phân phối lợi nhuận 6 tháng đầu năm 2018 về Tập đoàn,Điều chính phân phối lợi nhuận 6 tháng đầu năm 2018 về Tập đoàn,-,-,-,91.180.780.985,91.180.780.985,,,,91180780985.0,91180780985.0
Điều chính theo Nghị quyết phê duyệt phân phối lợi nhuận năm 2017 (il),Điều chính theo Nghị quyết phê duyệt phân phối lợi nhuận năm 2017 (il),Điều chính theo Nghị quyết phê duyệt phân phối lợi nhuận năm 2017 (il),-,-,-,-,-,,,,,
Điều chính lợi nhuận năm 2017 phải nộp về Tập đoàn từ Quỹ đầu tư phát triển,Điều chính theo Nghị quyết phê duyệt phân phối lợi nhuận năm 2017 (il) > Điều chính lợi nhuận năm 2017 phải nộp về Tập đoàn từ Quỹ đầu tư phát triển,Điều chính lợi nhuận năm 2017 phải nộp về Tập đoàn từ Quỹ đầu tư phát triển,-,-,(2.313.000.000.000),-,(2.313.000.000.000),,,-2313000000000.0,,-2313000000000.0
Điều chính khoản phal trả cổ phần hóa,Điều chính theo Nghị quyết phê duyệt phân phối lợi nhuận năm 2017 (il) > Điều chính khoản phal trả cổ phần hóa,Điều chính khoản phal trả cổ phần hóa,-,-,2.313.000.000.000,-,2.313.000.000.000,,,2313000000000.0,,2313000000000.0
Điều chính theo Nghị quyết phê duyệt phân phối lợi nhuận 6 tháng đầu năm 2018 (iii),Điều chính theo Nghị quyết phê duyệt phân phối lợi nhuận 6 tháng đầu năm 2018 (iii),Điều chính theo Nghị quyết phê duyệt phân phối lợi nhuận 6 tháng đầu năm 2018 (iii),-,-,-,-,-,,,,,
Điều chính trích Quỹ đầu tư phát triển 6 tháng đầu năm 2018,Điều chính theo Nghị quyết phê duyệt phân phối lợi nhuận 6 tháng đầu năm 2018 (iii) > Điều chính trích Quỹ đầu tư phát triển 6 tháng đầu năm 2018,Điều chính trích Quỹ đầu tư phát triển 6 tháng đầu năm 2018,-,-,(408.191.414.777),408.191.414.777,-,,,-408191414777.0,408191414777.0,
Điều chính khoản phal trả cổ phần hóa,Điều chính theo Nghị quyết phê duyệt phân phối lợi nhuận 6 tháng đầu năm 2018 (iii) > Điều chính khoản phal trả cổ phần hóa,Điều chính khoản phal trả cổ phần hóa,-,-,408.191.414.777,-,408.191.414.777,,,408191414777.0,,408191414777.0
"Điều chính trích Quỹ khen thưởng, phúc lợi 6 tháng đầu năm 2018","Điều chính theo Nghị quyết phê duyệt phân phối lợi nhuận 6 tháng đầu năm 2018 (iii) > Điều chính trích Quỹ khen thưởng, phúc lợi 6 tháng đầu năm 2018","Điều chính trích Quỹ khen thưởng, phúc lợi 6 tháng đầu năm 2018",-,-,-,(6.992.275.000),(6.992.275.000),,,,-6992275000.0,-6992275000.0
Điều chính lợi nhuận 6 tháng đầu năm 2018 phải nộp về Tập đoàn,Điều chính theo Nghị quyết phê duyệt phân phối lợi nhuận 6 tháng đầu năm 2018 (iii) > Điều chính lợi nhuận 6 tháng đầu năm 2018 phải nộp về Tập đoàn,Điều chính lợi nhuận 6 tháng đầu năm 2018 phải nộp về Tập đoàn,-,-,-,(401.199.139.777),(401.199.139.777),,,,-401199139777.0,-401199139777.0
Số dư tại ngày 30 tháng 6 năm 2018(Trình bày lại),Điều chính theo Nghị quyết phê duyệt phân phối lợi nhuận 6 tháng đầu năm 2018 (iii) > Số dư tại ngày 30 tháng 6 năm 2018(Trình bày lại),Số dư tại ngày 30 tháng 6 năm 2018(Trình bày lại),31.004.996.160.000,(57.718.950.430),-,-,30.947.277.209.570,31004996160000.0,-57718950430.0,,,30947277209570.0
Lợi nhuận trong kỳ,Điều chính theo Nghị quyết phê duyệt phân phối lợi nhuận 6 tháng đầu năm 2018 (iii) > Lợi nhuận trong kỳ,Lợi nhuận trong kỳ,-,-,-,250.743.660.704,250.743.660.704,,,,250743660704.0,250743660704.0
Điều chính chênh lệch tỷ giá (I),Điều chính theo Nghị quyết phê duyệt phân phối lợi nhuận 6 tháng đầu năm 2018 (iii) > Điều chính chênh lệch tỷ giá (I),Điều chính chênh lệch tỷ giá (I),-,57.718.950.430,-,-,57.718.950.430,,57718950430.0,,,57718950430.0
Số dư tại ngày 31 tháng 12 năm 2018,Điều chính theo Nghị quyết phê duyệt phân phối lợi nhuận 6 tháng đầu năm 2018 (iii) > Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,31.004.996.160.000,-,-,250.743.660.704,31.255.739.820.704,31004996160000.0,,,250743660704.0,31255739820704.0
