row_label_raw,row_label_full,NGUỒN VỐN,Mã số,TM,31/12/2022 VND,01/01/2022 VND,numeric__Mã số,numeric__TM,numeric__31/12/2022 VND,numeric__01/01/2022 VND
1. Phải trả dài hạn người bán,1. Phải trả dài hạn người bán,1. Phải trả dài hạn người bán,331,5.16,3.922.928.954,3.922.928.954,331.0,516.0,3922928954.0,3922928954.0
2. Doanh thu chưa thực hiện dài hạn,2. Doanh thu chưa thực hiện dài hạn,2. Doanh thu chưa thực hiện dài hạn,336,5.19,208.603.399.206,209.493.463.864,336.0,519.0,208603399206.0,209493463864.0
3. Phải trả dài hạn khác,3. Phải trả dài hạn khác,3. Phải trả dài hạn khác,337,5.20,720.549.825.665,726.665.131.420,337.0,520.0,720549825665.0,726665131420.0
4. Vay và nợ thuê tài chính dài hạn,4. Vay và nợ thuê tài chính dài hạn,4. Vay và nợ thuê tài chính dài hạn,338,5.22,132.331.166.911,151.231.166.911,338.0,522.0,132331166911.0,151231166911.0
5. Thuế thu nhập hoãn lại phải trả,5. Thuế thu nhập hoãn lại phải trả,5. Thuế thu nhập hoãn lại phải trả,341,,63.213.756.793,63.189.506.414,341.0,,63213756793.0,63189506414.0
D/ VỐN CHỦ SỞ HỮU,D/ VỐN CHỦ SỞ HỮU,D/ VỐN CHỦ SỞ HỮU,400,,1.063.504.821.569,1.013.949.901.501,400.0,,1063504821569.0,1013949901501.0
I/ Vốn chủ sở hữu,I/ Vốn chủ sở hữu,I/ Vốn chủ sở hữu,410,5.23,1.063.504.821.569,1.013.949.901.501,410.0,523.0,1063504821569.0,1013949901501.0
1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,411,,3.000.000.000.000,3.000.000.000.000,411.0,,3000000000000.0,3000000000000.0
2. Vốn khác của chủ sở hữu,2. Vốn khác của chủ sở hữu,2. Vốn khác của chủ sở hữu,414,,6.269.828.101,6.269.828.101,414.0,,6269828101.0,6269828101.0
3. Cổ phiếu quỹ,3. Cổ phiếu quỹ,3. Cổ phiếu quỹ,415,,(10.000),(10.000),415.0,,-10000.0,-10000.0
4. Quỹ đầu tư phát triển,4. Quỹ đầu tư phát triển,4. Quỹ đầu tư phát triển,418,,110.849.900.972,110.830.404.280,418.0,,110849900972.0,110830404280.0
5. Quỹ khác thuộc vốn chủ sở hữu,5. Quỹ khác thuộc vốn chủ sở hữu,5. Quỹ khác thuộc vốn chủ sở hữu,420,,14.345.072.839,14.345.072.839,420.0,,14345072839.0,14345072839.0
6. Lợi nhuận sau thuế chưa phân phối,6. Lợi nhuận sau thuế chưa phân phối,6. Lợi nhuận sau thuế chưa phân phối,421,,(2.690.707.564.259),(2.726.416.102.714),421.0,,-2690707564259.0,-2726416102714.0
- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,(2.731.146.188.534),(2.650.446.067.004),,,-2731146188534.0,-2650446067004.0
- LNST chưa phân phối kỳ này,- LNST chưa phân phối kỳ này,- LNST chưa phân phối kỳ này,421b,,40.438.624.275,(75.970.035.710),,,40438624275.0,-75970035710.0
7. Lợi ích cổ đông không kiểm soát,7. Lợi ích cổ đông không kiểm soát,7. Lợi ích cổ đông không kiểm soát,429,,622.747.593.916,608.920.708.995,429.0,,622747593916.0,608920708995.0
II/ Nguồn kinh phí và quỹ khác,II/ Nguồn kinh phí và quỹ khác,II/ Nguồn kinh phí và quỹ khác,430,,-,-,430.0,,,
TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,440,,2.986.913.515.902,2.932.844.228.065,440.0,,2986913515902.0,2932844228065.0
