row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2023Nghìn VND,1/1/2023Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2023Nghìn VND,numeric__1/1/2023Nghìn VND
Vốn cổ phần,NGUỒN VỐN > Vốn cổ phần,Vốn cổ phần,411,25,10.991.554.200,10.991.554.200,411.0,25.0,10991554200.0,10991554200.0
- Cổ phiếu phổ thông có quyền biểu quyết,NGUỒN VỐN > - Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,10.991.554.200,10.991.554.200,,,10991554200.0,10991554200.0
Thặng dư vốn cổ phần,NGUỒN VỐN > Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,25,1.098.259.892,1.098.259.892,412.0,25.0,1098259892.0,1098259892.0
Vốn khác của chủ sở hữu,NGUỒN VỐN > Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,414,,(295.683.347),(295.683.347),414.0,,-295683347.0,-295683347.0
Chênh lệch tỷ giá hối đoái,NGUỒN VỐN > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,417,,(233.846.997),(419.419.764),417.0,,-233846997.0,-419419764.0
Quỹ khác thuộc vốn chủ sở hữu,NGUỒN VỐN > Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,420,,396.305.033,675.544.001,420.0,,396305033.0,675544001.0
Lợi nhuận sau thuế chưa phân phối,NGUỒN VỐN > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,1.455.345.029,3.031.229.349,421.0,,1455345029.0,3031229349.0
- LNST chưa phân phối đến cuối năm trước,NGUỒN VỐN > - LNST chưa phân phối đến cuối năm trước,- LNST chưa phân phối đến cuối năm trước,421a,,3.031.229.349,2.962.204.732,,,3031229349.0,2962204732.0
- (Lỗ)/LNST năm nay,NGUỒN VỐN > - (Lỗ)/LNST năm nay,- (Lỗ)/LNST năm nay,421b,,(1.575.884.320),69.024.617,,,-1575884320.0,69024617.0
Lợi ích cổ đông không kiểm soát,NGUỒN VỐN > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,212.558.053,165.954.443,429.0,,212558053.0,165954443.0
TỔNG NGUỒN VỐN (440 = 300 + 400),NGUỒN VỐN > TỔNG NGUỒN VỐN (440 = 300 + 400),TỔNG NGUỒN VỐN (440 = 300 + 400),440,,40.372.356.113,41.521.000.189,440.0,,40372356113.0,41521000189.0
