row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2024,Năm kết thúc ngày 31 tháng 12 năm 2024 > Khu vựcMiền BắcTriệu VND,Năm kết thúc ngày 31 tháng 12 năm 2024 > Khu vựcMiền TrungTriệu VND,Năm kết thúc ngày 31 tháng 12 năm 2024 > Khu vựcMiền NamTriệu VND,Năm kết thúc ngày 31 tháng 12 năm 2024 > LàoTriệu VND,Năm kết thúc ngày 31 tháng 12 năm 2024 > CampuchiaTriệu VND,Năm kết thúc ngày 31 tháng 12 năm 2024 > Tổng bộ phậnđã báo cáoTriệu VND,Năm kết thúc ngày 31 tháng 12 năm 2024 > Loại trừTriệu VND,Năm kết thúc ngày 31 tháng 12 năm 2024 > Tổng cộngTriệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2024 > Khu vựcMiền BắcTriệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2024 > Khu vựcMiền TrungTriệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2024 > Khu vựcMiền NamTriệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2024 > LàoTriệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2024 > CampuchiaTriệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2024 > Tổng bộ phậnđã báo cáoTriệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2024 > Loại trừTriệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2024 > Tổng cộngTriệu VND
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quỹ","Tải sản > Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",1.125.723,1.013.119,5.856.027,30.932,188.852,8.214.653,-,8.214.653,1125723.0,1013119.0,5856027.0,30932.0,188852.0,8214653.0,,8214653.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,320.968,656.625,14.795.509,312.254,1.558.799,17.644.155,-,17.644.155,320968.0,656625.0,14795509.0,312254.0,1558799.0,17644155.0,,17644155.0
Tiền gửi tại và cho vay các TCTD khác,Tải sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,49.627,2.713,87.537.095,337.711,314.030,88.241.176,-,88.241.176,49627.0,2713.0,87537095.0,337711.0,314030.0,88241176.0,,88241176.0
Cho vay khách hàng – thuần,Tải sản > Cho vay khách hàng – thuần,Cho vay khách hàng – thuần,84.066.998,90.072.266,350.017.791,1.745.278,4.545.670,530.448.003,-,530.448.003,84066998.0,90072266.0,350017791.0,1745278.0,4545670.0,530448003.0,,530448003.0
Chứng khoán đầu tư – thuần,Tải sản > Chứng khoán đầu tư – thuần,Chứng khoán đầu tư – thuần,-,-,85.720.432,9.314,635,85.730.381,-,85.730.381,,,85720432.0,9314.0,635.0,85730381.0,,85730381.0
Tải sản Có khác,Tải sản > Tải sản Có khác,Tải sản Có khác,980.929,1.050.173,15.850.519,223.772,274.586,18.379.979,(563.801),17.816.178,980929.0,1050173.0,15850519.0,223772.0,274586.0,18379979.0,-563801.0,17816178.0
TỔNG TẢI SẢN,Tải sản > TỔNG TẢI SẢN,TỔNG TẢI SẢN,86.544.245,92.794.896,559.777.373,2.659.261,6.882.572,748.658.347,(563.801),748.094.546,86544245.0,92794896.0,559777373.0,2659261.0,6882572.0,748658347.0,-563801.0,748094546.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,54.255,-,-,54.255,-,54.255,,,54255.0,,,54255.0,,54255.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,738.829,4.961,69.704.667,74.372,132.463,70.655.292,-,70.655.292,738829.0,4961.0,69704667.0,74372.0,132463.0,70655292.0,,70655292.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,105.777.397,72.597.530,381.968.378,1.518.091,5.020.418,566.881.814,-,566.881.814,105777397.0,72597530.0,381968378.0,1518091.0,5020418.0,566881814.0,,566881814.0
Nợ phải trả khác,Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,5.388.758,3.053.493,46.781.448,538.472,332.745,56.094.916,(563.801),55.531.115,5388758.0,3053493.0,46781448.0,538472.0,332745.0,56094916.0,-563801.0,55531115.0
TỔNG NỘ PHẢI TRẢ,Nợ phải trả > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,111.904.984,75.655.984,498.508.748,2.130.935,5.485.626,693.686.277,(563.801),693.122.476,111904984.0,75655984.0,498508748.0,2130935.0,5485626.0,693686277.0,-563801.0,693122476.0
