row_label_raw,row_label_full,col_0,Thuyết minh,Mã số,Năm kết thúc ngày31 tháng 12 năm 2025VND,Năm kết thúc ngày31 tháng 12 năm 2024VND,numeric__Thuyết minh,numeric__Mã số,numeric__Năm kết thúc ngày31 tháng 12 năm 2025VND,numeric__Năm kết thúc ngày31 tháng 12 năm 2024VND
"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","Lưu chuyển tiền từ hoạt động đầu tư > Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,24,3.056.928.282.592,6.798.133.451.154,,24.0,3056928282592.0,6798133451154.0
Tiền chi đầu tư góp vốn vào đơn vị khác,Lưu chuyển tiền từ hoạt động đầu tư > Tiền chi đầu tư góp vốn vào đơn vị khác,Tiền chi đầu tư góp vốn vào đơn vị khác,,25,(5.637.210.817.783),(1.197.250.000.000),,25.0,-5637210817783.0,-1197250000000.0
Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Lưu chuyển tiền từ hoạt động đầu tư > Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,26,358.300.000.000,339.000.000.000,,26.0,358300000000.0,339000000000.0
Tiền thu lãi tiền gửi,Lưu chuyển tiền từ hoạt động đầu tư > Tiền thu lãi tiền gửi,Tiền thu lãi tiền gửi,,27,429.851.520.123,324.480.476.149,,27.0,429851520123.0,324480476149.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,,30,(3.575.099.893.769),(1.874.495.326.779),,30.0,-3575099893769.0,-1874495326779.0
Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,,,,
Tiền thu từ nhận vốn góp của chủ sở hữu,Lưu chuyển tiền từ hoạt động tài chính > Tiền thu từ nhận vốn góp của chủ sở hữu,Tiền thu từ nhận vốn góp của chủ sở hữu,,31,4.215.965.000.000,1.000.000.000,,31.0,4215965000000.0,1000000000.0
Tiền thu từ đi vay,Lưu chuyển tiền từ hoạt động tài chính > Tiền thu từ đi vay,Tiền thu từ đi vay,,33,20.233.206.443.902,9.416.895.848.867,,33.0,20233206443902.0,9416895848867.0
Tiền trả nợ gốc vay,Lưu chuyển tiền từ hoạt động tài chính > Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,,34,(1.727.302.057.588),(2.970.490.953.646),,34.0,-1727302057588.0,-2970490953646.0
"Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Lưu chuyển tiền từ hoạt động tài chính > Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,36,(375.000.000),(11.000.000),,36.0,-375000000.0,-11000000.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,,40,22.721.494.386.314,6.447.393.895.221,,40.0,22721494386314.0,6447393895221.0
Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền từ hoạt động tài chính > Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,,50,1.802.498.377.517,5.724.731.716.849,,50.0,1802498377517.0,5724731716849.0
Tiền và tương đương tiền đầu năm,Lưu chuyển tiền từ hoạt động tài chính > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,6,60,6.566.036.174.506,841.304.457.657,6.0,60.0,6566036174506.0,841304457657.0
Tiền và tương đương tiền cuối năm,Lưu chuyển tiền từ hoạt động tài chính > Tiền và tương đương tiền cuối năm,Tiền và tương đương tiền cuối năm,6,70,8.368.534.552.023,6.566.036.174.506,6.0,70.0,8368534552023.0,6566036174506.0
