row_label_raw,row_label_full,Ngắn hạn,31 tháng 12 năm 2025,31 tháng 12 năm 2025_1,31 tháng 12 năm 2024,31 tháng 12 năm 2024_1,numeric__31 tháng 12 năm 2025,numeric__31 tháng 12 năm 2025_1,numeric__31 tháng 12 năm 2024,numeric__31 tháng 12 năm 2024_1
Công ty Cổ phần Dịch vụ Buu Chính Viễn Thông Sài Gòn,Ngắn hạn > Công ty Cổ phần Dịch vụ Buu Chính Viễn Thông Sài Gòn,Công ty Cổ phần Dịch vụ Buu Chính Viễn Thông Sài Gòn,37.523.191.926,(1.953.810.086),37.523.191.925,-,37523191926.0,-1953810086.0,37523191925.0,
Công ty Cổ Phần Phân Phối và Dịch Vụ Saigontel,Ngắn hạn > Công ty Cổ Phần Phân Phối và Dịch Vụ Saigontel,Công ty Cổ Phần Phân Phối và Dịch Vụ Saigontel,23.015.000.000,-,23.015.000.000,-,23015000000.0,,23015000000.0,
Phải thu về cho vay các công ty khác,Ngắn hạn > Phải thu về cho vay các công ty khác,Phải thu về cho vay các công ty khác,248.140.162.096,(500.000.000),291.164.397.475,(500.000.000),248140162096.0,-500000000.0,291164397475.0,-500000000.0
Phải thu cho vay đối tượng khác (ii),Ngắn hạn > Phải thu cho vay đối tượng khác (ii),Phải thu cho vay đối tượng khác (ii),72.274.221.629,(10.000.000.000),72.274.221.629,-,72274221629.0,-10000000000.0,72274221629.0,
Ông Hoàng Văn Cường,Ngắn hạn > Ông Hoàng Văn Cường,Ông Hoàng Văn Cường,60.000.000.000,-,60.000.000.000,-,60000000000.0,,60000000000.0,
Phải thu về cho vay các đối tượng khác,Ngắn hạn > Phải thu về cho vay các đối tượng khác,Phải thu về cho vay các đối tượng khác,12.274.221.629,(10.000.000.000),12.274.221.629,-,12274221629.0,-10000000000.0,12274221629.0,
Phải thu cho vay các bên liên quan (Thuyết minh 38),Ngắn hạn > Phải thu cho vay các bên liên quan (Thuyết minh 38),Phải thu cho vay các bên liên quan (Thuyết minh 38),1.731.133.852.291,-,1.582.390.688.283,-,1731133852291.0,,1582390688283.0,
,,,4.166.817.606.025,(12.453.810.086),3.281.260.294.254,(500.000.000),4166817606025.0,-12453810086.0,3281260294254.0,-500000000.0
Dài hạn (iii),Dài hạn (iii),Dài hạn (iii),,,,,,,,
Công ty Cổ phần Năng Lượng Sài Gòn – Bình Định,Dài hạn (iii) > Công ty Cổ phần Năng Lượng Sài Gòn – Bình Định,Công ty Cổ phần Năng Lượng Sài Gòn – Bình Định,478.407.865.993,-,528.407.865.995,-,478407865993.0,,528407865995.0,
Công ty Cổ phần Dịch vụ Kinh Bắc,Dài hạn (iii) > Công ty Cổ phần Dịch vụ Kinh Bắc,Công ty Cổ phần Dịch vụ Kinh Bắc,154.073.000.000,-,177.473.000.000,-,154073000000.0,,177473000000.0,
Phải thu về cho vay các công ty khác,Dài hạn (iii) > Phải thu về cho vay các công ty khác,Phải thu về cho vay các công ty khác,-,-,51.280.000.000,-,,,51280000000.0,
,,,632.480.865.993,-,757.160.865.995,-,632480865993.0,,757160865995.0,
,,,4.799.298.472.018,(12.453.810.086),4.038.421.160.249,(500.000.000),4799298472018.0,-12453810086.0,4038421160249.0,-500000000.0
