row_label_raw,row_label_full,Mã số CHỈ TIÊU,Mã số CHỈ TIÊU_1,Thuyết minh,Năm 2016 > VND,Năm 2015 > VND,numeric__Mã số CHỈ TIÊU_1,numeric__Thuyết minh,numeric__Năm 2016 > VND,numeric__Năm 2015 > VND
11,01 > 11,11,"- Tăng/giảm các khoản phải trả (không kể lãi vay phải trả, thuế TNDN phải nộp)",,(166.198.459.037),(830.074.636.923),,,-166198459037.0,-830074636923.0
12,01 > 12,12,- Tăng/giảm chi phí trả trước,,550.278.830,9.459.685.767,,,550278830.0,9459685767.0
14,01 > 14,14,- Tiền lãi vay đã trả,,(3.588.783.333),(146.130.993.377),,,-3588783333.0,-146130993377.0
16,01 > 16,16,- Tiền thu khác từ hoạt động kinh doanh,,73.540.000,-,,,73540000.0,
17,01 > 17,17,- Tiền chi khác cho hoạt động kinh doanh,,(562.567.452),(163.508.222.740),,,-562567452.0,-163508222740.0
20,01 > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,(737.535.247),(1.115.334.762.923),,,-737535247.0,-1115334762923.0
II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,,,,
21,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ > 21,21,"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",,(16.219.319.832),(1.968.298.134),,,-16219319832.0,-1968298134.0
23,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ > 23,23,"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,(41.694.000.000),(4.000.000.000),,,-41694000000.0,-4000000000.0
24,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ > 24,24,"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,47.044.000.000,55.159.900.000,,,47044000000.0,55159900000.0
25,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ > 25,25,5. Tiền chi đầu tư góp vốn vào đơn vị khác,,(100.000.000),(11.578.000.000),,,-100000000.0,-11578000000.0
26,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ > 26,26,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,41.655.500.000,1.952.713.000.000,,,41655500000.0,1952713000000.0
27,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ > 27,27,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,1.101.063.304,705.113.187,,,1101063304.0,705113187.0
30,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ > 30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,,31.787.243.472,1.991.031.715.053,,,31787243472.0,1991031715053.0
III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
34,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 34,34,4. Tiền trả nợ gốc vay,,(37.996.270.000),(895.000.000.000),,,-37996270000.0,-895000000000.0
40,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,(37.996.270.000),(895.000.000.000),,,-37996270000.0,-895000000000.0
50,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 50,50,Lưu chuyển tiền thuần trong năm,,(6.946.561.775),(19.303.047.870),,,-6946561775.0,-19303047870.0
60,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 60,60,Tiền và tương đương tiền đầu năm,,23.244.347.477,42.547.395.347,,,23244347477.0,42547395347.0
70,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 70,70,Tiền và tương đương tiền cuối năm,,16.297.785.702,23.244.347.477,,,16297785702.0,23244347477.0
