row_label_raw,row_label_full,col_0,Các khoản mục thuộc vốn chủ sở hữu,Các khoản mục thuộc vốn chủ sở hữu_1,Các khoản mục thuộc vốn chủ sở hữu_2,Các khoản mục thuộc vốn chủ sở hữu_3,Các khoản mục thuộc vốn chủ sở hữu_4,Các khoản mục thuộc vốn chủ sở hữu_5,Các khoản mục thuộc vốn chủ sở hữu_6,Các khoản mục thuộc vốn chủ sở hữu_7,Các khoản mục thuộc vốn chủ sở hữu_8,Các khoản mục thuộc vốn chủ sở hữu_9,numeric__Các khoản mục thuộc vốn chủ sở hữu,numeric__Các khoản mục thuộc vốn chủ sở hữu_1,numeric__Các khoản mục thuộc vốn chủ sở hữu_2,numeric__Các khoản mục thuộc vốn chủ sở hữu_3,numeric__Các khoản mục thuộc vốn chủ sở hữu_4,numeric__Các khoản mục thuộc vốn chủ sở hữu_5,numeric__Các khoản mục thuộc vốn chủ sở hữu_6,numeric__Các khoản mục thuộc vốn chủ sở hữu_7,numeric__Các khoản mục thuộc vốn chủ sở hữu_8,numeric__Các khoản mục thuộc vốn chủ sở hữu_9
Tăng/(giảm) khác,Tăng/(giảm) khác,Tăng/(giảm) khác,-,-,-,-,-,-,-,6.123,(277),5.846,,,,,,,,6123.0,-277.0,5846.0
Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,3.765.000,86.559,513.943,(90),(592.863),919.375,9.662,1.967.856,4.198.657,10.868.099,3765000.0,86559.0,513943.0,-90.0,-592863.0,919375.0,9662.0,1967856.0,4198657.0,10868099.0
Tăng vốn từ thành lập công ty con (a),Tăng vốn từ thành lập công ty con (a),Tăng vốn từ thành lập công ty con (a),-,-,-,-,-,-,-,-,115.119,115.119,,,,,,,,,115119.0,115119.0
Tăng vốn từ quỹ đầu tư phát triển (b),Tăng vốn từ quỹ đầu tư phát triển (b),Tăng vốn từ quỹ đầu tư phát triển (b),-,-,94.462,-,-,(185.219),-,-,90.757,-,,,94462.0,,,-185219.0,,,90757.0,
Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,-,-,-,-,-,-,-,1.282.774,847.784,2.130.558,,,,,,,,1282774.0,847784.0,2130558.0
Trích lập quỹ thuộc nguồn vốn,Trích lập quỹ thuộc nguồn vốn,Trích lập quỹ thuộc nguồn vốn,-,-,-,-,-,260.112,-,(260.112),-,-,,,,,,260112.0,,-260112.0,,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,(84.544),(63.234),(147.778),,,,,,,,-84544.0,-63234.0,-147778.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,-,(489.439),(437.860),(927.299),,,,,,,,-489439.0,-437860.0,-927299.0
Tăng/(giảm) khác từ công ty liên kết,Tăng/(giảm) khác từ công ty liên kết,Tăng/(giảm) khác từ công ty liên kết,-,-,-,-,-,-,-,(2.231),-,(2.231),,,,,,,,-2231.0,,-2231.0
Tăng/(giảm) do ngừng hợp nhất (c),Tăng/(giảm) do ngừng hợp nhất (c),Tăng/(giảm) do ngừng hợp nhất (c),-,-,-,-,-,(9.519),-,-,(118.231),(127.750),,,,,,-9519.0,,,-118231.0,-127750.0
Nộp về Quỹ hỗ trợ sắp xếp doanh nghiệp,Nộp về Quỹ hỗ trợ sắp xếp doanh nghiệp,Nộp về Quỹ hỗ trợ sắp xếp doanh nghiệp,-,-,-,-,-,-,-,(7.887),-,(7.887),,,,,,,,-7887.0,,-7887.0
Tăng/(giảm) khác,Tăng/(giảm) khác,Tăng/(giảm) khác,-,-,-,-,-,-,-,15.139,2.576,17.715,,,,,,,,15139.0,2576.0,17715.0
Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,3.765.000,86.559,608.405,(90),(592.863),984.749,9.662,2.421.556,4.635.568,11.918.546,3765000.0,86559.0,608405.0,-90.0,-592863.0,984749.0,9662.0,2421556.0,4635568.0,11918546.0
