row_label_raw,row_label_full,Másố,CHỈ TIÊU,Thuyết minh,Từ 01/06/2018đến 31/12/2018 > VND,Từ 01/01/2018đến 31/05/2018 > VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Từ 01/06/2018đến 31/12/2018 > VND,numeric__Từ 01/01/2018đến 31/05/2018 > VND
23,II. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG ĐẦU T^{-} > 23,23,"2. Tiền chỉ cho vay, mua các công cụ nợcủa đơn vị khác",,(82.845.600.358),(724.217.227.139),,,-82845600358.0,-724217227139.0
24,II. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG ĐẦU T^{-} > 24,24,"3. Tiền thu hồi cho vay, bán lại các côngcụ nợ của đơn vị khác",,986.928.472.387,986.618.029.091,,,986928472387.0,986618029091.0
25,II. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG ĐẦU T^{-} > 25,25,4. Tiền chỉ đầu tư góp vốn vào đơn vị khác,,(863.156.306.109),(118.079.168.000),,,-863156306109.0,-118079168000.0
27,II. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG ĐẦU T^{-} > 27,27,"5. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,1.581.311.000.850,418.885.452.728,,,1581311000850.0,418885452728.0
30,II. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG ĐẦU T^{-} > 30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,,1.622.057.709.105,563.207.086.680,,,1622057709105.0,563207086680.0
III. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG TÀI CHÍNH,III. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG TÀI CHÍNH,III. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG TÀI CHÍNH,III. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG TÀI CHÍNH,III. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG TÀI CHÍNH,III. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG TÀI CHÍNH,III. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG TÀI CHÍNH,,,,
31,III. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG TÀI CHÍNH > 31,31,"1. Tiền thu từ phát hành cổ phiếu, nhậnvốn góp của chủ sở hữu",,-,1.536.728.985.800,,,,1536728985800.0
34,III. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG TÀI CHÍNH > 34,34,2. Tiền trả nợ gốc vay,,(15.757.307.954),(18.414.042.591),,,-15757307954.0,-18414042591.0
40,III. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG TÀI CHÍNH > 40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,(15.757.307.954),1.518.314.943.209,,,-15757307954.0,1518314943209.0
50,III. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG TÀI CHÍNH > 50,50,Lưu chuyển tiền thuần trong kỳ,,616.669.568.121,467.829.565.216,,,616669568121.0,467829565216.0
60,III. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG TÀI CHÍNH > 60,60,Tiền và tương đương tiền đầu kỳ,,819.099.974.948,351.215.705.931,,,819099974948.0,351215705931.0
61,III. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG TÀI CHÍNH > 61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,294.631.450,54.703.801,,,294631450.0,54703801.0
70,III. LU^{-}U CHUYÊN TIÊN T^{-}U HOẠT ĐỘNG TÀI CHÍNH > 70,70,Tiền và tương đương tiền cuối kỳ,3,1.436.064.174.519,819.099.974.948,,3.0,1436064174519.0,819099974948.0
