row_label_raw,row_label_full,Tên công ty,2017 > Quyền sở hữu và biểu quyết %,2017 > Giá gốc VND,2017 > Giá trị hợp lý VND,2017 > Dự phòng VND,2016 > Quyền sở hữu và biểu quyết %,2016 > Giá gốc VND,2016 > Giá trị hợp lý VND,2016 > Dự phòng VND,numeric__2017 > Quyền sở hữu và biểu quyết %,numeric__2017 > Giá gốc VND,numeric__2017 > Giá trị hợp lý VND,numeric__2017 > Dự phòng VND,numeric__2016 > Quyền sở hữu và biểu quyết %,numeric__2016 > Giá gốc VND,numeric__2016 > Giá trị hợp lý VND,numeric__2016 > Dự phòng VND
Công ty Cổ phần Bia - Nước Giải khát Sài Gòn - Tây Đỏ,Công ty Cổ phần Bia - Nước Giải khát Sài Gòn - Tây Đỏ,Công ty Cổ phần Bia - Nước Giải khát Sài Gòn - Tây Đỏ,"14,41%",19.690.000.000,(*),-,"16,3%",19.690.000.000,(*),-,0.1441,19690000000.0,,,0.163,19690000000.0,,
Công ty Cổ phần Bia - Nước Giải khát Sài Gòn - Tây Đỏ,Công ty Cổ phần Bia - Nước Giải khát Sài Gòn - Tây Đỏ,Công ty Cổ phần Bia - Nước Giải khát Sài Gòn - Tây Đỏ,"14,41%",19.690.000.000,(*),-,"13,26%",53.249.742.406,(*),-,0.1441,19690000000.0,,,0.1326,53249742406.0,,
Công ty Cổ phần Bia Sài Gòn - Bình Tây (**),Công ty Cổ phần Bia Sài Gòn - Bình Tây (**),Công ty Cổ phần Bia Sài Gòn - Bình Tây (**),"13,26%",53.249.742.406,(*),-,"7,97%",42.337.214.481,(*),(24.851.604.453),0.1326,53249742406.0,,,0.0797,42337214481.0,,-24851604453.0
Quỹ đầu tư Việt Nam,Quỹ đầu tư Việt Nam,Quỹ đầu tư Việt Nam,"7,97%",35.617.214.481,(*),-,"7,20%",45.000.000.000,(*),(15.958.630.635),0.0797,35617214481.0,,,0.07200000000000001,45000000000.0,,-15958630635.0
Công ty Cổ phần Chứng khoán Đại Việt Công ty TNHH Đầu tư Sabeco HP,Công ty Cổ phần Chứng khoán Đại Việt Công ty TNHH Đầu tư Sabeco HP,Công ty Cổ phần Chứng khoán Đại Việt Công ty TNHH Đầu tư Sabeco HP,"7,2%",45.000.000.000,(*),(11.407.259.277),8%,24.426.586.800,(*),-,0.07200000000000001,45000000000.0,,-11407259277.0,0.08,24426586800.0,,
Công ty Cổ phần Chứng khoán Đại Việt Công ty TNHH Đầu tư Sabeco HP,Công ty Cổ phần Chứng khoán Đại Việt Công ty TNHH Đầu tư Sabeco HP,Công ty Cổ phần Chứng khoán Đại Việt Công ty TNHH Đầu tư Sabeco HP,8%,24.426.586.800,(*),(24.426.586.800),,,,,0.08,24426586800.0,,-24426586800.0,,,,
Công ty Cổ phần Bia Sài Gòn - Ninh Thuận (Thuyết minh 4(b)(ii)(**)),Công ty Cổ phần Bia Sài Gòn - Ninh Thuận (Thuyết minh 4(b)(ii)(**)),Công ty Cổ phần Bia Sài Gòn - Ninh Thuận (Thuyết minh 4(b)(ii)(**)),"10,26%",19.800.000.000,(*),-,-,-,(*),-,0.1026,19800000000.0,,,,,,
Công ty Cổ phần Bia Sài Gòn - Ninh Thuận (Thuyết minh 4(b)(ii)(**)),Công ty Cổ phần Bia Sài Gòn - Ninh Thuận (Thuyết minh 4(b)(ii)(**)),Công ty Cổ phần Bia Sài Gòn - Ninh Thuận (Thuyết minh 4(b)(ii)(**)),"10,26%",19.800.000.000,(*),-,"10,38%",3.954.000.000,(*),(3.327.377.203),0.1026,19800000000.0,,,0.1038,3954000000.0,,-3327377203.0
Công ty Cổ phần Bia Sài Gòn Đồng Nai,Công ty Cổ phần Bia Sài Gòn Đồng Nai,Công ty Cổ phần Bia Sài Gòn Đồng Nai,"10,38%",3.954.000.000,(*),(3.872.396.382),,,,,0.1038,3954000000.0,,-3872396382.0,,,,
,,,,783.539.401.803,,(330.469.681.181),,807.063.205.046,,(423.852.802.087),,783539401803.0,,-330469681181.0,,807063205046.0,,-423852802087.0
