row_label_raw,row_label_full,Công ty con,Công ty con_1,Công ty con_2,numeric__Công ty con_1,numeric__Công ty con_2
Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Công ty liên kết > Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,24.891.438.000,16.276.994.800,24891438000.0,16276994800.0
Công ty TNHH Bao Bì San Miguel Phú Thọ,Công ty liên kết > Công ty TNHH Bao Bì San Miguel Phú Thọ,Công ty TNHH Bao Bì San Miguel Phú Thọ,21.639.640.000,15.290.440.000,21639640000.0,15290440000.0
Công ty Cổ phần Bia Sài Gòn - Phử Lý,Công ty liên kết > Công ty Cổ phần Bia Sài Gòn - Phử Lý,Công ty Cổ phần Bia Sài Gòn - Phử Lý,19.571.068.000,45.929.503.334,19571068000.0,45929503334.0
Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,Công ty liên kết > Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,18.116.463.860,10.899.273.770,18116463860.0,10899273770.0
Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,Công ty liên kết > Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,10.606.197.800,22.027.600.100,10606197800.0,22027600100.0
Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Công ty liên kết > Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,8.908.347.338,10.055.674.640,8908347338.0,10055674640.0
Công ty Cổ phần Bia - Nước giải khát Sài Gòn - Tây Đô,Công ty liên kết > Công ty Cổ phần Bia - Nước giải khát Sài Gòn - Tây Đô,Công ty Cổ phần Bia - Nước giải khát Sài Gòn - Tây Đô,8.883.110.870,8.461.527.840,8883110870.0,8461527840.0
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,
Công ty Cổ phần Vận tải và Giao nhận Bia Sài Gòn,Bên liên quan khác > Công ty Cổ phần Vận tải và Giao nhận Bia Sài Gòn,Công ty Cổ phần Vận tải và Giao nhận Bia Sài Gòn,59.510.550,-,59510550.0,
,,,1.074.345.738.780,738.412.005.318,1074345738780.0,738412005318.0
