row_label_raw,row_label_full,col_0,Miền Nam VND,Miền Bắc VND,Miền Trung VND,Loại trừ VND,Tổng cộng VND,numeric__Miền Nam VND,numeric__Miền Bắc VND,numeric__Miền Trung VND,numeric__Loại trừ VND,numeric__Tổng cộng VND
2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,(90.009.285.359),(6.852.117.135),(6.879.669.297),-,(103.741.071.791),-90009285359.0,-6852117135.0,-6879669297.0,,-103741071791.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(5.015.231.022.911),(484.889.583.344),(386.554.373.476),903.134.522.097,(4.983.540.457.634),-5015231022911.0,-484889583344.0,-386554373476.0,903134522097.0,-4983540457634.0
Kết quả hoạt động trước chi phí dự phòng rủi ro tín dụng,Kết quả hoạt động trước chi phí dự phòng rủi ro tín dụng,Kết quả hoạt động trước chi phí dự phòng rủi ro tín dụng,4.512.330.278.593,688.767.654.905,565.788.887.018,(185.300.034),5.766.701.520.482,4512330278593.0,688767654905.0,565788887018.0,-185300034.0,5766701520482.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(1.593.996.678.399),68.423.993.774,(101.652.680.598),-,(1.627.225.365.223),-1593996678399.0,68423993774.0,-101652680598.0,,-1627225365223.0
Kết quả hoạt động bộ phận,Kết quả hoạt động bộ phận,Kết quả hoạt động bộ phận,2.918.333.600.194,757.191.648.679,464.136.206.420,(185.300.034),4.139.476.155.259,2918333600194.0,757191648679.0,464136206420.0,-185300034.0,4139476155259.0
III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,,,,,
1. Tiền mặt và vàng,III. Tài sản > 1. Tiền mặt và vàng,1. Tiền mặt và vàng,492.230.160.611,170.477.178.098,117.026.224.377,-,779.733.563.086,492230160611.0,170477178098.0,117026224377.0,,779733563086.0
2. Tài sản cố định,III. Tài sản > 2. Tài sản cố định,2. Tài sản cố định,435.663.294.218,38.536.767.964,80.364.977.468,-,554.565.039.650,435663294218.0,38536767964.0,80364977468.0,,554565039650.0
3. Tài sản khác,III. Tài sản > 3. Tài sản khác,3. Tài sản khác,199.819.549.273.334,25.165.530.548.586,13.844.885.860.141,(49.989.557.338),238.779.976.124.723,199819549273334.0,25165530548586.0,13844885860141.0,-49989557338.0,238779976124723.0
Tổng tài sản,III. Tài sản > Tổng tài sản,Tổng tài sản,200.747.442.728.163,25.374.544.494.648,14.042.277.061.986,(49.989.557.338),240.114.274.727.459,200747442728163.0,25374544494648.0,14042277061986.0,-49989557338.0,240114274727459.0
IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,,,,,
1. Nợ phải trả khách hàng bên ngoài,IV. Nợ phải trả > 1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,(173.263.144.449.414),(24.618.225.529.153),(13.578.140.855.566),25.010.619.713,(211.434.500.214.420),-173263144449414.0,-24618225529153.0,-13578140855566.0,25010619713.0,-211434500214420.0
2. Nợ phải trả nội bộ,IV. Nợ phải trả > 2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,(8.355.993.396),-,-,-,(8.355.993.396),-8355993396.0,,,,-8355993396.0
3. Nợ phải trả khác,IV. Nợ phải trả > 3. Nợ phải trả khác,3. Nợ phải trả khác,(135.715.048.773),-,-,-,(135.715.048.773),-135715048773.0,,,,-135715048773.0
Tổng nợ phải trả,IV. Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,(173.407.215.491.583),(24.618.225.529.153),(13.578.140.855.566),25.010.619.713,(211.578.571.256.589),-173407215491583.0,-24618225529153.0,-13578140855566.0,25010619713.0,-211578571256589.0
