row_label_raw,row_label_full,CHÍ TIÊU,Mã số,Thuyết minh,Năm 2017,Từ 15/01/2016 đến 31/12/2016,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2017,numeric__Từ 15/01/2016 đến 31/12/2016
(Tăng)/Giảm các khoản phải thu,Điều chỉnh cho các khoản > (Tăng)/Giảm các khoản phải thu,(Tăng)/Giảm các khoản phải thu,09,,(567.495.228.111),565.747.216.731,9.0,,-567495228111.0,565747216731.0
(Tăng)/Giảm hàng tồn kho,Điều chỉnh cho các khoản > (Tăng)/Giảm hàng tồn kho,(Tăng)/Giảm hàng tồn kho,10,,4.071.696.854,93.667.244.305,10.0,,4071696854.0,93667244305.0
Tăng/(Giảm) các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp),Điều chỉnh cho các khoản > Tăng/(Giảm) các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp),Tăng/(Giảm) các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp),11,,352.987.121.205,(3.336.695.985),11.0,,352987121205.0,-3336695985.0
(Tăng)/Giảm chi phí trả trước,Điều chỉnh cho các khoản > (Tăng)/Giảm chi phí trả trước,(Tăng)/Giảm chi phí trả trước,12,,131.215.988.163,(712.374.594.104),12.0,,131215988163.0,-712374594104.0
Tiền lãi vay đã trả,Điều chỉnh cho các khoản > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(620.258.675.963),(830.760.683.946),14.0,,-620258675963.0,-830760683946.0
Tiền thu khác từ hoạt động kinh doanh,Điều chỉnh cho các khoản > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,,15.741.192.348,10.570.404.544,16.0,,15741192348.0,10570404544.0
Tiền chi khác cho hoạt động kinh doanh,Điều chỉnh cho các khoản > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,,(9.350.173.624),(14.024.109.830),17.0,,-9350173624.0,-14024109830.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Điều chỉnh cho các khoản > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,2.645.695.193.807,2.796.779.674.435,20.0,,2645695193807.0,2796779674435.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
"Tiền chi để mua sắm, xây dựng TSCĐ và TS DH khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi để mua sắm, xây dựng TSCĐ và TS DH khác","Tiền chi để mua sắm, xây dựng TSCĐ và TS DH khác",21,,(120.657.071.662),(664.137.730.944),21.0,,-120657071662.0,-664137730944.0
"Tiền thu hồi cho vay, bán công cụ nợ của đơn vị khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu hồi cho vay, bán công cụ nợ của đơn vị khác","Tiền thu hồi cho vay, bán công cụ nợ của đơn vị khác",24,,-,-,24.0,,,
Tiền chi đầu tư góp vốn vào đơn vị khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi đầu tư góp vốn vào đơn vị khác,Tiền chi đầu tư góp vốn vào đơn vị khác,25,,(111.033.234.000),(43.844.321.710),25.0,,-111033234000.0,-43844321710.0
"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,32.543.360.004,14.965.644.734,27.0,,32543360004.0,14965644734.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,(199.146.945.658),(693.016.407.920),30.0,,-199146945658.0,-693016407920.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
Tiền thu từ đi vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ đi vay,Tiền thu từ đi vay,33,7.1,3.022.435.122.226,2.992.398.358.444,33.0,71.0,3022435122226.0,2992398358444.0
Tiền trả nợ gốc vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,7.2,(5.715.588.575.132),(4.820.473.995.568),34.0,72.0,-5715588575132.0,-4820473995568.0
Lưu chuyển tiền thuần từ hoạt động tài chính,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,(2.693.153.452.906),(1.828.075.637.124),40.0,,-2693153452906.0,-1828075637124.0
LU'U CHUYÊN TIÊN THUÀN TRONG KỲ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > LU'U CHUYÊN TIÊN THUÀN TRONG KỲ,LU'U CHUYÊN TIÊN THUÀN TRONG KỲ,50,,(246.605.204.757),275.687.629.391,50.0,,-246605204757.0,275687629391.0
Tiền và tương đương tiền đầu kỳ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu kỳ,Tiền và tương đương tiền đầu kỳ,60,,350.352.719.847,74.664.858.126,60.0,,350352719847.0,74664858126.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,(16.939),232.330,61.0,,-16939.0,232330.0
Tiền và tương đương tiền cuối kỳ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối kỳ,Tiền và tương đương tiền cuối kỳ,70,,103.747.498.151,350.352.719.847,70.0,,103747498151.0,350352719847.0
