row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,499.706.000.000,366.862.600.000,210.0,,499706000000.0,366862600000.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,7,499.706.000.000,366.862.600.000,216.0,7.0,499706000000.0,366862600000.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,25.304.265.798,25.431.913.509,220.0,,25304265798.0,25431913509.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,10,21.784.265.798,21.911.913.509,221.0,10.0,21784265798.0,21911913509.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,30.911.002.733,28.481.693.845,222.0,,30911002733.0,28481693845.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,223,,(9.126.736.935),(6.569.780.336),223.0,,-9126736935.0,-6569780336.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,,3.520.000.000,3.520.000.000,227.0,,3520000000.0,3520000000.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,3.520.000.000,3.520.000.000,228.0,,3520000000.0,3520000000.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,229,,-,-,229.0,,,
III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,240,,2.128.409.091,2.128.409.091,240.0,,2128409091.0,2128409091.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,,2.128.409.091,2.128.409.091,242.0,,2128409091.0,2128409091.0
IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,250,5,532.098.767.931,530.723.869.031,250.0,5.0,532098767931.0,530723869031.0
"1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết",252,,532.098.767.931,530.723.869.031,252.0,,532098767931.0,530723869031.0
V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,260,,10.800.892.407,11.062.206.028,260.0,,10800892407.0,11062206028.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,9,10.800.892.407,11.062.206.028,261.0,9.0,10800892407.0,11062206028.0
TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),270,,3.505.642.154.114,3.378.239.428.823,270.0,,3505642154114.0,3378239428823.0
