row_label_raw,row_label_full,CHÍ TIÊU,Mã số,Thuyết minh,2015,2014(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__2015,numeric__2014(Trình bày lại)
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,37,1.124.768.847.016,1.927.444.526.446,26.0,37.0,1124768847016.0,1927444526446.0
11. Lợi nhuận thuần/(Lỗ) từ hoạt động kiinh doanh (30=20+(21-22)+24-(25+26)),11. Lợi nhuận thuần/(Lỗ) từ hoạt động kiinh doanh (30=20+(21-22)+24-(25+26)),11. Lợi nhuận thuần/(Lỗ) từ hoạt động kiinh doanh (30=20+(21-22)+24-(25+26)),30,,791.170.025.478,(2.367.019.016.014),30.0,,791170025478.0,-2367019016014.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,,18.947.586.419,14.729.272.708,31.0,,18947586419.0,14729272708.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,38,83.959.735.741,364.704.578.954,32.0,38.0,83959735741.0,364704578954.0
14. (Lỗ) khác (40=31-32),14. (Lỗ) khác (40=31-32),14. (Lỗ) khác (40=31-32),40,,(65.012.149.322),(349.975.306.246),40.0,,-65012149322.0,-349975306246.0
15. Tổng lợi nhuận/(Lỗ) kế toán trước thuế (50=30+40),15. Tổng lợi nhuận/(Lỗ) kế toán trước thuế (50=30+40),15. Tổng lợi nhuận/(Lỗ) kế toán trước thuế (50=30+40),50,,726.157.876.156,(2.716.994.322.260),50.0,,726157876156.0,-2716994322260.0
16. Chi phí thuế thu nhập doanh nghiệp hiện hành,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,39,44.625.916.660,19.309.559.474,51.0,39.0,44625916660.0,19309559474.0
17. Chi phí thuế thu nhập doanh nghiệp hoãn lại,17. Chi phí thuế thu nhập doanh nghiệp hoãn lại,17. Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,39,344.739.945,8.647.430.847,52.0,39.0,344739945.0,8647430847.0
18. Lợi nhuận/(Lỗ) sau thuế thu nhập doanh nghiệp (60=50-51-52),18. Lợi nhuận/(Lỗ) sau thuế thu nhập doanh nghiệp (60=50-51-52),18. Lợi nhuận/(Lỗ) sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,681.187.219.551,(2.744.951.312.581),60.0,,681187219551.0,-2744951312581.0
18.1. Lợi nhuận/(Lỗ) sau thuế của Cổ đông Công ty mẹ,18.1. Lợi nhuận/(Lỗ) sau thuế của Cổ đông Công ty mẹ,18.1. Lợi nhuận/(Lỗ) sau thuế của Cổ đông Công ty mẹ,61,,621.262.070.699,(2.406.580.235.012),61.0,,621262070699.0,-2406580235012.0
18.2. Lợi nhuận/(Lỗ) sau thuế của Cổ đông không kiểm soát,18.2. Lợi nhuận/(Lỗ) sau thuế của Cổ đông không kiểm soát,18.2. Lợi nhuận/(Lỗ) sau thuế của Cổ đông không kiểm soát,62,,59.925.148.852,(338.371.077.569),62.0,,59925148852.0,-338371077569.0
19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,70,40,2.071,(8.022),70.0,40.0,2071.0,-8022.0
20. Lãi suv giảm trên cổ phiếu,20. Lãi suv giảm trên cổ phiếu,20. Lãi suv giảm trên cổ phiếu,71,40,2.071,(8.022),71.0,40.0,2071.0,-8022.0
