row_label_raw,row_label_full,"TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Bảo cáo tài chính hợp nhất)","TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Bảo cáo tài chính hợp nhất)_1","TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Bảo cáo tài chính hợp nhất)_2","TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Bảo cáo tài chính hợp nhất)_3",Mẫu số B09-DN/HNBan hành theo thông tư số 202/20214/TT-BTCngày 22/12/2014 của Bộ tài chính > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Bảo cáo tài chính hợp nhất),Mẫu số B09-DN/HNBan hành theo thông tư số 202/20214/TT-BTCngày 22/12/2014 của Bộ tài chính > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Bảo cáo tài chính hợp nhất)_1,"numeric__TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Bảo cáo tài chính hợp nhất)_1","numeric__TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Bảo cáo tài chính hợp nhất)_2","numeric__TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Bảo cáo tài chính hợp nhất)_3",numeric__Mẫu số B09-DN/HNBan hành theo thông tư số 202/20214/TT-BTCngày 22/12/2014 của Bộ tài chính > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Bảo cáo tài chính hợp nhất),numeric__Mẫu số B09-DN/HNBan hành theo thông tư số 202/20214/TT-BTCngày 22/12/2014 của Bộ tài chính > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Bảo cáo tài chính hợp nhất)_1
,,,249.374.016.597,891.127.770.429,818.011.399.646,322.490.387.380,322.490.387.380,249374016597.0,891127770429.0,818011399646.0,322490387380.0,322490387380.0
,,,01/01/2022,Số phải nộp trong năm,Số đã thực nộp/khẩu trừ trong năm,31/12/2022,31/12/2022,,,,,
,,,VND,VND,VND,VND,VND,,,,,
Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,,,,,
- Thuế giá trị gia tăng phải nộp,Thuế và các khoản phải thu > - Thuế giá trị gia tăng phải nộp,- Thuế giá trị gia tăng phải nộp,800.682.383,3.380.656.198,7.521.654.072,4.941.680.257,4.941.680.257,800682383.0,3380656198.0,7521654072.0,4941680257.0,4941680257.0
- Thuế thu nhập doanh nghiệp,Thuế và các khoản phải thu > - Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,1.661.702.535,830.839.771,4.214.945.741,5.045.808.505,5.045.808.505,1661702535.0,830839771.0,4214945741.0,5045808505.0,5045808505.0
- Thuế thu nhập cá nhân,Thuế và các khoản phải thu > - Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,123.860.495,28.099.204,-,95.761.291,95.761.291,123860495.0,28099204.0,,95761291.0,95761291.0
- Các loại thuế khác,Thuế và các khoản phải thu > - Các loại thuế khác,- Các loại thuế khác,11.017.365,-,-,11.017.365,11.017.365,11017365.0,,,11017365.0,11017365.0
"- Phí, lệ phí và các khoản phải nộp khác","Thuế và các khoản phải thu > - Phí, lệ phí và các khoản phải nộp khác","- Phí, lệ phí và các khoản phải nộp khác",-,-,13.853.691,13.853.691,13.853.691,,,13853691.0,13853691.0,13853691.0
,,,2.597.262.778,4.239.595.173,11.750.453.504,10.108.121.109,10.108.121.109,2597262778.0,4239595173.0,11750453504.0,10108121109.0,10108121109.0
