row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2019 triệu đồng,Ngày 31 tháng 12 năm 2018 triệu đồng (trình bày lại),numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2019 triệu đồng,numeric__Ngày 31 tháng 12 năm 2018 triệu đồng (trình bày lại)
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,12,104.615.279,102.100.093,12.0,104615279.0,102100093.0
Chứng khoán đầu tư sẵn sàng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,12.1,97.131.629,88.586.344,121.0,97131629.0,88586344.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,TÀI SẢN > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,12.2,15.367.993,16.207.592,122.0,15367993.0,16207592.0
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,12.4,(7.884.343),(2.693.843),124.0,-7884343.0,-2693843.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",13,3.282.709,3.317.405,13.0,3282709.0,3317405.0
Vốn góp liên doanh,TÀI SẢN > Vốn góp liên doanh,Vốn góp liên doanh,13.1,3.018.057,2.906.452,131.0,3018057.0,2906452.0
Đầu tư dài hạn khác,TÀI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,,264.652,412.645,,264652.0,412645.0
Dự phòng giảm giá đầu tư dài hạn,TÀI SẢN > Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,,-,(1.692),,,-1692.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,,10.996.975,11.139.862,,10996975.0,11139862.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,14,6.422.382,6.194.652,14.0,6422382.0,6194652.0
Nguyễn giá tài sản cố định,TÀI SẢN > Nguyễn giá tài sản cố định,Nguyễn giá tài sản cố định,,14.817.602,13.919.662,,14817602.0,13919662.0
Khẩu hao tài sản cố định,TÀI SẢN > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,,(8.395.220),(7.725.010),,-8395220.0,-7725010.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,15,4.574.593,4.945.210,15.0,4574593.0,4945210.0
Nguyễn giá tài sản cố định,TÀI SẢN > Nguyễn giá tài sản cố định,Nguyễn giá tài sản cố định,,6.302.326,6.447.395,,6302326.0,6447395.0
Hao mòn tài sản cố định,TÀI SẢN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(1.727.733),(1.502.185),,-1727733.0,-1502185.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,16,32.651.217,31.730.749,16.0,32651217.0,31730749.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,16.1,22.349.498,21.741.493,161.0,22349498.0,21741493.0
"Các khoản lãi, phí phải thu","TÀI SẢN > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",,6.675.886,6.593.324,,6675886.0,6593324.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,16.2,3.636.910,3.404.868,162.0,3636910.0,3404868.0
Trong đó: Lợi thế thương mại,TÀI SẢN > Trong đó: Lợi thế thương mại,Trong đó: Lợi thế thương mại,17,-,907,17.0,,907.0
Các khoản dự phòng rủi ro cho các tài sản,Các khoản dự phòng rủi ro cho các tài sản,Các khoản dự phòng rủi ro cho các tài sản,,,,,,
Có nội bằng khác,Các khoản dự phòng rủi ro cho các tài sản > Có nội bằng khác,Có nội bằng khác,,(11.077),(8.936),,-11077.0,-8936.0
TỔNG TÀI SẢN,Các khoản dự phòng rủi ro cho các tài sản > TỔNG TÀI SẢN,TỔNG TÀI SẢN,,1.240.711.475,1.164.289.661,,1240711475.0,1164289661.0
