row_label_raw,row_label_full,col_0,Không chịu lãi triệu đồng,Quá hạn,Quá hạn_1,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng công triệu đồng,numeric__Không chịu lãi triệu đồng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng công triệu đồng
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,10.996.975,-,-,-,-,-,-,-,-,10.996.975,10996975.0,,,,,,,,,10996975.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),32.662.294,-,-,-,-,-,-,-,-,32.662.294,32662294.0,,,,,,,,,32662294.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,55.601.319,11.403.411,5.677.439,515.591.875,293.333.649,219.372.021,69.643.708,67.286.407,23.868.631,1.261.778.460,55601319.0,11403411.0,5677439.0,515591875.0,293333649.0,219372021.0,69643708.0,67286407.0,23868631.0,1261778460.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,,,
Các khoản nợ NHNN,Nợ phải trả > Các khoản nợ NHNN,Các khoản nợ NHNN,-,-,-,41.858.341,27.015.097,637.176,1.092.279,-,-,70.602.893,,,,41858341.0,27015097.0,637176.0,1092279.0,,,70602893.0
Tiền gửi và vay từ TCTD khác,Nợ phải trả > Tiền gửi và vay từ TCTD khác,Tiền gửi và vay từ TCTD khác,-,-,-,80.836.237,20.986.679,6.146.752,1.471.745,41.646,-,109.483.059,,,,80836237.0,20986679.0,6146752.0,1471745.0,41646.0,,109483059.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,382.425.407,177.622.468,157.477.117,164.850.790,10.305.335,104.111,892.785.228,,,,382425407.0,177622468.0,157477117.0,164850790.0,10305335.0,104111.0,892785228.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro",-,-,-,-,1.212.000,1.668.024,-,2.895.875,-,5.775.899,,,,,1212000.0,1668024.0,,2895875.0,,5775899.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,24.900.000,2.001.253,30.165.100,-,57.066.353,,,,,,24900000.0,2001253.0,30165100.0,,57066353.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),27.157.537,-,-,-,-,-,-,-,-,27.157.537,27157537.0,,,,,,,,,27157537.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,27.157.537,-,-,505.119.985,226.836.244,190.829.069,169.416.067,43.407.956,104.111,1.162.870.969,27157537.0,,,505119985.0,226836244.0,190829069.0,169416067.0,43407956.0,104111.0,1162870969.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,28.443.782,11.403.411,5.677.439,10.471.890,66.497.405,28.542.952,(99.772.359),23.878.451,23.764.520,98.907.491,28443782.0,11403411.0,5677439.0,10471890.0,66497405.0,28542952.0,-99772359.0,23878451.0,23764520.0,98907491.0
Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của tài sản và công nợ (ròng),-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
"Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của tài sản và công nợ (ròng) > Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Mức chênh nhạy cảm với lãi suất nội, ngoại bảng",28.443.782,11.403.411,5.677.439,10.471.890,66.497.405,28.542.952,(99.772.359),23.878.451,23.764.520,98.907.491,28443782.0,11403411.0,5677439.0,10471890.0,66497405.0,28542952.0,-99772359.0,23878451.0,23764520.0,98907491.0
