row_label_raw,row_label_full,col_0,"Nhà xuòng, vát kiếnt truc","Máy móc, thiét bi",Phuong tiên vân tai,Thiét bi vân phong,Tài sán khác,VND Tõng cộng,"numeric__Nhà xuòng, vát kiếnt truc","numeric__Máy móc, thiét bi",numeric__Phuong tiên vân tai,numeric__Thiét bi vân phong,numeric__Tài sán khác,numeric__VND Tõng cộng
Số dàu nám,Giá tri khái hao luy ké: > Số dàu nám,Số dàu nám,(366.965.222.205),(2.436.732.889.425),(167.616.905.033),(14.525.670.410),(18.280.022.819),(3.004.120.709.892),-366965222205.0,-2436732889425.0,-167616905033.0,-14525670410.0,-18280022819.0,-3004120709892.0
Khái hao trong nám,Giá tri khái hao luy ké: > Khái hao trong nám,Khái hao trong nám,(94.918.796.810),(809.137.150.046),(57.845.406.706),(9.154.773.280),(2.380.138.179),(973.436.265.021),-94918796810.0,-809137150046.0,-57845406706.0,-9154773280.0,-2380138179.0,-973436265021.0
Mua lai tu tāi sân cǒ dinh thuê tai chinh,Giá tri khái hao luy ké: > Mua lai tu tāi sân cǒ dinh thuê tai chinh,Mua lai tu tāi sân cǒ dinh thuê tai chinh,-,(16.897.479.726),-,-,-,(16.897.479.726),,-16897479726.0,,,,-16897479726.0
"Thanh ly, nhuong bàn","Giá tri khái hao luy ké: > Thanh ly, nhuong bàn","Thanh ly, nhuong bàn",6.286.422.372,55.947.098.932,38.676.575.120,1.327.181.835,105.235.818,102.342.514.077,6286422372.0,55947098932.0,38676575120.0,1327181835.0,105235818.0,102342514077.0
Số cuói nám,Giá tri khái hao luy ké: > Số cuói nám,Số cuói nám,(455.597.596.643),(3.206.820.420.265),(186.785.736.619),(22.353.261.855),(20.554.925.180),(3.892.111.940.562),-455597596643.0,-3206820420265.0,-186785736619.0,-22353261855.0,-20554925180.0,-3892111940562.0
Giá tri cón lai:,Giá tri cón lai:,Giá tri cón lai:,Giá tri cón lai:,Giá tri cón lai:,Giá tri cón lai:,Giá tri cón lai:,Giá tri cón lai:,Giá tri cón lai:,,,,,,
Số dàu nám,Giá tri cón lai: > Số dàu nám,Số dàu nám,1.219.967.959.703,4.778.891.887.738,367.592.421.545,24.650.961.184,5.726.304.571,6.396.829.534.741,1219967959703.0,4778891887738.0,367592421545.0,24650961184.0,5726304571.0,6396829534741.0
Số cuói nám,Giá tri cón lai: > Số cuói nám,Số cuói nám,1.606.109.999.194,5.728.194.908.201,289.553.590.469,42.107.455.564,5.704.258.107,7.671.670.211.535,1606109999194.0,5728194908201.0,289553590469.0,42107455564.0,5704258107.0,7671670211535.0
Trong do:,Trong do:,Trong do:,Trong do:,Trong do:,Trong do:,Trong do:,Trong do:,Trong do:,,,,,,
Tài sân sù dung dé the cháp (Thuyét minh sô 22),Trong do: > Tài sân sù dung dé the cháp (Thuyét minh sô 22),Tài sân sù dung dé the cháp (Thuyét minh sô 22),1.382.799.204.361,4.784.062.954.037,196.112.145.655,10.825.242.316,2.166.421.284,6.375.965.967.653,1382799204361.0,4784062954037.0,196112145655.0,10825242316.0,2166421284.0,6375965967653.0
