row_label_raw,row_label_full,col_0,Nhà xưởng và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị quản lý VND,Tài sản khác VND,Tổng cộng VND,numeric__Nhà xưởng và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị quản lý VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Tại ngày 01/01/2015,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,16.751.704.120,1.158.154.314.037,19.862.671.603,425.398.467.657,8.510.586.055,1.628.677.743.472,16751704120.0,1158154314037.0,19862671603.0,425398467657.0,8510586055.0,1628677743472.0
Tăng trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Tăng trong năm,Tăng trong năm,2.615.787.892,442.635.653.464,1.546.201.990,33.633.347.932,15.728.203.183,496.159.194.461,2615787892.0,442635653464.0,1546201990.0,33633347932.0,15728203183.0,496159194461.0
Khấu hao trong kỳ,GIÁ TRỊ HAO MÔN LỦY KẾ > Khấu hao trong kỳ,Khấu hao trong kỳ,2.615.787.892,442.645.836.725,1.546.201.990,33.633.347.932,15.718.019.922,496.159.194.461,2615787892.0,442645836725.0,1546201990.0,33633347932.0,15718019922.0,496159194461.0
Phân loại lại,GIÁ TRỊ HAO MÔN LỦY KẾ > Phân loại lại,Phân loại lại,-,(10.183.261),-,-,10.183.261,-,,-10183261.0,,,10183261.0,
Giảm trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Giảm trong năm,Giảm trong năm,-,3.508.017.648,573.918.727,1.315.932.862,-,5.397.869.237,,3508017648.0,573918727.0,1315932862.0,,5397869237.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÔN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,3.508.017.648,573.918.727,-,-,4.081.936.375,,3508017648.0,573918727.0,,,4081936375.0
Giảm khác,GIÁ TRỊ HAO MÔN LỦY KẾ > Giảm khác,Giảm khác,,,,1.315.932.862,-,1.315.932.862,,,,1315932862.0,,1315932862.0
Tại ngày 31/12/2015,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,19.367.492.012,1.597.281.949.853,20.834.954.866,457.715.882.727,24.238.789.238,2.119.439.068.696,19367492012.0,1597281949853.0,20834954866.0,457715882727.0,24238789238.0,2119439068696.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày 31/12/2015,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2015,Tại ngày 31/12/2015,51.206.980.399,2.394.291.359.495,21.349.942.042,241.865.462.085,59.282.713.229,2.767.996.457.250,51206980399.0,2394291359495.0,21349942042.0,241865462085.0,59282713229.0,2767996457250.0
Tại ngày 31/12/2014,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2014,Tại ngày 31/12/2014,53.525.209.291,1.448.396.141.306,20.639.222.213,266.831.002.966,18.786.121.801,1.808.177.697.577,53525209291.0,1448396141306.0,20639222213.0,266831002966.0,18786121801.0,1808177697577.0
