row_label_raw,row_label_full,col_0,Current year,Prior year,numeric__Current year,numeric__Prior year
Pvchem Drilling Mud and Services Company Ltd,Pvchem Drilling Mud and Services Company Ltd,Pvchem Drilling Mud and Services Company Ltd,"5,311,902,058","1,967,299,554",,
Petrosetco Assets Management Joint Stock Company (Hanoi),Petrosetco Assets Management Joint Stock Company (Hanoi),Petrosetco Assets Management Joint Stock Company (Hanoi),"5,274,120,727","1,538,400,400",,
Petro Vietnam Transportation Corporation,Petro Vietnam Transportation Corporation,Petro Vietnam Transportation Corporation,"1,673,422,960","3,272,832,780",,
Petrosetco Vung Tau General Services Joint Stock Company,Petrosetco Vung Tau General Services Joint Stock Company,Petrosetco Vung Tau General Services Joint Stock Company,"1,611,449,260",-,,
PetroVietnam Oil Vung Tau Joint Stock Company,PetroVietnam Oil Vung Tau Joint Stock Company,PetroVietnam Oil Vung Tau Joint Stock Company,"1,496,158,265","1,270,947,280",,
Petrowaco Property Joint Stock Company,Petrowaco Property Joint Stock Company,Petrowaco Property Joint Stock Company,"1,040,040,724","252,933,856",,
Vietnam Petrochemical and Fiber JSC,Vietnam Petrochemical and Fiber JSC,Vietnam Petrochemical and Fiber JSC,"960,000,000","9,558,637,383",,
PVD Technical Training and Certification JSC,PVD Technical Training and Certification JSC,PVD Technical Training and Certification JSC,"427,171,563","442,303,574",,
Vietnam Petroleum Institute,Vietnam Petroleum Institute,Vietnam Petroleum Institute,"287,845,490","1,175,482,690",,
PetroVietnam Technical Services Corporation,PetroVietnam Technical Services Corporation,PetroVietnam Technical Services Corporation,"251,339,000","481,734,500",,
Petro Vietnam Ca Mau Fertilizer Joint Stock Company,Petro Vietnam Ca Mau Fertilizer Joint Stock Company,Petro Vietnam Ca Mau Fertilizer Joint Stock Company,-,"1,632,813,636",,
Dividends paid,Dividends paid,Dividends paid,"466,408,506,000","1,632,098,664,756",,
Vietnam Oil and Gas Group,Vietnam Oil and Gas Group,Vietnam Oil and Gas Group,"466,408,506,000","1,632,098,664,756",,
Deposit interest,Deposit interest,Deposit interest,"7,747,794,520","10,003,609,590",,
Vietnam Public Joint Stock Commercial Bank,Vietnam Public Joint Stock Commercial Bank,Vietnam Public Joint Stock Commercial Bank,"7,747,794,520","10,003,609,590",,
Other Income,Other Income,Other Income,"1,512,019,630","842,283,519",,
Petro Vietnam Ca Mau Fertilizer Joint Stock Company,Petro Vietnam Ca Mau Fertilizer Joint Stock Company,Petro Vietnam Ca Mau Fertilizer Joint Stock Company,"1,512,019,630","842,283,519",,
Binh Son Refining and Petrochemical Joint Stock Company,Binh Son Refining and Petrochemical Joint Stock Company,Binh Son Refining and Petrochemical Joint Stock Company,"1,226,930,741",-,,
PetroVietnam Technical Services Corporation,PetroVietnam Technical Services Corporation,PetroVietnam Technical Services Corporation,"589,881,930",-,,
Dividends profits received,Dividends profits received,Dividends profits received,"1,820,300,000","2,184,360,000",,
Dam Phu My Packaging Joint Stock Company,Dam Phu My Packaging Joint Stock Company,Dam Phu My Packaging Joint Stock Company,"1,820,300,000","2,184,360,000",,
Loans paid,Loans paid,Loans paid,-,"707,152,179,119",,
Vietnam Public Joint Stock Commercial Bank,Vietnam Public Joint Stock Commercial Bank,Vietnam Public Joint Stock Commercial Bank,-,"707,152,179,119",,
Interest expenses,Interest expenses,Interest expenses,-,"47,162,569,134",,
Vietnam Public Joint Stock Commercial Bank,Vietnam Public Joint Stock Commercial Bank,Vietnam Public Joint Stock Commercial Bank,-,"47,162,569,134",,
