row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty con,Bù trừ giữa cổ tức được chia và đi vay,1.221.525.000.000,440.550.000.000,,,1221525000000.0,440550000000.0
Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty con,Đi vay,756.000.000.000,600.000.000.000,,,756000000000.0,600000000000.0
Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty con,Thanh toán gốc vay,428.000.000.000,-,,,428000000000.0,
Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty con,Lãi vay,15.607.128.222,81.969.395.068,,,15607128222.0,81969395068.0
Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty con,Lãi vay đã trả,112.846.837.677,-,,,112846837677.0,
Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty con,Hoàn trả hợp tác đầu tư,-,220.000.000.000,,,,220000000000.0
Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty con,Doanh thu từ tư vấn quản lý,7.400.443.688,9.523.858.408,,,7400443688.0,9523858408.0
Công ty Minh Long,Công ty Minh Long,Công ty Minh Long,Công ty con,Đi vay,150.950.000.000,-,,,150950000000.0,
Công ty Minh Long,Công ty Minh Long,Công ty Minh Long,Công ty con,Trả gốc vay,74.000.000.000,,,,74000000000.0,
Công ty Minh Long,Công ty Minh Long,Công ty Minh Long,Công ty con,Phí tư vấn quản lý,624.038.962,-,,,624038962.0,
Công ty Minh Long,Công ty Minh Long,Công ty Minh Long,Công ty con,phải thu,,,,,,
Công ty Minh Long,Công ty Minh Long > Công ty Minh Long,Công ty Minh Long,Công ty con,Phí tư vấn quản lý đã thu,1.027.312.000,-,,,1027312000.0,
Công ty Hà Đô Thuận Nam,Công ty Minh Long > Công ty Hà Đô Thuận Nam,Công ty Hà Đô Thuận Nam,Công ty con,Góp vốn,253.020.000.000,-,,,253020000000.0,
Công ty Hà Đô Thuận Nam,Công ty Minh Long > Công ty Hà Đô Thuận Nam,Công ty Hà Đô Thuận Nam,Công ty con,Đi vay,353.000.000.000,-,,,353000000000.0,
Công ty Hà Đô Thuận Nam,Công ty Minh Long > Công ty Hà Đô Thuận Nam,Công ty Hà Đô Thuận Nam,Công ty con,Trả gốc vay,335.000.000.000,-,,,335000000000.0,
Công ty Hà Đô Thuận Nam,Công ty Minh Long > Công ty Hà Đô Thuận Nam,Công ty Hà Đô Thuận Nam,Công ty con,Lãi vay phải trả,1.994.046.574,,,,1994046574.0,
Công ty Hà Đô Thuận Nam,Công ty Minh Long > Công ty Hà Đô Thuận Nam,Công ty Hà Đô Thuận Nam,Công ty con,Lãi vay đã trả,812.150.684,,,,812150684.0,
Công ty Hà Đô Thuận Nam,Công ty Minh Long > Công ty Hà Đô Thuận Nam,Công ty Hà Đô Thuận Nam,Công ty con,Phải thu từ dịch vụ thi công,30.577.059.000,,,,30577059000.0,
Công ty CP đầu tư IP Việt Nam,Công ty Minh Long > Công ty CP đầu tư IP Việt Nam,Công ty CP đầu tư IP Việt Nam,Công ty có chung thành viên HĐQT,Lãi vay phải trả,4.915.430.137,4.536.575.342,,,4915430137.0,4536575342.0
Công ty CP đầu tư IP Việt Nam,Công ty Minh Long > Công ty CP đầu tư IP Việt Nam,Công ty CP đầu tư IP Việt Nam,Công ty có chung thành viên HĐQT,Lãi vay đã trả,4.915.430.137,3.077.687.671,,,4915430137.0,3077687671.0
