row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số Thuyết minh,Mã số Thuyết minh_1,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Số cuối năm,numeric__Số đầu năm
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(9.806.945.680),(8.122.979.122),,149.0,,-9806945680.0,-8122979122.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,5.789.168.810,6.326.182.003,,150.0,,5789168810.0,6326182003.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,12,847.173.047,2.618.781.099,,151.0,12.0,847173047.0,2618781099.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,4.941.995.763,3.707.400.904,,152.0,,4941995763.0,3707400904.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,1.249.720.064.820,1.452.369.790.272,,200.0,,1249720064820.0,1452369790272.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,82.142.416.230,55.775.613.653,,210.0,,82142416230.0,55775613653.0
1.,1.,1.,Phải thu về cho vay dài hạn,215,8,80.360.177.170,53.886.578.334,,215.0,8.0,80360177170.0,53886578334.0
2.,2.,2.,Phải thu dài hạn khác,216,9,1.782.239.060,1.889.035.319,,216.0,9.0,1782239060.0,1889035319.0
II.,II.,II.,Tài sản cố định,220,,145.085.267.994,166.721.155.131,,220.0,,145085267994.0,166721155131.0
1.,1.,1.,Tài sản cố định hữu hình,221,13,124.362.733.642,145.182.929.479,,221.0,13.0,124362733642.0,145182929479.0
,,,- Nguyên giá,222,,584.106.843.583,580.091.683.915,,222.0,,584106843583.0,580091683915.0
,,,- Giá trị hao mòn lũy kế,223,,(459.744.109.941),(434.908.754.436),,223.0,,-459744109941.0,-434908754436.0
2.,2.,2.,Tài sản cố định vô hình,227,14,20.722.534.352,21.538.225.652,,227.0,14.0,20722534352.0,21538225652.0
,,,- Nguyên giá,228,,45.652.949.258,45.594.949.258,,228.0,,45652949258.0,45594949258.0
,,,- Giá trị hao mòn lũy kế,229,,(24.930.414.906),(24.056.723.606),,229.0,,-24930414906.0,-24056723606.0
III.,III.,III.,Bất động sản đầu tư,230,15,158.636.528.056,168.581.834.711,,230.0,15.0,158636528056.0,168581834711.0
,,,- Nguyên giá,231,,218.195.711.457,218.129.209.542,,231.0,,218195711457.0,218129209542.0
,,,- Giá trị hao mòn lũy kế,232,,(59.559.183.401),(49.547.374.831),,232.0,,-59559183401.0,-49547374831.0
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,17,12.964.894.564,150.074.086.837,,240.0,17.0,12964894564.0,150074086837.0
1.,1.,1.,"Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,11.000.000.000,147.363.482.467,,241.0,,11000000000.0,147363482467.0
2.,2.,2.,Chi phí xây dựng cơ bản dở dang,242,,1.964.894.564,2.710.604.370,,242.0,,1964894564.0,2710604370.0
V.,V.,V.,Đầu tư tài chính dài hạn,250,5,834.198.813.649,884.998.284.832,,250.0,5.0,834198813649.0,884998284832.0
1.,1.,1.,Đầu tư vào công ty con,251,,373.649.630.474,323.833.507.159,,251.0,,373649630474.0,323833507159.0
2.,2.,2.,Đầu tư vào công ty liên kết,252,,453.709.605.017,553.319.168.167,,252.0,,453709605017.0,553319168167.0
3.,3.,3.,Đầu tư góp vốn vào đơn vị khác,253,,29.233.474.796,28.008.334.175,,253.0,,29233474796.0,28008334175.0
4.,4.,4.,Dự phòng đầu tư tài chính dài hạn,254,,(22.393.896.638),(20.162.724.669),,254.0,,-22393896638.0,-20162724669.0
VI.,VI.,VI.,Tài sản dài hạn khác,260,,16.692.144.327,26.218.815.108,,260.0,,16692144327.0,26218815108.0
1.,1.,1.,Chi phí trả trước dài hạn,261,12,16.692.144.327,26.218.815.108,,261.0,12.0,16692144327.0,26218815108.0
,,,TỔNG CÔNG TÀI SẢN (270=100+200),270,,4.546.992.388.270,4.280.765.298.645,,270.0,,4546992388270.0,4280765298645.0
