row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm
Công ty Cổ phần Cơ khí Lâm nghiệp Sài Gòn (*),Công ty Cổ phần Cơ khí Lâm nghiệp Sài Gòn (*),Công ty Cổ phần Cơ khí Lâm nghiệp Sài Gòn (*),-,-,3.169.651.235,-,,,3169651235.0,
Công ty Cổ phần Xuất nhập khẩu Lâm nông sản Sài Gòn,Công ty Cổ phần Xuất nhập khẩu Lâm nông sản Sài Gòn,Công ty Cổ phần Xuất nhập khẩu Lâm nông sản Sài Gòn,3.063.845.562,-,3.063.845.562,-,3063845562.0,,3063845562.0,
Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,2.570.995.921,-,2.570.995.921,-,2570995921.0,,2570995921.0,
Công ty Cổ phần 19/5 Doan Hùng,Công ty Cổ phần 19/5 Doan Hùng,Công ty Cổ phần 19/5 Doan Hùng,2.139.792.559,-,2.139.792.559,-,2139792559.0,,2139792559.0,
Công ty Cổ phần Kon Hà Nùng,Công ty Cổ phần Kon Hà Nùng,Công ty Cổ phần Kon Hà Nùng,1.945.917.957,-,1.945.917.957,-,1945917957.0,,1945917957.0,
Công ty Cổ phần Sản xuất và xuất nhập khẩu Lâm sản Naforimex Hà Nội,Công ty Cổ phần Sản xuất và xuất nhập khẩu Lâm sản Naforimex Hà Nội,Công ty Cổ phần Sản xuất và xuất nhập khẩu Lâm sản Naforimex Hà Nội,1.436.982.760,-,1.436.982.760,-,1436982760.0,,1436982760.0,
Công ty Cổ phần Lâm đặc sản Mây tre xuất khẩu,Công ty Cổ phần Lâm đặc sản Mây tre xuất khẩu,Công ty Cổ phần Lâm đặc sản Mây tre xuất khẩu,1.115.926.139,-,1.115.926.139,-,1115926139.0,,1115926139.0,
Công ty Cổ phần Xây lắp Đầu tư Phát triển Nông lâm nghiệp Việt Nam,Công ty Cổ phần Xây lắp Đầu tư Phát triển Nông lâm nghiệp Việt Nam,Công ty Cổ phần Xây lắp Đầu tư Phát triển Nông lâm nghiệp Việt Nam,442.110.305,-,442.110.305,-,442110305.0,,442110305.0,
Công ty Cổ phần Tư vấn và đầu tư Forprodex,Công ty Cổ phần Tư vấn và đầu tư Forprodex,Công ty Cổ phần Tư vấn và đầu tư Forprodex,229.876.220,229.876.220,229.876.220,229.876.220,229876220.0,229876220.0,229876220.0,229876220.0
Công ty Cổ phần giống Lâm nghiệp Trung ương,Công ty Cổ phần giống Lâm nghiệp Trung ương,Công ty Cổ phần giống Lâm nghiệp Trung ương,125.915.764,125.915.764,125.915.764,125.915.764,125915764.0,125915764.0,125915764.0,125915764.0
Công ty TNHH MTV Ván dán OJI - Vinafor Bắc Giang,Công ty TNHH MTV Ván dán OJI - Vinafor Bắc Giang,Công ty TNHH MTV Ván dán OJI - Vinafor Bắc Giang,-,-,237.605.758,237.605.758,,,237605758.0,237605758.0
Công ty CP Thương mại Công nghiệp và Chê biến gỗ,Công ty CP Thương mại Công nghiệp và Chê biến gỗ,Công ty CP Thương mại Công nghiệp và Chê biến gỗ,-,-,-,-,,,,
