row_label_raw,row_label_full,TÀISẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,(4.538.350.568),-,149.0,,-4538350568.0,
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,26.365.438.302,15.399.844.278,150.0,,26365438302.0,15399844278.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,,34.276.714,-,151.0,,34276714.0,
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,24.581.752.334,3.465.017.382,152.0,,24581752334.0,3465017382.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,,1.749.409.254,11.934.826.896,153.0,,1749409254.0,11934826896.0
B - TÀISẢN DÀI HẠN,B - TÀISẢN DÀI HẠN,B - TÀISẢN DÀI HẠN,200,,1.762.965.392.384,1.255.943.291.952,200.0,,1762965392384.0,1255943291952.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,202.600.000.000,-,210.0,,202600000000.0,
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,8,202.600.000.000,-,216.0,8.0,202600000000.0,
I. Tài sản cố định,I. Tài sản cố định,I. Tài sản cố định,220,10,5.380.286.007,6.193.264.098,220.0,10.0,5380286007.0,6193264098.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,,5.380.286.007,6.193.264.098,221.0,,5380286007.0,6193264098.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,8.576.213.503,8.307.479.215,222.0,,8576213503.0,8307479215.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(3.195.927.496),(2.114.215.117),223.0,,-3195927496.0,-2114215117.0
II. Tài sản dở dang dài hạn,II. Tài sản dở dang dài hạn,II. Tài sản dở dang dài hạn,240,,2.128.409.091,2.079.090.909,240.0,,2128409091.0,2079090909.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,,2.128.409.091,2.079.090.909,242.0,,2128409091.0,2079090909.0
III. Đầu tư tài chính dài hạn,III. Đầu tư tài chính dài hạn,III. Đầu tư tài chính dài hạn,250,11,1.552.832.297.286,1.247.652.152.163,250.0,11.0,1552832297286.0,1247652152163.0
1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,251,,1.029.032.297.286,463.692.595.606,251.0,,1029032297286.0,463692595606.0
"2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết",252,,523.800.000.000,786.322.400.000,252.0,,523800000000.0,786322400000.0
3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,254,,-,(2.362.843.443),254.0,,,-2362843443.0
IV. Tài sản dài hạn khác,IV. Tài sản dài hạn khác,IV. Tài sản dài hạn khác,260,,24.400.000,18.784.782,260.0,,24400000.0,18784782.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,,24.400.000,18.784.782,261.0,,24400000.0,18784782.0
TỔNG CỘNG TÀISẢN (270 = 100 + 200),TỔNG CỘNG TÀISẢN (270 = 100 + 200),TỔNG CỘNG TÀISẢN (270 = 100 + 200),270,,3.047.399.603.135,3.009.505.144.520,270.0,,3047399603135.0,3009505144520.0
