row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Tại ngày 1 tháng 1 năm 2022,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,(67.297.969.599),(19.433.788.921),(89.070.469.645),(43.810.438.249),(240.211.364),(219.852.877.778),-67297969599.0,-19433788921.0,-89070469645.0,-43810438249.0,-240211364.0,-219852877778.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(58.594.220.538),(6.070.831.699),(32.310.088.795),(9.871.578.580),(265.957.793),(107.112.677.405),-58594220538.0,-6070831699.0,-32310088795.0,-9871578580.0,-265957793.0,-107112677405.0
Giảm do thoái vốn,Khấu hao lũy kế > Giảm do thoái vốn,Giảm do thoái vốn,1.279.632.391,-,-,-,-,1.279.632.391,1279632391.0,,,,,1279632391.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,15.273.654.309,160.125.000,25.714.287,15.459.493.596,,,15273654309.0,160125000.0,25714287.0,15459493596.0
Xóa số,Khấu hao lũy kế > Xóa số,Xóa số,-,2.080.062.074,-,461.327.534,-,2.541.389.608,,2080062074.0,,461327534.0,,2541389608.0
Tăng do mua công ty con,Khấu hao lũy kế > Tăng do mua công ty con,Tăng do mua công ty con,-,-,-,-,(88.900.002),(88.900.002),,,,,-88900002.0,-88900002.0
Tại ngày 31 tháng 12 năm 2022,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,(124.612.557.746),(23.424.558.546),(106.106.904.131),(53.060.564.295),(569.354.872),(307.773.939.590),-124612557746.0,-23424558546.0,-106106904131.0,-53060564295.0,-569354872.0,-307773939590.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,1.118.904.325.722,26.401.919.952,179.437.761.435,20.097.476.549,223.625.000,1.345.065.108.658,1118904325722.0,26401919952.0,179437761435.0,20097476549.0,223625000.0,1345065108658.0
Tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,3.421.216.050.471,194.641.651.532,212.189.216.845,24.097.097.113,1.667.915.257,3.853.811.931.218,3421216050471.0,194641651532.0,212189216845.0,24097097113.0,1667915257.0,3853811931218.0
