row_label_raw,row_label_full,STT Tên,STT Tên_1,Địa điểm,Hoạt động kinh doanh chính,31.12.2022,31.12.2022_1,31.12.2021,31.12.2021_1,numeric__STT Tên_1,numeric__Địa điểm,numeric__Hoạt động kinh doanh chính,numeric__31.12.2022,numeric__31.12.2022_1,numeric__31.12.2021,numeric__31.12.2021_1
15,11 > 15,15,Công ty Cổ phần Địa ốc No Va Mỹ Đình,TP Hồ Chí Minh,Kinh doanh bất động sản,"99,99","99,99","99,99","99,99",,,,99.99,99.99,99.99,99.99
16,11 > 16,16,Công ty TNHH Đầu tư Địa ốc Thành Nhơn,Tính Đồng Nai,Kinh doanh bất động sản,"99,96","100,00","100,00","100,00",,,,99.96,100.0,100.0,100.0
17,11 > 17,17,Công ty TNHH Nova An Phú,TP Hồ Chí Minh,Kinh doanh bất động sản,"100,00","100,00","100,00","100,00",,,,100.0,100.0,100.0,100.0
18,11 > 18,18,Công ty TNHH Đầu tư và Phát triển Bất động sản Nova Phúc Nguyên,TP Hồ Chí Minh,Kinh doanh bất động sản,"99,97","99,97","99,97","99,97",,,,99.97,99.97,99.97,99.97
19,11 > 19,19,Công ty TNHH Đầu tư và Bất động sản Tường Minh,Tính Đồng Nai,Kinh doanh bất động sản,"100,00","100,00","100,00","100,00",,,,100.0,100.0,100.0,100.0
20,11 > 20,20,Công ty TNHH Phát triển Quốc tế Thế Kỷ 21,TP Hồ Chí Minh,Kinh doanh bất động sản,"98,97","98,97","98,97","98,97",,,,98.97,98.97,98.97,98.97
21,11 > 21,21,Công ty Cổ phần Cao ốc Phương Đông,TP Hồ Chí Minh,Kinh doanh bất động sản,"99,89","99,89","99,89","99,89",,,,99.89,99.89,99.89,99.89
22,11 > 22,22,Công ty TNHH Nova Rivergate,TP Hồ Chí Minh,Kinh doanh bất động sản,"99,77","99,77","99,77","99,77",,,,99.77,99.77,99.77,99.77
23,11 > 23,23,Công ty Cổ phần Nova Princess Residence,TP Hồ Chí Minh,Kinh doanh bất động sản,"99,90","99,90","99,90","99,90",,,,99.9,99.9,99.9,99.9
24,11 > 24,24,Công ty Cổ phần Đầu tư và Thương mại Nhà Rồng,TP Hồ Chí Minh,Kinh doanh bất động sản,"99,99","99,99","99,97","99,97",,,,99.99,99.99,99.97,99.97
25,11 > 25,25,Công ty Cổ phần Ngõi Nhà Mega,TP Hồ Chí Minh,Kinh doanh bất động sản,"98,60","98,60","98,60","98,60",,,,98.6,98.6,98.6,98.6
26,11 > 26,26,Công ty TNHH Mega Tie,TP Hồ Chí Minh,Kinh doanh bất động sản,"98,59","99,99","98,59","99,99",,,,98.59,99.99,98.59,99.99
