row_label_raw,row_label_full,2017,Khu vực Miền Bắc Triệu VND,Khu vực Miền Trung Triệu VND,Khu vực Miền Nam Triệu VND,Loại trừ Triệu VND,Tổng Triệu VND,numeric__Khu vực Miền Bắc Triệu VND,numeric__Khu vực Miền Trung Triệu VND,numeric__Khu vực Miền Nam Triệu VND,numeric__Loại trừ Triệu VND,numeric__Tổng Triệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,
"Tiền mặt, vàng","Tài sản > Tiền mặt, vàng","Tiền mặt, vàng",972.479,844.228,4.090.068,-,5.906.775,972479.0,844228.0,4090068.0,,5906775.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,64.298,174.013,1.727.276,-,1.965.587,64298.0,174013.0,1727276.0,,1965587.0
Tiền gửi tại và cho vay các TCTD khác – thuần,Tài sản > Tiền gửi tại và cho vay các TCTD khác – thuần,Tiền gửi tại và cho vay các TCTD khác – thuần,1.756,1.890,8.167.230,-,8.170.876,1756.0,1890.0,8167230.0,,8170876.0
Cho vay khách hàng – thuần,Tài sản > Cho vay khách hàng – thuần,Cho vay khách hàng – thuần,28.525.563,36.082.891,149.556.068,-,214.164.522,28525563.0,36082891.0,149556068.0,,214164522.0
Hoạt động mua nợ – thuần,Tài sản > Hoạt động mua nợ – thuần,Hoạt động mua nợ – thuần,-,-,643.784,-,643.784,,,643784.0,,643784.0
Các khoản đầu tư – thuần,Tài sản > Các khoản đầu tư – thuần,Các khoản đầu tư – thuần,-,-,76.258.989,-,76.258.989,,,76258989.0,,76258989.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,664.653,835.019,55.968.006,(561.918),56.905.760,664653.0,835019.0,55968006.0,-561918.0,56905760.0
TỔNG TÀI SẢN,Tài sản > TỔNG TÀI SẢN,TỔNG TÀI SẢN,30.228.749,37.938.041,296.411.421,(561.918),364.016.293,30228749.0,37938041.0,296411421.0,-561918.0,364016293.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,231.484,-,231.484,,,231484.0,,231484.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,703.053,10.088,11.143.190,-,11.856.331,703053.0,10088.0,11143190.0,,11856331.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,55.246.530,36.563.557,225.095.158,-,316.905.245,55246530.0,36563557.0,225095158.0,,316905245.0
Nợ phải trả khác,Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,3.087.321,1.765.241,7.856.759,(561.918),12.147.403,3087321.0,1765241.0,7856759.0,-561918.0,12147403.0
TỔNG NỘ PHẢI TRẢ,Nợ phải trả > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,59.036.904,38.338.886,244.326.591,(561.918),341.140.463,59036904.0,38338886.0,244326591.0,-561918.0,341140463.0
