row_label_raw,row_label_full,2018,Khu vựcMiền BắcTriệu VND,Khu vựcMiền TrungTriệu VND,Khu vựcMiền NamTriệu VND,Loại trừTriệu VND,TổngTriệu VND,numeric__Khu vựcMiền BắcTriệu VND,numeric__Khu vựcMiền TrungTriệu VND,numeric__Khu vựcMiền NamTriệu VND,numeric__Loại trừTriệu VND,numeric__TổngTriệu VND
Tải sản,Tải sản,Tải sản,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tải sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",1.071.016,856.352,4.056.545,-,5.983.913,1071016.0,856352.0,4056545.0,,5983913.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,190.200,359.548,8.063.686,-,8.613.434,190200.0,359548.0,8063686.0,,8613434.0
Tiền gửi tại và cho vay các TCTD khác – thuần,Tải sản > Tiền gửi tại và cho vay các TCTD khác – thuần,Tiền gửi tại và cho vay các TCTD khác – thuần,60.084,3.557,6.588.336,-,6.651.977,60084.0,3557.0,6588336.0,,6651977.0
Cho vay khách hàng – thuần,Tải sản > Cho vay khách hàng – thuần,Cho vay khách hàng – thuần,32.741.086,44.359.804,169.552.653,-,246.653.543,32741086.0,44359804.0,169552653.0,,246653543.0
Hoạt động mua nợ – thuần,Tải sản > Hoạt động mua nợ – thuần,Hoạt động mua nợ – thuần,-,-,544.786,-,544.786,,,544786.0,,544786.0
Các khoản đầu tư – thuần,Tải sản > Các khoản đầu tư – thuần,Các khoản đầu tư – thuần,-,-,78.227.570,-,78.227.570,,,78227570.0,,78227570.0
Tải sản khác,Tải sản > Tải sản khác,Tải sản khác,757.125,1.113.037,53.879.420,(561.918),55.187.664,757125.0,1113037.0,53879420.0,-561918.0,55187664.0
TỔNG TÀI SẢN,Tải sản > TỔNG TÀI SẢN,TỔNG TÀI SẢN,34.819.511,46.692.298,320.912.996,(561.918),401.862.887,34819511.0,46692298.0,320912996.0,-561918.0,401862887.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,5.293.086,-,5.293.086,,,5293086.0,,5293086.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,22.433,10.452,7.480.952,-,7.513.837,22433.0,10452.0,7480952.0,,7513837.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,63.631.656,40.908.020,241.292.749,-,345.832.425,63631656.0,40908020.0,241292749.0,,345832425.0
Nợ phải trả khác,Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,4.321.545,2.355.499,12.943.072,(561.918),19.058.198,4321545.0,2355499.0,12943072.0,-561918.0,19058198.0
TỔNG NỘ PHẢI TRẢ,Nợ phải trả > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,67.975.634,43.273.971,267.009.859,(561.918),377.697.546,67975634.0,43273971.0,267009859.0,-561918.0,377697546.0
