row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017 > Quá hạnTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Khôngchịu lãiTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Dưới1 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Từ 1 đến3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Từ trên 3 đến6 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Từ trên 6 đến12 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Từ trên 1 đến5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Trên 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2017 > TổngTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Quá hạnTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Khôngchịu lãiTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Dưới1 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ 1 đến3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ trên 3 đến6 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ trên 6 đến12 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ trên 1 đến5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Trên 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > TổngTriệu VND
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,7.554.249,-,-,-,-,-,-,7.554.249,,7554249.0,,,,,,,7554249.0
Tài sản Có khác – gộp (*),Tài sản > Tài sản Có khác – gộp (*),Tài sản Có khác – gộp (*),1.184.962,40.371.447,-,-,-,-,8.280.000,-,49.836.409,1184962.0,40371447.0,,,,,8280000.0,,49836409.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),11.464.893,100.676.189,84.156.146,128.059.751,677.064,4.252.695,38.386.061,1.724.727,369.397.526,11464893.0,100676189.0,84156146.0,128059751.0,677064.0,4252695.0,38386061.0,1724727.0,369397526.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,6.257,225.227,-,-,-,-,231.484,,,6257.0,225227.0,,,,,231484.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,-,-,4.567.642,7.059.450,224.250,4.989,-,-,11.856.331,,,4567642.0,7059450.0,224250.0,4989.0,,,11856331.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,546.187,125.511.671,61.785.328,44.873.545,42.986.275,41.143.714,58.525,316.905.245,,546187.0,125511671.0,61785328.0,44873545.0,42986275.0,41143714.0,58525.0,316905245.0
"Vốn tải trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Nợ phải trả > Vốn tải trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro",-,-,-,-,-,1.415,-,-,1.415,,,,,,1415.0,,,1415.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,600,-,2.737.590,-,2.863.196,-,-,5.601.386,,600.0,,2737590.0,,2863196.0,,,5601386.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,6.544.602,-,-,-,-,-,-,6.544.602,,6544602.0,,,,,,,6544602.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,7.091.389,130.085.570,71.807.595,45.097.795,45.855.875,41.143.714,58.525,341.140.463,,7091389.0,130085570.0,71807595.0,45097795.0,45855875.0,41143714.0,58525.0,341140463.0
Mức chênh nhạy cảm với lãi suất nộibảng [(3)=(1)-(2)],Nợ phải trả > Mức chênh nhạy cảm với lãi suất nộibảng [(3)=(1)-(2)],Mức chênh nhạy cảm với lãi suất nộibảng [(3)=(1)-(2)],11.464.893,93.584.800,(45.929.424),56.252.156,(44.420.731),(41.603.180),(2.757.653),1.666.202,28.257.063,11464893.0,93584800.0,-45929424.0,56252156.0,-44420731.0,-41603180.0,-2757653.0,1666202.0,28257063.0
Mức chênh nhạy cảm với lãi suất ngoạibảng (4),Mức chênh nhạy cảm với lãi suất ngoạibảng (4),Mức chênh nhạy cảm với lãi suất ngoạibảng (4),-,-,-,-,-,-,-,-,-,,,,,,,,,
"Mức chênh nhạy cảm với lãi suất nội,ngoại bảng [(5)=(3)+(4)]","Mức chênh nhạy cảm với lãi suất ngoạibảng (4) > Mức chênh nhạy cảm với lãi suất nội,ngoại bảng [(5)=(3)+(4)]","Mức chênh nhạy cảm với lãi suất nội,ngoại bảng [(5)=(3)+(4)]",11.464.893,93.584.800,(45.929.424),56.252.156,(44.420.731),(41.603.180),(2.757.653),1.666.202,28.257.063,11464893.0,93584800.0,-45929424.0,56252156.0,-44420731.0,-41603180.0,-2757653.0,1666202.0,28257063.0
