row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúc",Máy móc thiết bị,Phương tiệnvận tải truyền dẫn,Thiết bịdụng cụ quản lý,Tài sản cố định khác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy móc thiết bị,numeric__Phương tiệnvận tải truyền dẫn,numeric__Thiết bịdụng cụ quản lý,numeric__Tài sản cố định khác,numeric__Cộng
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,584.003.692.213,301.486.792.839,108.329.305.013,27.911.602.616,511.801.278.915,1.533.532.671.596,584003692213.0,301486792839.0,108329305013.0,27911602616.0,511801278915.0,1533532671596.0
- Tăng khác,Giá trị hao mòn lũy kế > - Tăng khác,- Tăng khác,529.829.219,,179.110.853,,,708.940.072,529829219.0,,179110853.0,,,708940072.0
- Tăng do chuyển đổi BCTC,Giá trị hao mòn lũy kế > - Tăng do chuyển đổi BCTC,- Tăng do chuyển đổi BCTC,723.383.297,79.034.868,144.835.773,16.804.724,608.785.108,1.572.843.770,723383297.0,79034868.0,144835773.0,16804724.0,608785108.0,1572843770.0
- Tăng do phân loại lại,Giá trị hao mòn lũy kế > - Tăng do phân loại lại,- Tăng do phân loại lại,3.272.870.192,,2.681.982.923,,,5.954.853.115,3272870192.0,,2681982923.0,,,5954853115.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(31.547.937.051),(20.661.087.543),(27.040.643.562),(3.253.934.664),(329.263.246.540),(411.766.849.360),-31547937051.0,-20661087543.0,-27040643562.0,-3253934664.0,-329263246540.0,-411766849360.0
- Giảm khác,Giá trị hao mòn lũy kế > - Giảm khác,- Giảm khác,(8.150.607.960),(8.505.452.929),(1.441.433.352),(58.445.909),(3.804.966),(18.159.745.116),-8150607960.0,-8505452929.0,-1441433352.0,-58445909.0,-3804966.0,-18159745116.0
- Giảm do chuyển đổi BCTC,Giá trị hao mòn lũy kế > - Giảm do chuyển đổi BCTC,- Giảm do chuyển đổi BCTC,(2.058.532.779),(246.949.485),(413.392.397),(15.371.363),(786.223.686),(3.520.469.710),-2058532779.0,-246949485.0,-413392397.0,-15371363.0,-786223686.0,-3520469710.0
- Giảm do phân loại lại,Giá trị hao mòn lũy kế > - Giảm do phân loại lại,- Giảm do phân loại lại,,(2.889.395.861),,(155.653.932),(2.909.803.322),(5.954.853.115),,-2889395861.0,,-155653932.0,-2909803322.0,-5954853115.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.290.507.599.770,2.403.972.900.386,1.121.085.280.212,141.823.506.228,2.845.068.397.114,10.802.457.683.710,4290507599770.0,2403972900386.0,1121085280212.0,141823506228.0,2845068397114.0,10802457683710.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,,,
- Tại ngày đầu năm,Giá trị còn lại > - Tại ngày đầu năm,- Tại ngày đầu năm,6.239.609.704.300,3.103.253.579.870,513.999.663.462,55.714.425.363,6.614.393.411.938,16.526.970.784.933,6239609704300.0,3103253579870.0,513999663462.0,55714425363.0,6614393411938.0,16526970784933.0
- Tại ngày cuối năm,Giá trị còn lại > - Tại ngày cuối năm,- Tại ngày cuối năm,6.199.466.539.483,3.018.953.924.972,529.319.956.591,38.942.954.881,11.241.415.061.661,21.028.098.437.588,6199466539483.0,3018953924972.0,529319956591.0,38942954881.0,11241415061661.0,21028098437588.0
