row_label_raw,row_label_full,01. Doanh thu bán hàng và cung cấp dịch vụ,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
"- Lãi bán hàng trả chậm, chiết khấu thanh toán","05. Doanh thu hoạt động tài chính: > - Lãi bán hàng trả chậm, chiết khấu thanh toán","- Lãi bán hàng trả chậm, chiết khấu thanh toán",17.465.701.715,2.180.663.580,17465701715.0,2180663580.0
- Doanh thu hoạt động tài chính khác,05. Doanh thu hoạt động tài chính: > - Doanh thu hoạt động tài chính khác,- Doanh thu hoạt động tài chính khác,1.265.217.242,11.942.927.471,1265217242.0,11942927471.0
Cộng,05. Doanh thu hoạt động tài chính: > Cộng,Cộng,571.194.206.640,538.914.072.693,571194206640.0,538914072693.0
06. Chi phí tài chính,06. Chi phí tài chính,06. Chi phí tài chính,Năm nay,Năm trước,,
- Lãi tiền vay,06. Chi phí tài chính > - Lãi tiền vay,- Lãi tiền vay,579.720.150.221,465.340.643.592,579720150221.0,465340643592.0
- Lỗ do thanh lý các khoản đầu tư tài chính,06. Chi phí tài chính > - Lỗ do thanh lý các khoản đầu tư tài chính,- Lỗ do thanh lý các khoản đầu tư tài chính,49.072.408.163,1.149.704.838,49072408163.0,1149704838.0
- Lỗ bán ngoại tệ,06. Chi phí tài chính > - Lỗ bán ngoại tệ,- Lỗ bán ngoại tệ,722.612.365,202.229.656,722612365.0,202229656.0
- Lỗ chênh lệch tỷ giá,06. Chi phí tài chính > - Lỗ chênh lệch tỷ giá,- Lỗ chênh lệch tỷ giá,50.572.773.635,64.275.105.273,50572773635.0,64275105273.0
- Dự phòng giảm giá chứng khoán kinh doanh và tổn thất đầu tư,06. Chi phí tài chính > - Dự phòng giảm giá chứng khoán kinh doanh và tổn thất đầu tư,- Dự phòng giảm giá chứng khoán kinh doanh và tổn thất đầu tư,19.367.295.712,(13.502.821.850),19367295712.0,-13502821850.0
- Chi phí tài chính khác,06. Chi phí tài chính > - Chi phí tài chính khác,- Chi phí tài chính khác,6.900.444.807,2.093.969.086,6900444807.0,2093969086.0
Cộng,06. Chi phí tài chính > Cộng,Cộng,706.355.684.903,519.558.830.595,706355684903.0,519558830595.0
