row_label_raw,row_label_full,02. Đầu tư tài chính > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo),Giá gốc > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo),Số cuối năm > Dự phòng > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo),Số cuối năm > Giá trị hợp lý > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo),Giá trị hợp lý > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo),Giá gốc > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo)_1,Số đầu năm > Dự phòng > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo),Số đầu năm > Giá trị hợp lý > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo),numeric__Giá gốc > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo),numeric__Số cuối năm > Dự phòng > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo),numeric__Số cuối năm > Giá trị hợp lý > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo),numeric__Giá trị hợp lý > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo),numeric__Giá gốc > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo)_1,numeric__Số đầu năm > Dự phòng > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo),numeric__Số đầu năm > Giá trị hợp lý > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo)
Công ty Cổ phần Đầu tư Vĩnh Sơn,Công ty Cổ phần Đầu tư Vĩnh Sơn,Công ty Cổ phần Đầu tư Vĩnh Sơn,23.082.813.181,0,23.082.813.181,22.680.000.000,0,22.680.000.000,,23082813181.0,0.0,23082813181.0,22680000000.0,0.0,22680000000.0,
Công ty TNHH MTV Cả phê 715C Công ty Cổ phần CB Gỗ XK Địa ốc Cao su,Công ty TNHH MTV Cả phê 715C Công ty Cổ phần CB Gỗ XK Địa ốc Cao su,Công ty TNHH MTV Cả phê 715C Công ty Cổ phần CB Gỗ XK Địa ốc Cao su,51.808.000.000,0,51.808.000.000,51.808.000.000,0,51.808.000.000,,51808000000.0,0.0,51808000000.0,51808000000.0,0.0,51808000000.0,
Công ty TNHH MTV Cả phê 715C Công ty Cổ phần CB Gỗ XK Địa ốc Cao su,Công ty TNHH MTV Cả phê 715C Công ty Cổ phần CB Gỗ XK Địa ốc Cao su,Công ty TNHH MTV Cả phê 715C Công ty Cổ phần CB Gỗ XK Địa ốc Cao su,7.567.661.320,0,7.567.661.320,7.152.974.820,0,7.152.974.820,,7567661320.0,0.0,7567661320.0,7152974820.0,0.0,7152974820.0,
Công ty TNHH MTV Cả phê 715C Công ty Cổ phần CB Gỗ XK Địa ốc Cao su,Công ty TNHH MTV Cả phê 715C Công ty Cổ phần CB Gỗ XK Địa ốc Cao su,Công ty TNHH MTV Cả phê 715C Công ty Cổ phần CB Gỗ XK Địa ốc Cao su,303.998.714,0,303.998.714,300.000.000,0,300.000.000,,303998714.0,0.0,303998714.0,300000000.0,0.0,300000000.0,
Công ty Cổ phần Địa Oc MB,Công ty Cổ phần Địa Oc MB,Công ty Cổ phần Địa Oc MB,600.000.000,0,600.000.000,600.000.000,0,600.000.000,,600000000.0,0.0,600000000.0,600000000.0,0.0,600000000.0,
Công ty Cổ phần QL Quỹ đầu tư Sàigòn-Hà Nội,Công ty Cổ phần QL Quỹ đầu tư Sàigòn-Hà Nội,Công ty Cổ phần QL Quỹ đầu tư Sàigòn-Hà Nội,2.560.000.000,(2.560.000.000),0,4.000.000.000,(1.079.471.194),2.920.528.806,,2560000000.0,-2560000000.0,0.0,4000000000.0,-1079471194.0,2920528806.0,
Công ty CP Mía đường Thanh Hóa,Công ty CP Mía đường Thanh Hóa,Công ty CP Mía đường Thanh Hóa,4.897.408.624,0,4.897.408.624,140.000.000,0,140.000.000,,4897408624.0,0.0,4897408624.0,140000000.0,0.0,140000000.0,
Công ty Cổ phần Xi măng Hợp Sơn Công ty TNHH Chế biến mù,Công ty Cổ phần Xi măng Hợp Sơn Công ty TNHH Chế biến mù,Công ty Cổ phần Xi măng Hợp Sơn Công ty TNHH Chế biến mù,13.555.162,0,13.555.162,2.986.500.000,0,2.986.500.000,,13555162.0,0.0,13555162.0,2986500000.0,0.0,2986500000.0,
Champasak (Lào),Champasak (Lào),Champasak (Lào),5.427.343.333,0,5.427.343.333,0,0,0,,5427343333.0,0.0,5427343333.0,0.0,0.0,0.0,
Công ty CP Tuấn Lộc Quảng Trị,Công ty CP Tuấn Lộc Quảng Trị,Công ty CP Tuấn Lộc Quảng Trị,3.000.000.000,0,3.000.000.000,3.000.000.000,0,3.000.000.000,,3000000000.0,0.0,3000000000.0,3000000000.0,0.0,3000000000.0,
Công ty TNHH Gốm sứ Champa,Công ty TNHH Gốm sứ Champa,Công ty TNHH Gốm sứ Champa,658.952.901,0,658.952.901,656.687.358,0,656.687.358,,658952901.0,0.0,658952901.0,656687358.0,0.0,656687358.0,
Cộng,Cộng,Cộng,1.581.193.735.841,(3.059.950.000),2.698.931.422.343,1.646.092.461.247,(55.530.022.643),2.597.086.188.304,,1581193735841.0,-3059950000.0,2698931422343.0,1646092461247.0,-55530022643.0,2597086188304.0,
