row_label_raw,row_label_full,col_0,Vốn đầu tư của Chủ sở hữu,Vốn khác của Chủ sở hữu,Chênh lệch tỷ giá hối doái,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn Chủ sở hữu,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn đầu tư của Chủ sở hữu,numeric__Vốn khác của Chủ sở hữu,numeric__Chênh lệch tỷ giá hối doái,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn Chủ sở hữu,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,1.350.000.000.000,1.527.522.663,75.224.503.857,287.632.950.602,44.977.782,479.607.185.623,13.913.958.917,2.207.951.099.444,1350000000000.0,1527522663.0,75224503857.0,287632950602.0,44977782.0,479607185623.0,13913958917.0,2207951099444.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,1.350.000.000.000,1.527.522.663,75.224.503.857,287.632.950.602,44.977.782,479.607.185.623,13.913.958.917,2.207.951.099.444,1350000000000.0,1527522663.0,75224503857.0,287632950602.0,44977782.0,479607185623.0,13913958917.0,2207951099444.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,233.742.460.392,3.732.072.989,237.474.533.381,,,,,,233742460392.0,3732072989.0,237474533381.0
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,-,4.032.890.923,-,(4.032.890.923),-,-,,,,4032890923.0,,-4032890923.0,,
Chia trả cổ tức,Chia trả cổ tức,Chia trả cổ tức,-,-,-,-,-,-,(990.960.000),(990.960.000),,,,,,,-990960000.0,-990960000.0
Trích nộp ngân sách Đảng,Trích nộp ngân sách Đảng,Trích nộp ngân sách Đảng,-,-,-,-,-,(23.550.332.097),-,(23.550.332.097),,,,,,-23550332097.0,,-23550332097.0
Lợi nhuận và quỹ nộp về chủ sở hữu,Lợi nhuận và quỹ nộp về chủ sở hữu,Lợi nhuận và quỹ nộp về chủ sở hữu,-,-,-,-,-,(197.549.502.648),-,(197.549.502.648),,,,,,-197549502648.0,,-197549502648.0
Chênh lệch tỷ giá do chuyển đổi BCTC,Chênh lệch tỷ giá do chuyển đổi BCTC,Chênh lệch tỷ giá do chuyển đổi BCTC,-,-,(2.086.602.069),-,-,-,-,(2.086.602.069),,,-2086602069.0,,,,,-2086602069.0
Trích Quỹ khen thưởng & Ban điều hành,Trích Quỹ khen thưởng & Ban điều hành,Trích Quỹ khen thưởng & Ban điều hành,-,-,-,-,-,(12.079.055.648),(635.517.827),(12.714.573.475),,,,,,-12079055648.0,-635517827.0,-12714573475.0
Bàn giao vốn (*),Bàn giao vốn (*),Bàn giao vốn (*),-,-,-,(148.675.186.446),-,-,-,(148.675.186.446),,,,-148675186446.0,,,,-148675186446.0
Hợp nhất kinh doanh,Hợp nhất kinh doanh,Hợp nhất kinh doanh,-,1.705.381.400,-,-,-,(205.076.065.223),-,(203.370.683.823),,1705381400.0,,,,-205076065223.0,,-203370683823.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,1.350.000.000.000,3.232.904.063,73.137.901.788,142.990.655.079,44.977.782,271.061.799.476,16.019.554.079,1.856.487.792.267,1350000000000.0,3232904063.0,73137901788.0,142990655079.0,44977782.0,271061799476.0,16019554079.0,1856487792267.0
