row_label_raw,row_label_full,Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > (*) Chi tiết các khoản cho vay các tổ chức tin dụng như sau:,Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Đơn vị tính: Triệu đồng Việt Nam > Số tiền,Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Đơn vị tính: Triệu đồng Việt Nam > Ngày đảo hạn,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Đơn vị tính: Triệu đồng Việt Nam > Số tiền,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Đơn vị tính: Triệu đồng Việt Nam > Ngày đảo hạn
"Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác","Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác","Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác",31/12/2019,01/01/2019,,
- Nợ đủ tiêu chuẩn,"Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác > - Nợ đủ tiêu chuẩn",- Nợ đủ tiêu chuẩn,15.274.646,6.683.833,15274646.0,6683833.0
Tổng cộng,"Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác > Tổng cộng",Tổng cộng,15.274.646,6.683.833,15274646.0,6683833.0
4.1 Cho vay khách hàng,4.1 Cho vay khách hàng,4.1 Cho vay khách hàng,,,,
,,,31/12/2019,01/01/2019,,
"Cho vay các tổ chức kinh tế, cá nhân trong nước","4.1 Cho vay khách hàng > Cho vay các tổ chức kinh tế, cá nhân trong nước","Cho vay các tổ chức kinh tế, cá nhân trong nước",37.800.381,35.502.177,37800381.0,35502177.0
Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,4.1 Cho vay khách hàng > Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,7.727,24.048,7727.0,24048.0
"Cho vay bằng vốn tài trợ, ủy thác đầu tư","4.1 Cho vay khách hàng > Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay bằng vốn tài trợ, ủy thác đầu tư",85.775,140.778,85775.0,140778.0
Trả thay bảo lãnh,4.1 Cho vay khách hàng > Trả thay bảo lãnh,Trả thay bảo lãnh,16.720,7.108,16720.0,7108.0
Tổng cộng,4.1 Cho vay khách hàng > Tổng cộng,Tổng cộng,37.910.603,35.674.111,37910603.0,35674111.0
4.1a Phân tích chất lượng nợ cho vay,4.1a Phân tích chất lượng nợ cho vay,4.1a Phân tích chất lượng nợ cho vay,,,,
,,,31/12/2019,01/01/2019,,
Nợ đủ tiêu chuẩn,4.1a Phân tích chất lượng nợ cho vay > Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,35.805.825,33.734.193,35805825.0,33734193.0
Nợ cần chủ ý,4.1a Phân tích chất lượng nợ cho vay > Nợ cần chủ ý,Nợ cần chủ ý,1.374.689,1.344.159,1374689.0,1344159.0
Nợ dưới tiêu chuẩn,4.1a Phân tích chất lượng nợ cho vay > Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,128.597,124.077,128597.0,124077.0
Nợ nghi ngờ,4.1a Phân tích chất lượng nợ cho vay > Nợ nghi ngờ,Nợ nghi ngờ,133.338,168.193,133338.0,168193.0
Nợ có khả năng mất vốn,4.1a Phân tích chất lượng nợ cho vay > Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,468.154,303.489,468154.0,303489.0
Tổng cộng,4.1a Phân tích chất lượng nợ cho vay > Tổng cộng,Tổng cộng,37.910.603,35.674.111,37910603.0,35674111.0
4.1b Phân tích dư nợ theo thời gian,4.1b Phân tích dư nợ theo thời gian,4.1b Phân tích dư nợ theo thời gian,,,,
,,,31/12/2019,01/01/2019,,
Nợ ngân hạn,4.1b Phân tích dư nợ theo thời gian > Nợ ngân hạn,Nợ ngân hạn,14.598.969,14.856.703,14598969.0,14856703.0
Nợ trung hạn,4.1b Phân tích dư nợ theo thời gian > Nợ trung hạn,Nợ trung hạn,8.833.341,9.781.943,8833341.0,9781943.0
Nợ dài hạn,4.1b Phân tích dư nợ theo thời gian > Nợ dài hạn,Nợ dài hạn,14.478.293,11.035.465,14478293.0,11035465.0
Tổng cộng,4.1b Phân tích dư nợ theo thời gian > Tổng cộng,Tổng cộng,37.910.603,35.674.111,37910603.0,35674111.0
