row_label_raw,row_label_full,Năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Đơn vị tính: Triệu đồng Việt Nam,Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Đơn vị tính: Triệu đồng Việt Nam_1,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Đơn vị tính: Triệu đồng Việt Nam,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Đơn vị tính: Triệu đồng Việt Nam_1
11.2. Vay các TCTD khác,11.2. Vay các TCTD khác,11.2. Vay các TCTD khác,11.2. Vay các TCTD khác,11.2. Vay các TCTD khác,,
- Bằng VND,11.2. Vay các TCTD khác > - Bằng VND,- Bằng VND,242.973,1.301.144,242973.0,1301144.0
- Bằng ngoại hối,11.2. Vay các TCTD khác > - Bằng ngoại hối,- Bằng ngoại hối,590.835,-,590835.0,
Cộng,11.2. Vay các TCTD khác > Cộng,Cộng,833.808,1.301.144,833808.0,1301144.0
Tổng cộng tiền gửi của và vay TCTD khác,11.2. Vay các TCTD khác > Tổng cộng tiền gửi của và vay TCTD khác,Tổng cộng tiền gửi của và vay TCTD khác,12.414.097,9.757.537,12414097.0,9757537.0
12. Tiền gửi của khách hàng,12. Tiền gửi của khách hàng,12. Tiền gửi của khách hàng,12. Tiền gửi của khách hàng,12. Tiền gửi của khách hàng,,
- Thuyết minh theo loại tiền gửi,- Thuyết minh theo loại tiền gửi,- Thuyết minh theo loại tiền gửi,- Thuyết minh theo loại tiền gửi,- Thuyết minh theo loại tiền gửi,,
,,,31/12/2019,01/01/2019,,
"Tiền, vàng gửi không kỳ hạn","- Thuyết minh theo loại tiền gửi > Tiền, vàng gửi không kỳ hạn","Tiền, vàng gửi không kỳ hạn",4.729.576,4.020.291,4729576.0,4020291.0
- Bằng VND,- Thuyết minh theo loại tiền gửi > - Bằng VND,- Bằng VND,4.603.649,3.941.747,4603649.0,3941747.0
- Bằng ngoại hối,- Thuyết minh theo loại tiền gửi > - Bằng ngoại hối,- Bằng ngoại hối,125.927,78.544,125927.0,78544.0
"Tiền, vàng gửi có kỳ hạn","- Thuyết minh theo loại tiền gửi > Tiền, vàng gửi có kỳ hạn","Tiền, vàng gửi có kỳ hạn",54.182.218,42.921.430,54182218.0,42921430.0
- Bằng VND,- Thuyết minh theo loại tiền gửi > - Bằng VND,- Bằng VND,51.855.141,40.203.446,51855141.0,40203446.0
- Bằng ngoại hối,- Thuyết minh theo loại tiền gửi > - Bằng ngoại hối,- Bằng ngoại hối,2.327.077,2.717.984,2327077.0,2717984.0
Tiền gửi vốn chuyên dùng,- Thuyết minh theo loại tiền gửi > Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,11.024,25.192,11024.0,25192.0
Thuyết minh này là bộ phận hợp thành các Báo cáo tài chính.,Thuyết minh này là bộ phận hợp thành các Báo cáo tài chính.,Thuyết minh này là bộ phận hợp thành các Báo cáo tài chính.,Thuyết minh này là bộ phận hợp thành các Báo cáo tài chính.,Trang 33,,
