row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
1.,1.,1.,Phải thu dài hạn khác,216,V.6.2,200.702.235.688,324.279.578.977,,216.0,,200702235688.0,324279578977.0
II.,II.,II.,Tài sản cố định,220,,159.625.943.392,174.649.235.526,,220.0,,159625943392.0,174649235526.0
1.,1.,1.,Tài sản cố định hữu hình,221,V.11,159.625.943.392,174.649.235.526,,221.0,,159625943392.0,174649235526.0
,,,Nguyên giá,222,,204.464.664.296,192.872.804.842,,222.0,,204464664296.0,192872804842.0
,,,Giá trị hao mòn lũy kế,223,,(44.838.720.904),(18.223.569.316),,223.0,,-44838720904.0,-18223569316.0
2.,2.,2.,Tài sản cố định vô hình,227,V.10,-,-,,227.0,,,
,,,Nguyên giá,228,,2.078.123.000,2.335.523.000,,228.0,,2078123000.0,2335523000.0
,,,Giá trị hao mòn lũy kế,229,,(2.078.123.000),(2.335.523.000),,229.0,,-2078123000.0,-2335523000.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,827.405.514.757,897.970.673.562,,240.0,,827405514757.0,897970673562.0
1.,1.,1.,"Chi phí sản xuất, kinh doanh dở dang dài hạn",241,V.12.1,539.943.755.608,610.782.218.159,,241.0,,539943755608.0,610782218159.0
2.,2.,2.,Chi phí xây dựng cơ bản dở dang,242,V.12.2,287.461.759.149,287.188.455.403,,242.0,,287461759149.0,287188455403.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,V.2.2,18.125.488.936.099,2.279.925.280.111,,250.0,,18125488936099.0,2279925280111.0
1.,1.,1.,Đầu tư vào công ty con,251,,18.382.345.417.793,2.468.785.733.953,,251.0,,18382345417793.0,2468785733953.0
2.,2.,2.,"Đầu tư vào công ty liên doanh, liên kết",252,,-,69.000.000.000,,252.0,,,69000000000.0
3.,3.,3.,Đầu tư góp vốn vào đơn vị khác,253,,23.800.000.000,23.800.000.000,,253.0,,23800000000.0,23800000000.0
4.,4.,4.,Dự phòng đầu tư tài chính dài hạn,254,,(280.656.481.694),(281.660.453.842),,254.0,,-280656481694.0,-281660453842.0
V.,V.,V.,Tài sản dài hạn khác,260,,14.512.831.875,23.870.285.897,,260.0,,14512831875.0,23870285897.0
1.,1.,1.,Chi phí trả trước dài hạn,261,V.9.2,14.512.831.875,23.870.285.897,,261.0,,14512831875.0,23870285897.0
,,,TỔNG CỘNG TÀI SẢN,270,,21.059.625.672.116,5.805.806.309.628,,270.0,,21059625672116.0,5805806309628.0
