row_label_raw,row_label_full,Tập đoàn Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,Ngày 31 tháng 12năm 2025Phải thu/(Phải trả)triệu đồng > Tập đoàn Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,Ngày 31 tháng 12năm 2024Phải thu/(Phải trả)triệu đồng > Tập đoàn Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,numeric__Ngày 31 tháng 12năm 2025Phải thu/(Phải trả)triệu đồng > Tập đoàn Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,numeric__Ngày 31 tháng 12năm 2024Phải thu/(Phải trả)triệu đồng > Tập đoàn Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn
Tiền gửi không kỳ hạn,CTCP ROX Asset – Bên liên quan của thành viên Hội đồng Quản trị > Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,(3),(449),-3.0,-449.0
CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị,,
Tiền gửi không kỳ hạn,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị > Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,(1.256),(437),-1256.0,-437.0
Tiền vay,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị > Tiền vay,Tiền vay,67,5,67.0,5.0
Các khoản phải thu khác,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị > Các khoản phải thu khác,Các khoản phải thu khác,230,-,230.0,
"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này",,
Tiền gửi không kỳ hạn,"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này > Tiền gửi không kỳ hạn",Tiền gửi không kỳ hạn,(13.191),(13.085),-13191.0,-13085.0
Tiền gửi có kỳ hạn và chứng chỉ tiền gửi,"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này > Tiền gửi có kỳ hạn và chứng chỉ tiền gửi",Tiền gửi có kỳ hạn và chứng chỉ tiền gửi,(62.546),(60.977),-62546.0,-60977.0
Tiền vay,"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này > Tiền vay",Tiền vay,142.573,273.116,142573.0,273116.0
"Các khoản lãi, phí phải thu và các khoản phải thu khác","Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này > Các khoản lãi, phí phải thu và các khoản phải thu khác","Các khoản lãi, phí phải thu và các khoản phải thu khác",585,2.010,585.0,2010.0
Các khoản lãi phải trả và các khoản chờ thanh toán khác,"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này > Các khoản lãi phải trả và các khoản chờ thanh toán khác",Các khoản lãi phải trả và các khoản chờ thanh toán khác,(1.357),(645),-1357.0,-645.0
